,0
PBANKA_1104200.1-p1,nonlethal
PBANKA_0923800.1-p1,nonlethal
PBANKA_1410500.1-p1,nonlethal
PBANKA_1428800.1-p1,nonlethal
PBANKA_0804300.1-p1,nonlethal
PBANKA_1411100.1-p1,nonlethal
PBANKA_1310100.1-p1,nonlethal
PBANKA_1434800.1-p1,nonlethal
PBANKA_MIT01900.1-p1,nonlethal
PBANKA_1303300.1-p1,nonlethal
PBANKA_1432900.1-p1,nonlethal
PBANKA_1320500.1-p1,nonlethal
PBANKA_MIT01800.1-p1,nonlethal
PBANKA_1117700.1-p1,nonlethal
PBANKA_1340100.1-p1,nonlethal
PBANKA_0108000.1-p1,nonlethal
PBANKA_0617900.1-p1,nonlethal
PBANKA_1447000.1-p1,nonlethal
PBANKA_1016000.1-p1,nonlethal
PBANKA_0519800.1-p1,lethal
PBANKA_0414400.1-p1,lethal
PBANKA_0702100.1-p1,nonlethal
PBANKA_0931500.1-p1,nonlethal
PBANKA_1107900.1-p1,nonlethal
PBANKA_0601100.1-p1,nonlethal
PBANKA_0306400.1-p1,lethal
PBANKA_1416600.1-p1,nonlethal
PBANKA_0912700.1-p1,nonlethal
PBANKA_1319600.1-p1,nonlethal
PBANKA_1216200.1-p1,nonlethal
PBANKA_0815200.1-p1,nonlethal
PBANKA_1127000.1-p1,nonlethal
PBANKA_1134300.1-p1,nonlethal
PBANKA_1430400.1-p1,nonlethal
PBANKA_1022800.1-p1,lethal
PBANKA_1008800.1-p1,nonlethal
PBANKA_1122900.1-p1,nonlethal
PBANKA_1111400.1-p1,nonlethal
PBANKA_1143400.1-p1,nonlethal
PBANKA_0701300.1-p1,nonlethal
PBANKA_1121900.1-p1,lethal
PBANKA_1439500.1-p1,nonlethal
PBANKA_0202800.1-p1,nonlethal
PBANKA_0202300.1-p1,lethal
PBANKA_0910300.1-p1,nonlethal
PBANKA_1227600.1-p1,nonlethal
PBANKA_1336100.1-p1,nonlethal
PBANKA_0102100.1-p1,nonlethal
PBANKA_1323300.1-p1,nonlethal
PBANKA_1422200.1-p1,nonlethal
PBANKA_0404800.1-p1,lethal
PBANKA_0816000.1-p1,nonlethal
PBANKA_1355200.1-p1,nonlethal
PBANKA_0516900.1-p1,lethal
PBANKA_0304300.1-p1,nonlethal
PBANKA_1309900.1-p1,nonlethal
PBANKA_1410300.1-p1,nonlethal
PBANKA_1027000.1-p1,nonlethal
PBANKA_0407600.1-p1,nonlethal
PBANKA_1357700.1-p1,nonlethal
PBANKA_1032300.1-p1,nonlethal
PBANKA_1214300.1-p1,lethal
PBANKA_0208700.1-p1,lethal
PBANKA_0621800.1-p1,nonlethal
PBANKA_0416500.1-p1,nonlethal
PBANKA_1014800.1-p1,nonlethal
PBANKA_0717000.1-p1,nonlethal
PBANKA_0505800.1-p1,nonlethal
PBANKA_1351000.1-p1,lethal
PBANKA_1453300.1-p1,nonlethal
PBANKA_1411600.1-p1,lethal
PBANKA_0932900.1-p1,nonlethal
PBANKA_1431900.1-p1,nonlethal
PBANKA_0829700.1-p1,lethal
PBANKA_1014000.1-p1,nonlethal
PBANKA_1459200.1-p1,nonlethal
spontaneous,nonlethal
PBANKA_0610500.1-p1,nonlethal
PBANKA_1210800.1-p1,nonlethal
PBANKA_1218800.1-p1,nonlethal
PBANKA_1357500.1-p1,nonlethal
PBANKA_1003400.1-p1,nonlethal
PBANKA_1118700.1-p1,nonlethal
PBANKA_0928100.1-p1,nonlethal
PBANKA_0942900.1-p1,nonlethal
PBANKA_0102500.1-p1,nonlethal
PBANKA_1446700.1-p1,nonlethal
PBANKA_0203800.1-p1,nonlethal
PBANKA_0613600.1-p1,nonlethal
PBANKA_1133400.1-p1,nonlethal
PBANKA_0924900.1-p1,nonlethal
PBANKA_1345600.1-p1,nonlethal
PBANKA_0831800.1-p1,nonlethal
PBANKA_0812800.1-p1,nonlethal
PBANKA_1133300.1-p1,nonlethal
PBANKA_1431700.1-p1,nonlethal
PBANKA_1422700.1-p1,nonlethal
PBANKA_0518200.1-p1,nonlethal
PBANKA_1430800.1-p1,nonlethal
PBANKA_0109100.1-p1,nonlethal
PBANKA_0704200.1-p1,nonlethal
PBANKA_0907400.1-p1,nonlethal
PBANKA_1460400.1-p1,nonlethal
PBANKA_1326300.1-p1,nonlethal
PBANKA_0815000.1-p1,lethal
PBANKA_1030000.1-p1,nonlethal
PBANKA_0303900.1-p1,nonlethal
PBANKA_0106100.1-p1,nonlethal
PBANKA_1009800.1-p1,nonlethal
PBANKA_1308900.1-p1,nonlethal
PBANKA_1030200.1-p1,nonlethal
PBANKA_1354300.1-p1,nonlethal
PBANKA_1228000.1-p1,nonlethal
PBANKA_1464700.1-p1,nonlethal
PBANKA_1356600.1-p1,nonlethal
PBANKA_1238600.1-p1,nonlethal
PBANKA_0105900.1-p1,nonlethal
PBANKA_1013800.1-p1,nonlethal
PBANKA_1127500.1-p1,nonlethal
PBANKA_1212400.1-p1,nonlethal
PBANKA_1116300.1-p1,nonlethal
PBANKA_1134200.1-p1,nonlethal
PBANKA_0604400.1-p1,nonlethal
PBANKA_0610400.1-p1,nonlethal
PBANKA_1124900.1-p1,nonlethal
PBANKA_0936100.1-p1,nonlethal
PBANKA_0207000.1-p1,nonlethal
PBANKA_1442000.1-p1,nonlethal
PBANKA_1102800.1-p1,lethal
PBANKA_1416700.1-p1,nonlethal
PBANKA_1210900.1-p1,nonlethal
PBANKA_0505000.1-p1,nonlethal
PBANKA_0609300.1-p1,nonlethal
PBANKA_0414100.1-p1,nonlethal
PBANKA_1317500.1-p1,nonlethal
PBANKA_1318400.1-p1,nonlethal
PBANKA_0906600.1-p1,nonlethal
PBANKA_1131100.1-p1,nonlethal
PBANKA_1419800.1-p1,nonlethal
PBANKA_1419900.1-p1,nonlethal
PBANKA_0402300.1-p1,nonlethal
PBANKA_0931800.1-p1,nonlethal
PBANKA_1120200.1-p1,nonlethal
PBANKA_0809300.1-p1,nonlethal
PBANKA_1314000.1-p1,nonlethal
PBANKA_0811900.1-p1,nonlethal
PBANKA_0414800.1-p1,lethal
PBANKA_1344400.1-p1,nonlethal
PBANKA_1362200.1-p1,nonlethal
PBANKA_1213600.1-p1,lethal
PBANKA_0719300.1-p1,lethal
PBANKA_0919800.1-p1,lethal
PBANKA_1464200.1-p1,lethal
PBANKA_1140700.1-p1,nonlethal
PBANKA_0819800.1-p1,lethal
PBANKA_1364300.1-p1,nonlethal
PBANKA_1004000.1-p1,nonlethal
PBANKA_1211000.1-p1,nonlethal
PBANKA_0608000.1-p1,nonlethal
PBANKA_0702500.1-p1,nonlethal
PBANKA_1121700.1-p1,nonlethal
PBANKA_0933900.1-p1,nonlethal
PBANKA_0707000.1-p1,nonlethal
PBANKA_1306200.1-p1,nonlethal
PBANKA_0518700.1-p1,nonlethal
PBANKA_1317200.1-p1,nonlethal
PBANKA_1342800.1-p1,lethal
PBANKA_1028200.1-p1,nonlethal
PBANKA_1017900.1-p1,nonlethal
PBANKA_1429600.1-p1,nonlethal
PBANKA_1222800.1-p1,nonlethal
PBANKA_1350700.1-p1,nonlethal
PBANKA_0924200.1-p1,nonlethal
PBANKA_1304400.1-p1,nonlethal
PBANKA_0803500.1-p1,nonlethal
PBANKA_1415100.1-p1,lethal
PBANKA_1207300.1-p1,nonlethal
PBANKA_0923700.1-p1,nonlethal
PBANKA_1428500.1-p1,nonlethal
PBANKA_1029800.1-p1,nonlethal
PBANKA_1128100.1-p1,nonlethal
PBANKA_1211900.1-p1,nonlethal
PBANKA_1414100.1-p1,nonlethal
PBANKA_0901600.1-p1,nonlethal
PBANKA_1430100.1-p1,nonlethal
PBANKA_0507000.1-p1,lethal
PBANKA_1302800.1-p1,nonlethal
PBANKA_0828700.1-p1,nonlethal
PBANKA_1237400.1-p1,nonlethal
PBANKA_1308600.1-p1,nonlethal
PBANKA_1217300.1-p1,nonlethal
PBANKA_0308400.1-p1,nonlethal
PBANKA_MIT01100.1-p1,nonlethal
PBANKA_1137700.1-p1,nonlethal
PBANKA_0521600.1-p1,nonlethal
PBANKA_0513600.1-p1,nonlethal
PBANKA_1033400.1-p1,nonlethal
PBANKA_0611900.1-p1,nonlethal
PBANKA_1109200.1-p1,nonlethal
PBANKA_0308600.1-p1,nonlethal
PBANKA_0509300.1-p1,nonlethal
PBANKA_1346600.1-p1,nonlethal
PBANKA_1035900.1-p1,nonlethal
PBANKA_0834800.1-p1,nonlethal
PBANKA_1347700.1-p1,nonlethal
PBANKA_1440000.1-p1,nonlethal
PBANKA_1112400.1-p1,nonlethal
PBANKA_1230800.1-p1,nonlethal
PBANKA_1455600.1-p1,nonlethal
PBANKA_0501700.1-p1,nonlethal
PBANKA_0826100.1-p1,nonlethal
PBANKA_1340300.1-p1,nonlethal
PBANKA_1343000.1-p1,nonlethal
PBANKA_0517200.1-p1,nonlethal
PBANKA_1435100.1-p1,nonlethal
PBANKA_0615400.1-p1,nonlethal
PBANKA_0930500.1-p1,nonlethal
PBANKA_1003800.1-p1,nonlethal
PBANKA_0835300.1-p1,nonlethal
PBANKA_1405100.1-p1,nonlethal
PBANKA_1328100.1-p1,nonlethal
PBANKA_1410400.1-p1,nonlethal
PBANKA_1355000.1-p1,nonlethal
PBANKA_1234000.1-p1,nonlethal
PBANKA_1223800.1-p1,nonlethal
PBANKA_0908900.1-p1,nonlethal
PBANKA_1131000.1-p1,nonlethal
PBANKA_1040100.1-p1,nonlethal
PBANKA_0828800.1-p1,nonlethal
PBANKA_0203100.1-p1,nonlethal
PBANKA_0511400.1-p1,nonlethal
PBANKA_0809900.1-p1,nonlethal
PBANKA_1226000.1-p1,nonlethal
PBANKA_0502300.1-p1,nonlethal
PBANKA_1025200.1-p1,nonlethal
PBANKA_0315900.1-p1,nonlethal
PBANKA_1135200.1-p1,nonlethal
PBANKA_0111200.1-p1,nonlethal
PBANKA_1332200.1-p1,nonlethal
PBANKA_1111000.1-p1,nonlethal
PBANKA_1236100.1-p1,nonlethal
PBANKA_1026900.1-p1,nonlethal
PBANKA_1405700.1-p1,nonlethal
PBANKA_0931400.1-p1,nonlethal
PBANKA_0713300.1-p1,nonlethal
PBANKA_1213400.1-p1,nonlethal
PBANKA_1444000.1-p1,nonlethal
PBANKA_0826500.1-p1,nonlethal
PBANKA_0102100,nonlethal
PBANKA_0103400,nonlethal
PBANKA_0104400,nonlethal
PBANKA_0105900,nonlethal
PBANKA_0106100,lethal
PBANKA_0107700,nonlethal
PBANKA_0204100,nonlethal
PBANKA_0206400,nonlethal
PBANKA_0208700,nonlethal
PBANKA_0209400,nonlethal
PBANKA_0209900,nonlethal
PBANKA_0211300,nonlethal
PBANKA_0300800,nonlethal
PBANKA_0302500,nonlethal
PBANKA_0302700,nonlethal
PBANKA_0304000,lethal
PBANKA_0305600,nonlethal
PBANKA_0306200,nonlethal
PBANKA_0306400,nonlethal
PBANKA_0306700,nonlethal
PBANKA_0307200,nonlethal
PBANKA_0308100,nonlethal
PBANKA_0308200,nonlethal
PBANKA_0308400,nonlethal
PBANKA_0313800,nonlethal
PBANKA_0315500,nonlethal
PBANKA_0402300,nonlethal
PBANKA_0408400,nonlethal
PBANKA_0409200,nonlethal
PBANKA_0414100,nonlethal
PBANKA_0414400,nonlethal
PBANKA_0504600,nonlethal
PBANKA_0505000,nonlethal
PBANKA_0507000,nonlethal
PBANKA_0512200,nonlethal
PBANKA_0513600,lethal
PBANKA_0517600,nonlethal
PBANKA_0520000,nonlethal
PBANKA_0520200,nonlethal
PBANKA_0603800,nonlethal
PBANKA_0606900,nonlethal
PBANKA_0607900,nonlethal
PBANKA_0608000,nonlethal
PBANKA_0611100,nonlethal
PBANKA_0611400,nonlethal
PBANKA_0611600,nonlethal
PBANKA_0614300,nonlethal
PBANKA_0617900,nonlethal
PBANKA_0621800,nonlethal
PBANKA_0702800,nonlethal
PBANKA_0706200,nonlethal
PBANKA_0710100,nonlethal
PBANKA_0710600,nonlethal
PBANKA_0714900,nonlethal
PBANKA_0715500,nonlethal
PBANKA_0715700,nonlethal
PBANKA_0717600,nonlethal
PBANKA_0718100,nonlethal
PBANKA_0802400,nonlethal
PBANKA_0803200,nonlethal
