,0
PF3D7_0610800.1-p1,nonlethal
PF3D7_0826400.1-p1,nonlethal
PF3D7_1247400.1-p1,nonlethal
PF3D7_0509600.1-p1,nonlethal
PF3D7_1462700.1-p1,nonlethal
PF3D7_0914000.1-p1,nonlethal
PF3D7_1412600.1-p1,nonlethal
PF3D7_0109300.1-p1,nonlethal
PF3D7_0206200.1-p1,nonlethal
PF3D7_1435000.1-p1,nonlethal
PF3D7_1445100.1-p1,nonlethal
PF3D7_0603700.1-p1,nonlethal
PF3D7_1412400.1-p1,nonlethal
PF3D7_1340900.1-p1,nonlethal
PF3D7_0802200.1-p1,nonlethal
PF3D7_1343600.1-p1,nonlethal
PF3D7_0504000.1-p1,nonlethal
PF3D7_0523800.1-p1,nonlethal
PF3D7_0607300.1-p1,nonlethal
PF3D7_1430900.1-p1,nonlethal
PF3D7_0628800.1-p1,nonlethal
PF3D7_1014000.1-p1,nonlethal
PF3D7_0616800.1-p1,nonlethal
PF3D7_1357900.1-p1,nonlethal
PF3D7_1205700.1-p1,nonlethal
PF3D7_1211900.1-p1,nonlethal
PF3D7_0626100.1-p1,nonlethal
PF3D7_1111500.1-p1,nonlethal
PF3D7_0106300.1-p1,nonlethal
PF3D7_1227200.1-p1,nonlethal
PF3D7_0503100.1-p1,nonlethal
PF3D7_1012500.1-p1,nonlethal
PF3D7_1020800.1-p1,nonlethal
PF3D7_1210900.1-p1,nonlethal
PF3D7_0316300.2-p1,nonlethal
PF3D7_1453800.1-p1,nonlethal
PF3D7_1454700.1-p1,nonlethal
PF3D7_1142400.1-p1,nonlethal
PF3D7_1354500.1-p1,nonlethal
PF3D7_1321500.1-p1,nonlethal
PF3D7_1321500.2-p1,nonlethal
PF3D7_1321600.1-p1,nonlethal
PF3D7_1116200.1-p1,nonlethal
PF3D7_0621200.1-p1,nonlethal
PF3D7_0907900.1-p1,nonlethal
PF3D7_1450300.1-p1,nonlethal
PF3D7_0910800.1-p1,nonlethal
PF3D7_0906500.1-p1,nonlethal
PF3D7_1329400.1-p1,nonlethal
PF3D7_1349400.1-p1,nonlethal
PF3D7_1015200.1-p1,nonlethal
PF3D7_1015200.3-p1,nonlethal
PF3D7_1015200.2-p1,nonlethal
PF3D7_0417200.1-p1,nonlethal
PF3D7_1128400.1-p1,nonlethal
PF3D7_1251300.1-p1,nonlethal
PF3D7_1364900.1-p1,nonlethal
PF3D7_0918900.1-p1,nonlethal
PF3D7_1351600.1-p1,nonlethal
PF3D7_0406400.1-p1,nonlethal
PF3D7_1012600.1-p1,nonlethal
