,0
PVX_114100.1-p1,nonlethal
PVX_096235.1-p1,nonlethal
PVX_117625.1-p1,nonlethal
PVX_000604.1-p1,nonlethal
PVAD80_MIT0002.1-p1,nonlethal
PVX_114050.1-p1,nonlethal
PVX_116630.1-p1,nonlethal
PVX_113625.1-p1,nonlethal
PVX_096305.1-p1,nonlethal
PVX_099325.1-p1,nonlethal
PVX_100560.1-p1,nonlethal
PVX_110920.1-p1,nonlethal
PVX_095405.1-p1,nonlethal
PVX_091455.1-p1,nonlethal
PVX_097975.1-p1,nonlethal
PVX_123625.1-p1,nonlethal
PVX_084135.1-p1,nonlethal
PVX_003920.1-p1,nonlethal
PVX_122725.1-p1,nonlethal
PVX_092410.1-p1,nonlethal
PVX_117670.1-p1,nonlethal
PVX_099135.1-p1,nonlethal
PVX_114515.1-p1,nonlethal
PVX_114875.1-p1,nonlethal
PVX_123415.1-p1,nonlethal
PVX_085460.1-p1,nonlethal
PVX_084735.1-p1,nonlethal
PVX_114315.1-p1,nonlethal
PVX_080650.1-p1,nonlethal
PVX_115335.1-p1,nonlethal
PVX_088880.1-p1,nonlethal
PVX_114265.1-p1,nonlethal
PVX_123860.1-p1,nonlethal
PVX_081230.1-p1,nonlethal
PVX_081255.1-p1,nonlethal
PVX_094840.1-p1,nonlethal
PVX_092535.1-p1,nonlethal
PVX_093610.1-p1,nonlethal
PVX_114990.1-p1,nonlethal
PVX_113330.1-p1,nonlethal
PVX_117475.1-p1,nonlethal
PVX_123000.1-p1,nonlethal
PVX_119445.1-p1,nonlethal
PVX_099180.1-p1,nonlethal
PVX_111375.1-p1,nonlethal
PVX_083005.1-p1,nonlethal
PVX_111070.1-p1,nonlethal
PVX_003765.1-p1,nonlethal
PVX_118180.1-p1,nonlethal
PVX_122425.1-p1,nonlethal
PVX_085665.1-p1,nonlethal
PVX_119585.1-p1,nonlethal
PVX_083135.1-p1,nonlethal
PVX_085940.1-p1,nonlethal
PVX_095015.1-p1,nonlethal
PVX_123175.1-p1,nonlethal
PVX_081535.1-p1,nonlethal
PVX_085045.1-p1,nonlethal
PVX_089705.1-p1,nonlethal
PVX_098690.1-p1,nonlethal
PVX_118305.1-p1,nonlethal
PVX_001945.1-p1,nonlethal
PVX_082790.1-p1,nonlethal
PVX_122485.1-p1,nonlethal
PVX_091380.1-p1,nonlethal
PVX_099895.1-p1,nonlethal
PVX_085005.1-p1,nonlethal
PVX_101195.1-p1,nonlethal
spontaneous,nonlethal
PVX_084630.1-p1,nonlethal
PVX_100930.1-p1,nonlethal
PVX_113835.1-p1,nonlethal
PVX_083125.1-p1,nonlethal
PVX_000955.1-p1,nonlethal
PVX_114635.1-p1,nonlethal
PVX_091640.1-p1,nonlethal
PVX_113350.1-p1,nonlethal
PVX_090880.1-p1,nonlethal
PVX_081300.1-p1,nonlethal
PVX_100545.1-p1,nonlethal
PVX_000630.1-p1,nonlethal
PVX_091785.1-p1,nonlethal
PVX_114832.1-p1,nonlethal
PVX_099025.1-p1,nonlethal
PVX_082470.1-p1,nonlethal
PVX_138260-t26_1-p1,nonlethal
PVX_114830.1-p1,nonlethal
PVX_087155.1-p1,nonlethal
PVX_000545.1-p1,nonlethal
PVX_123480.1-p1,nonlethal
PVX_092755.1-p1,nonlethal
PVX_123030.1-p1,nonlethal
PVX_111005.1-p1,nonlethal
PVX_123435.1-p1,nonlethal
PVX_113675.1-p1,nonlethal
PVX_101260.1-p1,nonlethal
PVX_098040.1-p1,nonlethal
PVX_117325.1-p1,nonlethal
PVX_099125.1-p1,nonlethal
PVX_085825.1-p1,nonlethal
PVX_003745.1-p1,nonlethal
PVX_084785.1-p1,nonlethal
PVX_118235.1-p1,nonlethal
PVX_085110.1-p1,nonlethal
PVX_085835.1-p1,nonlethal
PVX_082960.1-p1,nonlethal
PVX_093630.1-p1,nonlethal
PVX_080060.1-p1,nonlethal
PVX_113530.1-p1,nonlethal
PVX_084995.1-p1,nonlethal
PVX_089895.1-p1,nonlethal
PVX_114540.1-p1,nonlethal
PVX_113980.1-p1,nonlethal
PVX_084625.1-p1,nonlethal
PVX_003965.1-p1,nonlethal
PVX_081455.1-p1,nonlethal
PVX_123990.1-p1,nonlethal
PVX_110895.1-p1,nonlethal
PVX_097660.1-p1,nonlethal
PVX_122730.1-p1,nonlethal
PVX_094845.1-p1,nonlethal
PVX_001900.1-p1,nonlethal
PVX_084575.1-p1,nonlethal
PVX_095420.1-p1,nonlethal
PVX_117790.1-p1,nonlethal
PVX_117745.1-p1,nonlethal
PVX_092725.1-p1,nonlethal
PVX_114710.1-p1,nonlethal
PVX_122890.1-p1,nonlethal
PVX_122885.1-p1,nonlethal
PVX_119310.1-p1,nonlethal
PVX_091440.1-p1,nonlethal
PVX_114180.1-p1,nonlethal
PVX_098840.1-p1,nonlethal
PVX_098770.1-p1,nonlethal
PVX_082415.1-p1,nonlethal
PVX_211290-t26_1-p1,nonlethal
PVX_083365.1-p1,nonlethal
PVX_094980.1-p1,nonlethal
PVX_089950.1-p1,nonlethal
PVX_092040.1-p1,nonlethal
PVX_101455.1-p1,nonlethal
PVX_115205.1-p1,nonlethal
PVX_003665.1-p1,nonlethal
PVX_099360.1-p1,nonlethal
PVX_083470.1-p1,nonlethal
PVX_084315.1-p1,nonlethal
PVX_000925.1-p1,nonlethal
PVX_094850.1-p1,nonlethal
PVX_084510.1-p1,nonlethal
PVX_114255.1-p1,nonlethal
PVX_088945.1-p1,nonlethal
PVX_091330.1-p1,nonlethal
PVX_089180.1-p1,nonlethal
PVX_110980.1-p1,nonlethal
PVX_094445.1-p1,nonlethal
PVX_118375.1-p1,nonlethal
PVX_117805.1-p1,nonlethal
PVX_116500.1-p1,nonlethal
PVX_085725.1-p1,nonlethal
PVX_085200.1-p1,nonlethal
PVX_123380.1-p1,nonlethal
PVX_101475.1-p1,nonlethal
PVX_082775.1-p1,nonlethal
PVX_088930.1-p1,nonlethal
PVX_091820.1-p1,nonlethal
PVX_118465.1-p1,nonlethal
PVX_087835.1-p1,nonlethal
PVX_122650.1-p1,nonlethal
PVX_094665.1-p1,nonlethal
PVX_091845.1-p1,nonlethal
PVX_123330.1-p1,nonlethal
PVX_085815.1-p1,nonlethal
PVX_094895.1-p1,nonlethal
PVX_122605.1-p1,nonlethal
PVX_092685.1-p1,nonlethal
PVX_092962.1-p1,nonlethal
PVX_113290.1-p1,nonlethal
PVX_080220.1-p1,nonlethal
PVX_111575.1-p1,nonlethal
PVX_080115.1-p1,nonlethal
PVX_123540.1-p1,nonlethal
PVX_089555.1-p1,nonlethal
PVX_118255.1-p1,nonlethal
PVX_095175.1-p1,nonlethal
PVX_002950.1-p1,nonlethal
PVX_088230.1-p1,nonlethal
PVX_115045.1-p1,nonlethal
PVAD80_MIT0001.1-p1,nonlethal
PVX_111245.1-p1,nonlethal
PVX_085995.1-p1,nonlethal
PVX_115190.1-p1,nonlethal
PVX_084695.1-p1,nonlethal
PVX_002940.1-p1,nonlethal
PVX_116830.1-p1,nonlethal
PVX_111455.1-p1,nonlethal
PVX_082520.1-p1,nonlethal
PVX_087015.1-p1,nonlethal
PVX_082575.1-p1,nonlethal
PVX_084340.1-p1,nonlethal
PVX_080605.1-p1,nonlethal
PVX_137260-t26_1-p1,nonlethal
PVX_113935.1-p1,nonlethal
PVX_101010.1-p1,nonlethal
PVX_001740.1-p1,nonlethal
PVX_099680.1-p1,nonlethal
PVX_116490.1-p1,nonlethal
PVX_116620.1-p1,nonlethal
PVX_123635.1-p1,nonlethal
PVX_088145.1-p1,nonlethal
PVX_091505.1-p1,nonlethal
PVX_080285.1-p1,nonlethal
PVX_117225.1-p1,nonlethal
PVX_114705.1-p1,nonlethal
PVX_082995.1-p1,nonlethal
PVX_122165.1-p1,nonlethal
PVX_088205.1-p1,nonlethal
PVX_000935.1-p1,nonlethal
PVX_092600.1-p1,nonlethal
PVX_081270.1-p1,nonlethal
PVX_111355.1-p1,nonlethal
PVX_002580.1-p1,nonlethal
PVX_085575.1-p1,nonlethal
PVX_080435.1-p1,nonlethal
PVX_093530.1-p1,nonlethal
PVX_001765.1-p1,nonlethal
PVX_098875.1-p1,nonlethal
PVX_114920.1-p1,nonlethal
PVX_113785.1-p1,nonlethal
PVX_117015.1-p1,nonlethal
PVX_002885.1-p1,nonlethal
PVX_080170.1-p1,nonlethal
PVX_085660.1-p1,nonlethal
PVX_114275.1-p1,nonlethal
PVX_122195.1-p1,nonlethal
PVX_091460.1-p1,nonlethal
PVX_089540.1-p1,nonlethal
PVX_099700.1-p1,nonlethal
PVAD80_MIT0001,nonlethal
PVAD80_MIT0003,nonlethal
PVX_000600,nonlethal
PVX_000890,nonlethal
PVX_001880,nonlethal
PVX_001900,nonlethal
PVX_002600,nonlethal
PVX_002685,nonlethal
PVX_002950,nonlethal
PVX_002960,nonlethal
PVX_002965,nonlethal
PVX_003575,nonlethal
PVX_003665,nonlethal
PVX_003675,nonlethal
PVX_003750,nonlethal
PVX_003880,nonlethal
PVX_003910,nonlethal
PVX_003920,nonlethal
PVX_003935,nonlethal
PVX_003965,nonlethal
PVX_079755,nonlethal
PVX_079990,nonlethal
PVX_080135,nonlethal
PVX_080170,nonlethal
PVX_080215,nonlethal
PVX_080375,nonlethal
PVX_080470,nonlethal
PVX_080480,nonlethal
PVX_080525,nonlethal
PVX_080575,nonlethal
PVX_080675,nonlethal
PVX_081310,nonlethal
PVX_081425,nonlethal
PVX_081535,nonlethal
PVX_081572,nonlethal
PVX_081595,nonlethal
PVX_081665,nonlethal
PVX_082590,nonlethal
PVX_082790,nonlethal
PVX_082980,nonlethal
PVX_083005,nonlethal
PVX_083075,nonlethal
PVX_083095,nonlethal
PVX_083135,nonlethal
PVX_083260,nonlethal
PVX_083350,nonlethal
PVX_083365,nonlethal
PVX_083470,nonlethal
PVX_083515,nonlethal
PVX_084285,nonlethal
PVX_084340,nonlethal
PVX_084455,nonlethal
PVX_084510,nonlethal
PVX_084660,nonlethal
PVX_084675,nonlethal
PVX_084685,nonlethal
PVX_084785,nonlethal
PVX_084805,nonlethal
PVX_085025,nonlethal
PVX_085190,nonlethal
PVX_085995,nonlethal
PVX_086155,nonlethal
PVX_086205,nonlethal
PVX_086240,nonlethal
PVX_086250,nonlethal
PVX_086340,nonlethal
PVX_087090,nonlethal
PVX_087780,nonlethal
PVX_087815,nonlethal
PVX_087835,nonlethal
PVX_088010,nonlethal
PVX_088015,nonlethal
PVX_088230,nonlethal
PVX_088270,nonlethal
PVX_088960,nonlethal
PVX_089140,nonlethal
PVX_089325,nonlethal
PVX_089355,nonlethal
PVX_089610,nonlethal
PVX_089635,nonlethal
PVX_089645,nonlethal
PVX_089735,nonlethal
PVX_089895,nonlethal
PVX_090105,nonlethal
PVX_090280,nonlethal
PVX_090920,nonlethal
PVX_091440,nonlethal
PVX_091700,nonlethal
PVX_091840,nonlethal
PVX_092035,nonlethal
PVX_092230,nonlethal
PVX_092245,nonlethal
PVX_092250,nonlethal
PVX_092315,nonlethal
PVX_092460,nonlethal
PVX_092535,nonlethal
PVX_092585,nonlethal
PVX_092685,nonlethal
PVX_092725,nonlethal
PVX_092800,nonlethal
PVX_092958,nonlethal
PVX_092962,nonlethal
PVX_092970,nonlethal
PVX_093540,nonlethal
PVX_093650,nonlethal
PVX_094435,nonlethal
PVX_094835,nonlethal
PVX_094895,nonlethal
PVX_094970,nonlethal
PVX_095010,nonlethal
PVX_095120,nonlethal
PVX_095295,nonlethal
PVX_095405,nonlethal
PVX_095420,nonlethal
PVX_096130,nonlethal
PVX_096305,nonlethal
PVX_097660,nonlethal
PVX_097790,nonlethal
PVX_097920,nonlethal
PVX_097935,nonlethal
PVX_097970,nonlethal
PVX_097975,nonlethal
PVX_098050,nonlethal
PVX_099100,nonlethal
PVX_099120,nonlethal
PVX_099125,nonlethal
PVX_099220,nonlethal
PVX_099255,nonlethal
PVX_099320,nonlethal
PVX_099385,nonlethal
PVX_099395,nonlethal
PVX_099555,nonlethal
PVX_099570,nonlethal
