,genes,gene_assoc_w_other_rxns?
3HAD100_1,frozenset({<Gene PF3D7_1323000.1-p1 at 0x2b9d2be69630>}),no
3HAD120_1,frozenset({<Gene PF3D7_1323000.1-p1 at 0x2b9d2be69630>}),no
3HAD80_1,frozenset({<Gene PF3D7_1323000.1-p1 at 0x2b9d2be69630>}),no
3OAS100_1,frozenset({<Gene PF3D7_0211400.1-p1 at 0x2b9d2be69978>}),no
3OAS120_1,frozenset({<Gene PF3D7_0211400.1-p1 at 0x2b9d2be69978>}),no
3OAS140_1,frozenset({<Gene PF3D7_0211400.1-p1 at 0x2b9d2be69978>}),no
3OAS160_1,frozenset({<Gene PF3D7_0211400.1-p1 at 0x2b9d2be69978>}),no
3OAS60_1,frozenset({<Gene PF3D7_0211400.1-p1 at 0x2b9d2be69978>}),no
3OAS80_1,frozenset({<Gene PF3D7_0211400.1-p1 at 0x2b9d2be69978>}),no
AACP1819ZS,frozenset({<Gene PF3D7_0215000.1-p1 at 0x2b9d2be97828>}),no
AACPS1_1,frozenset({<Gene PF3D7_0215000.1-p1 at 0x2b9d2be97828>}),no
AACPS3_1,frozenset({<Gene PF3D7_0215000.1-p1 at 0x2b9d2be97828>}),no
AACPS4_1,frozenset({<Gene PF3D7_0215000.1-p1 at 0x2b9d2be97828>}),no
AACPS5_1,frozenset({<Gene PF3D7_0215000.1-p1 at 0x2b9d2be97828>}),no
AACPS6_1,frozenset({<Gene PF3D7_0215000.1-p1 at 0x2b9d2be97828>}),no
ABFPTh,frozenset({<Gene PF3D7_0624000.1-p1 at 0x2b9d2be979b0>}),no
ACCOAth,frozenset({<Gene PF3D7_1036800.1-p1 at 0x2b9d2be97550>}),no
ACCOAtx,frozenset({<Gene PF3D7_1036800.1-p1 at 0x2b9d2be97550>}),no
ACOA100OR,frozenset({<Gene PF3D7_1455900.1-p1 at 0x2b9d2be97860>}),no
ACOA120OR,frozenset({<Gene PF3D7_1455900.1-p1 at 0x2b9d2be97860>}),no
ACOA140OR,frozenset({<Gene PF3D7_1455900.1-p1 at 0x2b9d2be97860>}),no
ACOA160OR,frozenset({<Gene PF3D7_1455900.1-p1 at 0x2b9d2be97860>}),no
ACOA40OR,frozenset({<Gene PF3D7_1455900.1-p1 at 0x2b9d2be97860>}),no
ACOA60OR,frozenset({<Gene PF3D7_1455900.1-p1 at 0x2b9d2be97860>}),no
ACOA80OR,frozenset({<Gene PF3D7_1455900.1-p1 at 0x2b9d2be97860>}),no
ACOATA_1,frozenset({<Gene PF3D7_0211400.1-p1 at 0x2b9d2be69978>}),no
ACOLIPAabctex,frozenset({<Gene PF3D7_1426500.1-p1 at 0x2b9d2be69b00>}),no
ACP1619ZD9DS,frozenset({<Gene PF3D7_1318100.1-p1 at 0x2b9d2be977b8>}),no
ACP1819ZD9DS,frozenset({<Gene PF3D7_1318100.1-p1 at 0x2b9d2be977b8>}),no
ACPh,frozenset({<Gene PF3D7_1111500.1-p1 at 0x2b9d2bebc6d8>}),no
ACSp,frozenset({<Gene PF3D7_0627800.1-p1 at 0x2b9d2be697b8>}),no
ADSSh,frozenset({<Gene PF3D7_1354500.1-p1 at 0x2b9d2bebca58>}),no
AGPAT1601819Zh,frozenset({<Gene PF3D7_1444300.1-p1 at 0x2b9d2be69860>}),no
AGPAT160h,frozenset({<Gene PF3D7_1444300.1-p1 at 0x2b9d2be69860>}),no
AGPAT1801819Zh,frozenset({<Gene PF3D7_1444300.1-p1 at 0x2b9d2be69860>}),no
AGPAT18111Z160h,frozenset({<Gene PF3D7_1444300.1-p1 at 0x2b9d2be69860>}),no
AGPAT18111Z1819Zh,frozenset({<Gene PF3D7_1444300.1-p1 at 0x2b9d2be69860>}),no
AGPAT1819Z160h,frozenset({<Gene PF3D7_1444300.1-p1 at 0x2b9d2be69860>}),no
AGPAT1819Z1619Zh,frozenset({<Gene PF3D7_1444300.1-p1 at 0x2b9d2be69860>}),no
AGPAT1819Z18111Zh,frozenset({<Gene PF3D7_1444300.1-p1 at 0x2b9d2be69860>}),no
AGPAT1819Z1819Zh,frozenset({<Gene PF3D7_1444300.1-p1 at 0x2b9d2be69860>}),no
AHAL,frozenset({<Gene PF3D7_1457200.1-p1 at 0x2b9d2be86588>}),no
AM6PTh,frozenset({<Gene PF3D7_0624000.1-p1 at 0x2b9d2be979b0>}),no
AMITKPn,frozenset({<Gene PF3D7_1316100.1-p1 at 0x2b9d2be86da0>}),no
APNn,"frozenset({<Gene PF3D7_1321600.1-p1 at 0x2b9d2bebcc18>, <Gene PF3D7_1321500.1-p1 at 0x2b9d2bebcbe0>, <Gene PF3D7_1321500.2-p1 at 0x2b9d2bebcb70>})",yes
APhi,frozenset({<Gene PF3D7_1111500.1-p1 at 0x2b9d2bebc6d8>}),no
ASO4rt2rpp,frozenset({<Gene PF3D7_1340900.1-p1 at 0x2b9d2bebc2e8>}),no
ASPCTn,frozenset({<Gene PF3D7_1308200.1-p1 at 0x2b9d2be69a20>}),no
ATAMh,"frozenset({<Gene PF3D7_0111500.1-p1 at 0x2b9d2be97e80>, <Gene PF3D7_0110900.1-p1 at 0x2b9d2be97e48>, <Gene PF3D7_0415600.1-p1 at 0x2b9d2be69908>})",yes
