,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107
no_ortho_CmeleagridisUKMEL1,FAS141ACPm,FAS181ACPm,THRTRSm,VALTRSm,HEXTT,PREPTHS2,MCBTS3,GRTT2,MEGLYXYLAMH,PTOR,ULA4NFT,FAS182ACPm,HEMEOMOm,HISTRSm,TRPTRSm,MCBTS2,MCBTS,AMYe,GLYCOe,LIDOAMH,DMATT,2HP6MPMOm,FAS80ACPm_L,GHMT2rm,LYSTRSm,METTRSm,OXO2Ctm,HBZOPT6,FEDCabc,ALATL,THZPSN3,CRNCARtm,FAS161ACPm,UDPDPS2,AMYLe,DOLASNT,IPDPUPT,SECYSTL,ENLIPIDAt1exc,AGPAT1801819Zhc,AGPAT1819Z1819Zhc,AGPAT1601819Zhc,AGAT_LLA,MOAT2,GHMT2r_m,GAT1_LLA,PLA2_2enhs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PgaboniG01,HEMEOSm,ILETRSm,THRTRSm,VALTRSm,CD2t4,ASNTRSm,HISTRSm,LEUTRSm,PHETRSm,DHORD2,GHMT2rm,LYSTRSm,METTRSm,PPTTm,HBZOPT6,FEDCabc,APAPTm,HEMEOSm_1,ASPTRSm,CRNCARtm,DOLASNT,HEMELm,SECYSTL,HCGALm,CBFCc,THZPSN_mt2,THZPSNm,DSBAO1e,GHMT2r_ap,GHMT2r_m,DOLPMT3,FCLT_ap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_TbruceigambienseDAL972,HEMEOSm,ACSERSULLm,MEGLYXYLAMH,DHROm,CD2t4,NALN6,LIDOAMH,AHSERL3,2HP6MPMOm,LYSTRSm,METTRSm,PPTTm,UPLA4NT,HBZOPT6,HBZOPT6m_1,FEDCabc,HEMEOSm_1,MCPST,OMMBLHX6m,DOLASNT,ACSERL,CYSS_m,NDP3ex,MLDEP1ppc,MLDEP2ppc,ENLIPIDAt1exc,MGDGW3DS1829Z12Z1644Z7Z10Z13Zc,DVPCHLD646ORc,PCHLD646ORc,SQDGW3DS1839Z12Z15Z160c,DGDGW3DS1829Z12Z1637Z10Z13Zc,DVPCHLD450ORc,DGDGD7DS1819Z1617Zc,MGDGD7DS1819Z1617Zc,MGDGD7DS1829Z12Z1617Zc,DGDGW3DS1819Z1637Z10Z13Zc,MGDGW3DS1819Z1637Z10Z13Zc,DGDGW3DS1839Z12Z15Z1634Z7Z10Zc,MGDGW3DS1829Z12Z1637Z10Z13Zc,PCHLD450ORc,PGW3DS1839Z12Z15Z160c,MGDGW3DS1839Z12Z15Z1627Z10Zc,MGDGW3DS1839Z12Z15Z160c,MGDGW3DS1839Z12Z15Z1634Z7Z10Zc,DGDGW3DS1839Z12Z15Z160c,DGDGW3DS1839Z12Z15Z1627Z10Zc,DGDGD7DS1829Z12Z1617Zc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_Vculicisfloridensis,PANTS,C160SN,GRTT2,PLDAGAT16018111Z1819Z2,PLDAGAT16018111Z1819Z4,PLDAGAT1601819Z1601,PLDAGAT1601819Z18111Z1,PLDAGAT1601819Z1819Z3,PLDAGAT1601819Z1819Z4,PLDAGAT18111Z1819Z1601,PLDAGAT18111Z1819Z1602,PLDAGAT18111Z1819Z18111Z1,PLDAGAT1819Z18111Z1601,PLDAGAT1819Z18111Z1819Z1,PLDAGAT1819Z18111Z1819Z4,PLDAGAT1819Z1819Z18111Z1,PLDAGAT1819Z1819Z18111Z2,PLDAGAT1819Z1819Z18111Z3,C181SN,PLDAGAT16018111Z1601,PLDAGAT16018111Z1602,PLDAGAT1601819Z18111Z2,PLDAGAT1601819Z18111Z3,PLDAGAT1801819Z18111Z1,PLDAGAT1801819Z1819Z3,PLDAGAT18111Z18111Z1601,PLDAGAT18111Z18111Z18111Z2,PLDAGAT18111Z18111Z1819Z4,PLDAGAT18111Z1819Z1819Z1,PLDAGAT18111Z1819Z1819Z3,PLDAGAT18111Z1819Z1819Z4,PLDAGAT1819Z18111Z1819Z2,PLDAGAT1819Z1819Z1601,PLDAGAT1819Z1819Z1819Z1,PLDAGAT1819Z1819Z1819Z2,PLDAGAT1819Z1819Z1819Z3,PLDAGAT1819Z1819Z1819Z4,GRTT,TKT2,HBZOPT6,C180SN,FEDCabc,PLDAGAT16018111Z18111Z1,PLDAGAT16018111Z18111Z2,PLDAGAT16018111Z1819Z3,PLDAGAT1801819Z1819Z2,PLDAGAT18111Z18111Z1819Z3,PLDAGAT18111Z1819Z18111Z2,PLDAGAT18111Z1819Z18111Z3,PLDAGAT1819Z18111Z1602,PLDAGAT1819Z18111Z18111Z1,PLDAGAT1819Z18111Z18111Z3,PLDAGAT1819Z18111Z1819Z3,S2FE2SR,C140SN,PLDAGAT16018111Z18111Z3,PLDAGAT16018111Z1819Z1,PLDAGAT1601819Z1602,PLDAGAT1601819Z1819Z1,PLDAGAT1601819Z1819Z2,PLDAGAT1801819Z1601,PLDAGAT1801819Z1602,PLDAGAT1801819Z18111Z2,PLDAGAT1801819Z18111Z3,PLDAGAT1801819Z1819Z1,PLDAGAT1801819Z1819Z4,PLDAGAT18111Z18111Z1602,PLDAGAT18111Z18111Z18111Z1,PLDAGAT18111Z18111Z18111Z3,PLDAGAT18111Z18111Z1819Z1,PLDAGAT18111Z18111Z1819Z2,PLDAGAT18111Z1819Z1819Z2,PLDAGAT1819Z18111Z18111Z2,PLDAGAT1819Z1819Z1602,ENLIPIDAt1exc,TKT2hc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PfalciparumGB4,HEMEOSm,ILETRSm,THRTRSm,VALTRSm,CDGGGPP3,CD2t4,ASNTRSm,HISTRSm,PHETRSm,AGPAT190,GHMT2rm,LYSTRSm,METTRSm,PPTTm,HBZOPT6,FEDCabc,APAPTm,HEMEOSm_1,ASPTRSm,CRNCARtm,CDGGGPP4,DOLASNT,HEMELm,HCGALm,SECYSTL,CYO1bpp_sync,ENLIPIDAt1exc,CYO1b2pp_sync,THZPSNm,THZPSN_mt2,GHMT2r_m,GHMT2r_ap,DOLPMT3,FCLT_ap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_PfalciparumGA01,HEMEOSm,ILETRSm,THRTRSm,VALTRSm,CDGGGPP3,CD2t4,ASNTRSm,HISTRSm,PHETRSm,AGPAT190,GHMT2rm,LYSTRSm,METTRSm,PPTTm,HBZOPT6,FEDCabc,ALATL,APAPTm,HEMEOSm_1,ASPTRSm,CRNCARtm,CDGGGPP4,DOLASNT,HEMELm,HCGALm,SECYSTL,CYO1bpp_sync,CYO1b2pp_sync,ENLIPIDAt1exc,biomass,ANXANOR,ACHMSSELCYSLh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PcoatneyiHackeri,HEMEOSm,ILETRSm,THRTRSm,VALTRSm,CD2t4,ASNTRSm,HISTRSm,PHETRSm,DHORD2,FTHFLmi,GHMT2rm,LYSTRSm,METTRSm,PPTTm,HBZOPT6,FEDCabc,APAPTm,HEMEOSm_1,S2FE2SR,ASPTRSm,CRNCARtm,DOLASNT,HEMELm,SECYSTL,HCGALm,NDP3ex,CBFCc,ENLIPIDAt1exc,DSBAO1e,FCLT_ap,DOLPMT3,GHMT2r_ap,GHMT2r_m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_NdisplodereJUm2807,2AGPGAT141,PANTS,4M2OPLOXRD,CD2t4,2AGPEAT141,ALATA_D2,HBZOPT6,FEDCabc,THZPSN3,3M2OBLOXRD,3M2OPLOXRD,DOLASNTc,GTHPe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_TrangeliSC58,THRTRSm,VALTRSm,DHROm,UPLA4FNT,HEMEOMOm,NALN6,AHSERL3,2HP6MPMOm,LYSTRSm,METTRSm,PPTTm,UPLA4NT,HBZOPT6,HBZOPT6m_1,FEDCabc,ALATL,DOLASNT,ACSERL,CYSS_m,SECYSTL,DGDGW3DS1829Z12Z1637Z10Z13Zc,DVPCHLD450ORc,MGDGW3DS1819Z1637Z10Z13Zc,MGDGW3DS1829Z12Z1637Z10Z13Zc,MGDGW3DS1839Z12Z15Z1627Z10Zc,PCHLD450ORc,DVPCHLD646ORc,PCHLD646ORc,DGDGW3DS1839Z12Z15Z160c,DGDGW3DS1839Z12Z15Z1627Z10Zc,SQDGW3DS1839Z12Z15Z160c,DGDGW3DS1819Z1637Z10Z13Zc,DGDGW3DS1839Z12Z15Z1634Z7Z10Zc,PGW3DS1839Z12Z15Z160c,MGDGW3DS1829Z12Z1644Z7Z10Z13Zc,MGDGW3DS1839Z12Z15Z160c,MGDGW3DS1839Z12Z15Z1634Z7Z10Zc,DHPS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_LturanicaLEM423,THRTRSm,VALTRSm,SQD2_183_9_12_15,CD2t4,SQD2_183_6_9_12,FTHFLmi,LYSTRSm,METTRSm,PPTTm,HBZOPT6m_1,SQD2_181_9,SQD2_182_9_12,ALATL,APAPTm,HEMEOSm_1,LIPO3S24_BS,CRNCARtm,TECA2S,SQD2_184_6_9_12_15,DOLASNT,UDCPDPex,NDP3ex,LPSSYN_HPc,ENLIPIDAt1exc,PLDAGAT_DHA_EPA_ARA_PC_7_c,HMR_2718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_LenriettiiLEM3045,THRTRSm,VALTRSm,MCBTS3,SQD2_183_9_12_15,PLDAGAT16018111Z1819Z2,PLDAGAT16018111Z1819Z4,NALN6,MCBTS2,MCBTS,SQD2_183_6_9_12,SQD2_181,PLDAGAT16018111Z1601,PLDAGAT16018111Z1602,PLDAGAT18111Z18111Z1601,PLDAGAT18111Z18111Z18111Z2,PLDAGAT18111Z18111Z1819Z4,2HP6MPMOm,FTHFLmi,GHMT2rm,LYSTRSm,METTRSm,PPTTm,HBZOPT6m_1,SQD2_161,SQD2_181_9,SQD2_182_9_12,ALATL,PLDAGAT16018111Z18111Z1,PLDAGAT16018111Z18111Z2,PLDAGAT16018111Z1819Z3,PLDAGAT18111Z18111Z1819Z3,APAPTm,HEMEOSm_1,LIPO3S24_BS,APCS,CRNCARtm,TECA2S,TPK1,SQD2_180,SQD2_184_6_9_12_15,PLDAGAT16018111Z18111Z3,PLDAGAT16018111Z1819Z1,PLDAGAT18111Z18111Z1602,PLDAGAT18111Z18111Z18111Z1,PLDAGAT18111Z18111Z18111Z3,PLDAGAT18111Z18111Z1819Z1,PLDAGAT18111Z18111Z1819Z2,SULOm,SECYSTL,FEROt,r0016,ENLIPIDAt1exc,LPSSYN_HPc,DOLPGT3_c,HGPHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_PknowlesiMalayanPk1A,HEMEOSm,ILETRSm,THRTRSm,VALTRSm,CD2t4,DHPS2,UPLA4FNT,ASNTRSm,HISTRSm,PHETRSm,FTHFLmi,GHMT2rm,LYSTRSm,METTRSm,PPTTm,HBZOPT6,FEDCabc,ALATL,APAPTm,HEMEOSm_1,ASPTRSm,CRNCARtm,DOLASNT,HEMELm,SECYSTL,HCGALm,CBFCc,ENLIPIDAt1exc,biomass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_Tgondiip89,2AGPGAT141,THRTRSm,VALTRSm,CD2t4,DHPS2,HISTRSm,PHETRSm,2AGPEAT141,LYSTRSm,METTRSm,PPTTm,GLCR1TRB1,HBZOPT6,HBZOPT6m_1,ALATL,HEMEOSm_1,LIPO3S24_BS,MCPST,ASPTRSm,GLCR1TRA1,DOLASNT,HEMELm,CYSS_m,SECYSTL,DVPCHLD450ORc,PCHLD450ORc,DVPCHLD646ORc,PCHLD646ORc,ENLIPIDAt1exc,FE3DCITexs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_TgondiiFOU,2AGPGAT141,THRTRSm,VALTRSm,DHPS2,HISTRSm,PHETRSm,2AGPEAT141,LYSTRSm,METTRSm,PPTTm,HBZOPT6m_1,ALATL,HEMEOSm_1,MCPST,ASPTRSm,DOLASNT,HEMELm,CYSS_m,SECYSTL,DVPCHLD450ORc,ENLIPIDAt1exc,PCHLD450ORc,DVPCHLD646ORc,PCHLD646ORc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_NausubeliERTm2,2AGPGAT141,PANTS,GRTT2,UPLA4FNT,MCCC,NaKt_1,2AGPEAT141,ALATA_D2,GRTT,UREASE,HBZOPT6,FEDCabc,THZPSN3,GTHPe,DOLASNTc,MCTCc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_LgerbilliLEM452,THRTRSm,VALTRSm,SQD2_160,SQD2_183_9_12_15,SQD2_183_6_9_12,SQD2_181,2HP6MPMOm,FTHFLmi,GHMT2rm,LYSTRSm,METTRSm,PPTTm,HBZOPT6m_1,SQD2_161,SQD2_181_9,SQD2_182_9_12,ALATL,APAPTm,HEMEOSm_1,LIPO3S24_BS,APCS,CRNCARtm,TECA2S,SQD2_180,SQD2_184_6_9_12_15,DOLASNT,UDCPDPex,SECYSTL,NDP3ex,ENLIPIDAt1exc,LPSSYN_HPc,PLDAGAT_PALM_EPA_DHA_PE_15_c,PLDAGAT_DHA_EPA_DHA_PE_15_c,PLDAGAT_DHA_EPA_DHA_PE_9_c,PLDAGAT_MYRS_EPA_DHA_PE_9_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_PreichenowiCDC,HEMEOSm,ILETRSm,THRTRSm,VALTRSm,CDGGGPP3,CD2t4,ASNTRSm,PHETRSm,AGPAT190,GHMT2rm,LYSTRSm,METTRSm,PPTTm,HBZOPT6,FEDCabc,ALATL,APAPTm,HEMEOSm_1,ASPTRSm,CDGGGPP4,DOLASNT,HEMELm,SECYSTL,HCGALm,CYO1b2pp_sync,CYO1bpp_sync,biomass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_TcongolenseIL3000,HEMEOSm,THRTRSm,VALTRSm,HEXTT,CD2t4,IPDDI3x,2HP6MPMOm,FTHFLmi,LYSTRSm,METTRSm,HBZOPT6m_1,FEDCabc,IPDDI3y,ALATL,HEMEOSm_1,TPK1,UDPDPS2,DOLASNT,IPDPUPT,NDP3ex,ENLIPIDAt1exc,PLDAGAT_HDE_EPA_LNA_PC_1_c,PLDAGAT_PALM_PALM_LNA_PC_4_c,PLDAGAT_DHA_EPA_ARA_PC_5_c,PLDAGAT_OLE_PALM_HDE_PC_6_c,PLDAGAT_HDE_MYRS_LNA_PE_12_c,PLDAGAT_HDE_EPA_ARA_PE_11_c,PLDAGAT_HDE_EPA_ARA_PC_7_c,PLDAGAT_HDE_HDE_HDE_PE_15_c,PLDAGAT_LNA_PALM_HDE_PC_4_c,PLDAGAT_MYRS_EPA_ARA_PC_7_c,PLDAGAT_MYRS_EPA_ARA_PE_12_c,PLDAGAT_MYRS_EPA_HDE_PC_3_c,PLDAGAT_EPA_EPA_ARA_PC_3_c,PLDAGAT_MYRS_EPA_HDE_PC_4_c,PLDAGAT_HDE_PALM_LNA_PC_2_c,PLDAGAT_PALM_EPA_LNA_PE_12_c,PLDAGAT_PALM_PALM_LNA_PC_1_c,PLDAGAT_LNA_PALM_HDE_PE_14_c,CHOPT_HDE_DHA_c,PLDAGAT_HDE_EPA_LNA_PC_2_c,PLDAGAT_EPA_EPA_ARA_PE_11_c,PLDAGAT_HDE_MYRS_LNA_PC_4_c,PLDAGAT_PALM_EPA_LNA_PC_6_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_LaethiopicaL147,THRTRSm,VALTRSm,SQD2_160,SQD2_183_9_12_15,CD2t4,SQD2_183_6_9_12,SQD2_181,2HP6MPMOm,FTHFLmi,GHMT2rm,LYSTRSm,METTRSm,PPTTm,HBZOPT6m_1,SQD2_161,SQD2_181_9,SQD2_182_9_12,ALATL,APAPTm,HEMEOSm_1,LIPO3S24_BS,CRNCARtm,TECA2S,TPK1,SQD2_180,SQD2_184_6_9_12_15,DOLASNT,SULOm,SECYSTL,ENLIPIDAt1exc,LPSSYN_HPc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_ChominisUdeA01,FAS141ACPm,FAS181ACPm,THRTRSm,VALTRSm,HEXTT,PREPTHS2,MCBTS3,GRTT2,MEGLYXYLAMH,PTOR,3OAS80,ULA4NFT,FAS182ACPm,HEMEOMOm,HISTRSm,TRPTRSm,MCBTS2,MCBTS,AMYe,GLYCOe,LIDOAMH,3OAS60,ALATA_D2,DMATT,2HP6MPMOm,FAS80ACPm_L,GHMT2rm,LYSTRSm,METTRSm,HBZOPT6,FEDCabc,ALATL,KAS14,THZPSN3,ASPTRSm,CRNCARtm,FAS161ACPm,UDPDPS2,AMYLe,DOLASNT,IPDPUPT,SECYSTL,ENLIPIDAt1exc,AGPAT1801819Zhc,AGPAT1819Z1819Zhc,AGPAT1601819Zhc,AGPAT18111Z1819Zhc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
