,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107
no_ortho_CsuisWienI,2AGPGAT141,THRTRSm,VALTRSm,CDGGGPP3,MCTC,DHPS2,HISTRSm,PHETRSm,AGPAT190,2AGPEAT141,DHORD2,LYSTRSm,METTRSm,PPTTm,HBZOPT6,HBZOPT6m_1,ALATL,HEMEOSm_1,MCPST,MECDPDH5,ASPTRSm,CDGGGPP4,DOLASNT,HEMELm,CYSS_m,SECYSTL,DVPCHLD450ORc,ENLIPIDAt1exc,PCHLD450ORc,HDSc,DVPCHLD646ORc,PCHLD646ORc,GGH_6DHFl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_PbergheiANKA,HEMEOSm,THRTRSm,VALTRSm,DHPS,NTRARf,CD2t4,DHPS2,UPLA4FNT,HISTRSm,PHETRSm,TRPTRSm,AGPAT190,GHMT2rm,LYSTRSm,METTRSm,PPTTm,HBZOPT6m_1,FEDCabc,ALATL,APAPTm,HEMEOSm_1,ASPTRSm,DOLASNT,HEMELm,HCGALm,SECYSTL,CYO1b2pp_sync,CYO1bpp_sync,biomass,HBZOPTm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_TcruziDm28c2018,HEMEOSm,NALN6,FTHFLmi,LYSTRSm,METTRSm,PPTTm,HBZOPT6,HBZOPT6m_1,APAPTm,HEMEOSm_1,APCS,TPK1,DOLASNT,ASNNe,NDP3ex,ENLIPIDAt1exc,NDH1_4ppc,NDH1_3uc,NADPNe,LDL_HSDEGnhs,DAGCPT,LPS2enhs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PgaboniSY75,HEMEOSm,ILETRSm,THRTRSm,VALTRSm,CD2t4,ASNTRSm,HISTRSm,LEUTRSm,PHETRSm,DHORD2,GHMT2rm,LYSTRSm,METTRSm,PPTTm,HBZOPT6,FEDCabc,APAPTm,HEMEOSm_1,ASPTRSm,CRNCARtm,DOLASNT,HEMELm,SECYSTL,HCGALm,CBFCc,THZPSN_mt2,THZPSNm,DSBAO1e,GHMT2r_ap,GHMT2r_m,DOLPMT3,FCLT_ap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_PmalariaeUG01,HEMEOSm,ILETRSm,THRTRSm,VALTRSm,DHPS,CD2t4,DHPS2,HISTRSm,PHETRSm,GHMT2rm,LYSTRSm,METTRSm,PPTTm,HBZOPT6,FEDCabc,ALATL,APAPTm,HEMEOSm_1,MCPST,ASPTRSm,CERS224,CRNCARtm,DOLASNT,HEMELm,SECYSTL,HCGALm,CYO1bpp_sync,ENLIPIDAt1exc,CYO1b2pp_sync,biomass,PLDAGAT_LNA_EPA_ARA_PE_11_c,ACOADAGAT_LNA_EPA_ARA_c,PLDAGAT_HDE_MYRS_LNA_PC_8_c,PLDAGAT_HDE_MYRS_PALM_PC_2_c,PLDAGAT_DHA_EPA_ARA_PC_4_c,PLDAGAT_DHA_EPA_ARA_PC_1_c,GLCBRAN3,PLDAGAT_HDE_MYRS_LNA_PC_6_c,PLDAGAT_PALM_EPA_ARA_PC_1_c,PLDAGAT_PALM_EPA_ARA_PE_11_c,PLDAGAT_LNA_EPA_GLNA_PC_4_c,PLDAGAT_MYRS_EPA_LNA_PC_8_c,PLDAGAT_MYRS_EPA_LNA_PC_1_c,PLDAGAT_LNA_EPA_GLNA_PC_6_c,PLDAGAT_PALM_EPA_LNA_PC_7_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_EcuniculiEC1,PANTS,CERS226,CERS126,ALATA_D2,DIPS,HBZOPT6,FEDCabc,AGPAT120,L_LACD,ENLIPIDAt1exc,OHPHM6nc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PmalariaeUG01,CERS226,HEMEOSm,ILETRSm,THRTRSm,VALTRSm,CD2t4,HISTRSm,PHETRSm,GHMT2rm,LYSTRSm,METTRSm,PPTTm,HBZOPT6,FEDCabc,APAPTm,HEMEOSm_1,MCPST,ASPTRSm,CERS224,CRNCARtm,DOLASNT,HEMELm,SECYSTL,HCGALm,CYO1bpp_sync,ENLIPIDAt1exc,CYO1b2pp_sync,THZPSN_mt2,THZPSNm,FCLT_ap,DOLPMT3,GHMT2r_ap,GHMT2r_m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_PfalciparumSD01,HEMEOSm,ILETRSm,THRTRSm,VALTRSm,CDGGGPP3,CD2t4,ASNTRSm,HISTRSm,PHETRSm,AGPAT190,GHMT2rm,LYSTRSm,METTRSm,PPTTm,HBZOPT6,ALATL,APAPTm,HEMEOSm_1,ASPTRSm,CRNCARtm,CDGGGPP4,DOLASNT,HEMELm,SECYSTL,HCGALm,ENLIPIDAt1exc,CYO1bpp_sync,CYO1b2pp_sync,biomass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_LmajorLV39c5,THRTRSm,VALTRSm,MCBTS3,SQD2_160,SQD2_183_9_12_15,LEUTRSm,MCBTS2,MCBTS,SQD2_183_6_9_12,SQD2_181,FTHFLmi,GHMT2rm,LYSTRSm,METTRSm,PPTTm,HBZOPT6m_1,SQD2_161,SQD2_181_9,SQD2_182_9_12,ALATL,APAPTm,HEMEOSm_1,LIPO3S24_BS,CRNCARtm,TECA2S,SQD2_180,SQD2_184_6_9_12_15,NDP3ex,SECYSTL,ENLIPIDAt1exc,LPSSYN_HPc,FADDPle,DPCOAPPe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_SsalmonicidaATCC50377,BTS3r,F4H2O,SARCOX,BTSr,FEDCabc,BTS_1,THZPSN3,TPK1,CYTBD2,3NTYROXDAppc,ENLIPIDAt1exc,ADOCBLPPc,DOLASNTc,ETHAPT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_TcruziDm28c2014,FAS141ACPm,FAS181ACPm,HEMEOSm,UPLA4FNT,FAS182ACPm,NALN6,IPDDI3x,2HP6MPMOm,FAS80ACPm_L,FTHFLmi,LYSTRSm,METTRSm,PPTTm,UPLA4NT,HBZOPT6,HBZOPT6m_1,IPDDI3y,HEMEOSm_1,FAS161ACPm,TPK1,UDPDPS2,DMATT2,DOLASNT,IPDPUPT,CYANSTm,ASNNe,ENLIPIDAt1exc,NDH1_3uc,NDH1_4ppc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_PfalciparumTG01,HEMEOSm,ILETRSm,THRTRSm,VALTRSm,CDGGGPP3,CD2t4,ASNTRSm,HISTRSm,PHETRSm,AGPAT190,GHMT2rm,LYSTRSm,METTRSm,PPTTm,HBZOPT6,ALATL,APAPTm,HEMEOSm_1,ASPTRSm,CRNCARtm,CDGGGPP4,DOLASNT,HEMELm,HCGALm,SECYSTL,CYO1bpp_sync,ENLIPIDAt1exc,CYO1b2pp_sync,biomass,PLDAGAT_LNA_EPA_LNA_PC_7_c,PLDAGAT_EPA_EPA_LNA_PE_13_c,PLDAGAT_EPA_EPA_LNA_PE_12_c,PLDAGAT_MYRS_HDE_PALM_PC_5_c,ACOADAGAT_PALM_EPA_EPA_c,LPCAT_STC_EPA_sn2_c,PLDAGAT_OLE_HDE_HDE_PC_5_c,AGPATCOA_EPA_EPA_c,PLDAGAT_PALM_EPA_LNA_PC_3_c,PLDAGAT_HDE_MYRS_PALM_PC_5_c,PLDAGAT_LNA_EPA_LNA_PC_1_c,LPCAT_PALM_EPA_sn2_c,PLDAGAT_PALM_EPA_LNA_PE_13_c,PLDAGAT_MYRS_EPA_LNA_PC_7_c,PLDAGAT_LNA_EPA_GLNA_PC_3_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_EmonterogeiiLV88,ILETRSm,THRTRSm,VALTRSm,MCBTS3,SQD2_160,SQD2_183_9_12_15,CD2t4,LEUTRSm,MCBTS2,MCBTS,SQD2_183_6_9_12,SQD2_181,2HP6MPMOm,FTHFLmi,GHMT2rm,LYSTRSm,METTRSm,PPTTm,HBZOPT6m_1,SQD2_161,SQD2_181_9,SQD2_182_9_12,ALATL,APAPTm,HEMEOSm_1,TPK1,SQD2_180,SQD2_184_6_9_12_15,DOLASNT,NDP3ex,SECYSTL,ENLIPIDAt1exc,HMR_0817nhs,NEU310enhs,HMR_0820nhs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_ChominisTU502,THRTRSm,VALTRSm,HEXTT,PREPTHS2,MCBTS3,ULA4NFT,HISTRSm,TRPTRSm,MCBTS2,MCBTS,MYCON4,ALATA_D2,DMATT,GHMT2rm,LYSTRSm,METTRSm,HBZOPT6,FEDCabc,MYCON2,MYCON1,ALATL,THZPSN3,ASPTRSm,MYCON5,MYCON3,DOLASNT,SECYSTL,ENLIPIDAt1exc,ALPATE160pp_1,HMR_0876nhs,PLDAGAT_HDE_PALM_LNA_PE_14_c,PLDAGAT_PALM_EPA_LNA_PC_2_c,PLIPA1E160pp,LACZpp,IDL_HSSYNnhs,PLIPA2E181pp,PLDAGAT_HDE_MYRS_LNA_PE_14_c,LDL_HSSYNnhs,PLDAGAT_HDE_PALM_LNA_PC_3_c,PLDAGAT_HDE_MYRS_LNA_PC_8_c,LPEAT_DHA_EPA_sn2_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_TcruziTCC,HEMEOSm,UPLA4FNT,NALN6,2HP6MPMOm,FTHFLmi,LYSTRSm,METTRSm,PPTTm,UPLA4NT,HBZOPT6,HBZOPT6m_1,FEDCabc,APAPTm,HEMEOSm_1,APCS,TPK1,DOLASNT,ASNNe,NDP3ex,NDH1_4ppc,NDH1_3uc,ENLIPIDAt1exc,PLDAGAT_EPA_EPA_LNA_PE_14_c,PLDAGAT_EPA_EPA_EPA_PC_5_c,CHOPT_OLE_OLE_c,CHOPT_OLE_HDE_c,CHOPT_EPA_EPA_c,PLDAGAT_EPA_EPA_LNA_PC_7_c,CHOPT_MYRS_EPA_c,CHOPT_MYRS_STC_c,2_7_8_3,PLDAGAT_OLE_EPA_EPA_PC_5_c,CHOPT_LNA_LNA_c,PLDAGAT_HDE_EPA_LNA_PC_7_c,LPEAT_PALM_EPA_sn2_c,AGPATCOA_EPA_EPA_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_LmajorFriedlin,THRTRSm,VALTRSm,MCBTS3,SQD2_160,SQD2_183_9_12_15,MCBTS2,MCBTS,SQD2_183_6_9_12,SQD2_181,2HP6MPMOm,FTHFLmi,GHMT2rm,LYSTRSm,METTRSm,PPTTm,HBZOPT6m_1,SQD2_161,SQD2_181_9,SQD2_182_9_12,ALATL,APAPTm,HEMEOSm_1,LIPO3S24_BS,CRNCARtm,TECA2S,SQD2_180,SQD2_184_6_9_12_15,DOLASNT,SECYSTL,UDCPDPex,NDP3ex,ENLIPIDAt1exc,LPSSYN_HPc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_TcruziCLBrener,2AGPGAT120,2AGPGAT141,AACPS9,2AGPEAT140,2AGPGAT161,AACPS1,AACPS4,AACPS7,HEMEOMOm,2AGPEAT141,2AGPEAT120,2AGPEAT161,2AGPGAT140,AACPS2,AACPS8,GLYCLm,RE2912M,FACOAL_160_m,VALTRSm,AACPS1_1c,AACPS4_1c,protein_bm,ATPH1e,ERGSTESTH_SCe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_NcaninumLIV,THRTRSm,VALTRSm,DHPS2,HBZOPT6m,HISTRSm,PHETRSm,FOLD3,LYSTRSm,METTRSm,GLCR1TRB1,HBZOPT6,HBZOPT6m_1,ALATL,HEMEOSm_1,LIPO3S24_BS,ASPTRSm,GLCR1TRA1,TPK1,DOLASNT,HEMELm,SECYSTL,CYSS_m,DVPCHLD450ORc,ENLIPIDAt1exc,PCHLD450ORc,DVPCHLD646ORc,PCHLD646ORc,PLDAGAT_EPA_EPA_DHA_PC_8_c,PLDAGAT_LNA_EPA_LNA_PC_6_c,PLDAGAT_HDE_EPA_OLE_PE_13_c,AGPATCOA_EPA_DHA_c,PLDAGAT_HDE_ARA_ARA_PC_7_c,ACOADAGAT_EPA_EPA_DHA_c,PLDAGAT_HDE_ARA_ARA_PC_4_c,PLDAGAT_OLE_EPA_DHA_PC_8_c,HMR_0841nhs,PLDAGAT_HDE_EPA_OLE_PE_15_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PbillcollinsiG01,HEMEOSm,ILETRSm,THRTRSm,VALTRSm,CDGGGPP3,CD2t4,ASNTRSm,HISTRSm,PHETRSm,GHMT2rm,LYSTRSm,METTRSm,PPTTm,HBZOPT6,FEDCabc,APAPTm,HEMEOSm_1,ASPTRSm,CRNCARtm,CDGGGPP4,DOLASNT,HEMELm,SECYSTL,HCGALm,CBFCc,THZPSN_mt2,THZPSNm,PYK_ap2,GHMT2r_ap,GHMT2r_m,DOLPMT3,FCLT_ap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_GintestinalisAssemblageADH,CERH124,NORRDX,PYDXO_1,NODOx,NODOy,PYAM5PO,ROO,CERH126,HBZOPT6,FEDCabc,ACGAMT,PDX5POi,THZPSN3,PYDXNO,CYTBD2,3NTYROXDAppc,LLDH_ferr_xc,ENLIPIDAt1exc,LLDH_ferr_mc,DOLASNTc,ATPS4m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_EtenellaHoughton,2AGPGAT141,ILETRSm,THRTRSm,VALTRSm,MCBTS3,PBALm,DHPS2,HISTRSm,PHETRSm,FOLD3,MCBTS2,MCBTS,2AGPEAT141,LYSTRSm,PPTTm,HBZOPT6m_1,FEDCabc,ALATL,G12MT4,HEMEOSm_1,MCPST,S2FE2SR,ASPTRSm,DOLASNT,G12MT3,SECYSTL,CYSS_m,HCGALm,ENLIPIDAt1exc,protein_bm,CHOPT_MYRS_EPA_c,PLDAGAT_MYRS_MYRS_HDE_PE_9_c,CHOPT_MYRS_PALM_c,CHOPT_OLE_EPA_c,PLDAGAT_PALM_EPA_EPA_PE_11_c,LPLIPAL1G181pp,PLDAGAT_PALM_EPA_LNA_PC_2_c,LPCAT_OLE_EPA_sn2_c,PLDAGAT_HDE_EPA_EPA_PE_11_c,ACOADAGAT_MYRS_EPA_EPA_c,CHOPT_HDE_DHA_c,LACZpp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_NceranaePA08_1199,PANTS,NaKt_1,HBZOPT6,GLUS_F420,LIPO3S24_BS,SERTRS,THZPSN3,SERTRS2,FAS80ACPm_Lc,ENLIPIDAt1exc,DXHPScmc,GHMT2r,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PfalciparumKH01,HEMEOSm,ILETRSm,THRTRSm,VALTRSm,CDGGGPP3,CD2t4,ASNTRSm,HISTRSm,PHETRSm,AGPAT190,GHMT2rm,LYSTRSm,METTRSm,PPTTm,HBZOPT6,FEDCabc,APAPTm,HEMEOSm_1,ASPTRSm,CDGGGPP4,DOLASNT,HEMELm,HCGALm,SECYSTL,CYO1bpp_sync,ENLIPIDAt1exc,CYO1b2pp_sync,THZPSN_mt2,THZPSNm,GHMT2r_ap,GHMT2r_m,DOLPMT3,FCLT_ap,LPCAT_DHA_DHA_sn2_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PyoeliiyoeliiYM,HEMEOSm,ILETRSm,THRTRSm,VALTRSm,CD2t4,UPLA4FNT,HISTRSm,PHETRSm,TRPTRSm,LYSTRSm,METTRSm,PPTTm,HBZOPT6,FEDCabc,APAPTm,HEMEOSm_1,ASPTRSm,CRNCARtm,DOLASNT,HEMELm,SECYSTL,HCGALm,ENLIPIDAt1exc,CYO1bpp_sync,CYO1b2pp_sync,FCLT_ap,DOLPMT3,GHMT2r_ap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_PcynomolgiB,HEMEOSm,ILETRSm,THRTRSm,VALTRSm,NTRARf,DHPS2,ASNTRSm,HISTRSm,PHETRSm,FOLD3,FTHFLmi,GHMT2rm,LYSTRSm,METTRSm,PPTTm,FEDCabc,APAPTm,HEMEOSm_1,CRNCARtm,DOLASNT,HEMELm,SECYSTL,CBFCc,biomass,r2376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_EbieneusiH348,2AGPGAT120,2AGPGAT141,PANTS,KAS1,KAS3,KAS5,KAS6,GRTT2,3OAS121,3OAS80,UPLA4FNT,KAS10,KAS19SA,2AGPEAT141,3OAS60,ALATA_D2,GRTT,I2FE2SR,OPMEACPS,KAS11,KAS4,UPLA4NT,HBZOPT6,FEDCabc,2AGPEAT120,3OAS141,ENTCS,THZPSN3,KAS12,KAS9,HYD3,3OAS60_1c,3OAS80_1c,ENLIPIDAt1exc,DXHPScmc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_PcoatneyiHackeri,HEMEOSm,ILETRSm,THRTRSm,VALTRSm,CD2t4,DHPS2,ASNTRSm,HISTRSm,PHETRSm,FTHFLmi,GHMT2rm,LYSTRSm,METTRSm,PPTTm,HBZOPT6,FEDCabc,ALATL,APAPTm,HEMEOSm_1,S2FE2SR,ASPTRSm,CRNCARtm,DOLASNT,HEMELm,SECYSTL,HCGALm,CBFCc,ENLIPIDAt1exc,biomass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PfalciparumIT,HEMEOSm,ILETRSm,THRTRSm,VALTRSm,CDGGGPP3,CD2t4,ASNTRSm,HISTRSm,PHETRSm,AGPAT190,GHMT2rm,LYSTRSm,METTRSm,PPTTm,HBZOPT6,FEDCabc,APAPTm,HEMEOSm_1,ASPTRSm,CRNCARtm,CDGGGPP4,DOLASNT,HEMELm,SECYSTL,HCGALm,CYO1bpp_sync,ENLIPIDAt1exc,CYO1b2pp_sync,THZPSN_mt2,THZPSNm,GHMT2r_ap,GHMT2r_m,DOLPMT3,FCLT_ap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_AalgeraePRA339,2AGPGAT141,ACONMT,PANTS,PC6YM,CPC6MT,CDGGGPP3,2AGPGAT161,2AGPEAT141,DIPS,HBZOPT6,FEDCabc,2AGPEAT161,2AGPEAT181,2AGPGAT181,AMMQLT8,THZPSN3,YUMPS,PSUDS,CDGGGPP4,L_LACD,ENLIPIDAt1exc,OHPHM6nc,GTHPe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_PinuiSanAntonio1,HEMEOSm,ILETRSm,THRTRSm,CD2t4,DHPS2,ASNTRSm,HISTRSm,PHETRSm,FTHFLmi,GHMT2rm,LYSTRSm,METTRSm,PPTTm,FEDCabc,ALATL,APAPTm,HEMEOSm_1,DOLASNT,HEMELm,SECYSTL,HCGALm,ENLIPIDAt1exc,CBFCc,biomass,r2376,PLDAGAT_OLE_HDE_OLE_PC_5_c,HMR_0829nhs,HMR_0876nhs,HMR_0844nhs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvivaxP01,HEMEOSm,ILETRSm,THRTRSm,VALTRSm,CD2t4,ASNTRSm,HISTRSm,PHETRSm,FTHFLmi,GHMT2rm,LYSTRSm,METTRSm,PPTTm,FEDCabc,APAPTm,HEMEOSm_1,ASPTRSm,CRNCARtm,DOLASNT,HEMELm,HCGALm,SECYSTL,CYO1bpp_sync,ENLIPIDAt1exc,CYO1b2pp_sync,FCLT_ap,DOLPMT3,GHMT2r_ap,GHMT2r_m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_TcruziDm28c2017,HEMEOSm,UPLA4FNT,NALN6,2HP6MPMOm,FTHFLmi,LYSTRSm,METTRSm,PPTTm,UPLA4NT,HBZOPT6,HBZOPT6m_1,APAPTm,HEMEOSm_1,APCS,TPK1,DOLASNT,NDP3ex,ASNNe,NDH1_3uc,NDH1_4ppc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_TbruceiTREU927,2AGPGAT141,HEMEOSm,CD2t4,2AGPGAT161,AHSERL3,2AGPEAT141,2HP6MPMOm,FTHFLmi,LYSTRSm,METTRSm,PPTTm,HBZOPT6,HBZOPT6m_1,APAPTm,HEMEOSm_1,2AGPEAT161,APCS,DOLASNT,ACSERL,CYSS_m,NDP3ex,THIORDXm,ENLIPIDAt1exc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_Pyoeliiyoelii17XNL,HEMEOSm,ILETRSm,THRTRSm,VALTRSm,DHPS,NTRARf,CD2t4,DHPS2,UPLA4FNT,HISTRSm,PHETRSm,LYSTRSm,METTRSm,PPTTm,FEDCabc,ALATL,APAPTm,HEMEOSm_1,ASPTRSm,CRNCARtm,DOLASNT,HEMELm,HCGALm,SECYSTL,CYO1bpp_sync,CYO1b2pp_sync,ENLIPIDAt1exc,biomass,HMR_0876nhs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PfalciparumSN01,HEMEOSm,ILETRSm,THRTRSm,VALTRSm,CDGGGPP3,CD2t4,ASNTRSm,HISTRSm,PHETRSm,AGPAT190,GHMT2rm,LYSTRSm,METTRSm,PPTTm,HBZOPT6,FEDCabc,APAPTm,HEMEOSm_1,ASPTRSm,CRNCARtm,CDGGGPP4,DOLASNT,HEMELm,SECYSTL,HCGALm,CYO1bpp_sync,ENLIPIDAt1exc,CYO1b2pp_sync,THZPSN_mt2,THZPSNm,GHMT2r_ap,GHMT2r_m,DOLPMT3,FCLT_ap,r1134,DHCR71r,RE3289R,HMR_2983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_NausubeliERTm6,2AGPGAT141,PANTS,GRTT2,CD2t4,UPLA4FNT,2AGPEAT141,ALATA_D2,GRTT,HBZOPT6,FEDCabc,THZPSN3,GTHPe,DOLASNTc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_HeriocheirGB1,GRTT2,NaKt_1,GRTT,DIPS,UDPDPS,HBZOPT6,FEDCabc,THZPSN3,YUMPS,PSUDS,ENLIPIDAt1exc,PCD6DS_STC_GLNA_sn2_c,CHOPT_HDE_OLE_c,TREpts,GTHPe,ETHAPT_HDE_OLE_c,PCD6DS_EPA_GLNA_sn2_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_PrelictumSGS1-like,HEMEOSm,ILETRSm,THRTRSm,VALTRSm,CD2t4,DHPS2,UPLA4FNT,ASNTRSm,HISTRSm,PHETRSm,TRPTRSm,AGPAT190,2HP6MPMOm,LYSTRSm,METTRSm,PPTTm,HBZOPT6,FEDCabc,ALATL,APAPTm,HEMEOSm_1,ASPTRSm,CRNCARtm,DOLASNT,HEMELm,CYOOm2,SECYSTL,CYO1bpp_sync,ENLIPIDAt1exc,CYO1b2pp_sync,biomass,LPCAT_LNA_DHA_sn2_c,ACALDh,ACOADAGAT_MYRS_EPA_ARA_c,PLDAGAT_HDE_MYRS_LNA_PE_12_c,ALCDH_nadp_hi,ACOADAGAT_HDE_EPA_ARA_c,MDH_nadp_hi,PLDAGAT_MYRS_EPA_LNA_PC_3_c,PLDAGAT_EPA_EPA_ARA_PC_4_c,ACOADAGAT_EPA_EPA_ARA_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pchabaudichabaudi,HEMEOSm,ILETRSm,THRTRSm,VALTRSm,CD2t4,HISTRSm,PHETRSm,TRPTRSm,AGPAT190,GHMT2rm,LYSTRSm,METTRSm,PPTTm,HBZOPT6,FEDCabc,APAPTm,HEMEOSm_1,ASPTRSm,CRNCARtm,DOLASNT,HEMELm,HCGALm,SECYSTL,CYO1bpp_sync,CYO1b2pp_sync,FCLT_ap,DOLPMT3,GHMT2r_ap,GHMT2r_m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
