,genes,gene_assoc_w_other_rxns?
3HAD100_1,frozenset({<Gene PF3D7_1323000.1-p1 at 0x7f93133a2908>}),no
3HAD120_1,frozenset({<Gene PF3D7_1323000.1-p1 at 0x7f93133a2908>}),no
3HAD80_1,frozenset({<Gene PF3D7_1323000.1-p1 at 0x7f93133a2908>}),no
3OAS100_1,frozenset({<Gene PF3D7_0211400.1-p1 at 0x7f93133a2c50>}),no
3OAS120_1,frozenset({<Gene PF3D7_0211400.1-p1 at 0x7f93133a2c50>}),no
3OAS140_1,frozenset({<Gene PF3D7_0211400.1-p1 at 0x7f93133a2c50>}),no
3OAS160_1,frozenset({<Gene PF3D7_0211400.1-p1 at 0x7f93133a2c50>}),no
3OAS60_1,frozenset({<Gene PF3D7_0211400.1-p1 at 0x7f93133a2c50>}),no
3OAS80_1,frozenset({<Gene PF3D7_0211400.1-p1 at 0x7f93133a2c50>}),no
AACP1819ZS,frozenset({<Gene PF3D7_0215000.1-p1 at 0x7f93133b3b00>}),no
AACPS1_1,frozenset({<Gene PF3D7_0215000.1-p1 at 0x7f93133b3b00>}),no
AACPS3_1,frozenset({<Gene PF3D7_0215000.1-p1 at 0x7f93133b3b00>}),no
AACPS4_1,frozenset({<Gene PF3D7_0215000.1-p1 at 0x7f93133b3b00>}),no
AACPS5_1,frozenset({<Gene PF3D7_0215000.1-p1 at 0x7f93133b3b00>}),no
AACPS6_1,frozenset({<Gene PF3D7_0215000.1-p1 at 0x7f93133b3b00>}),no
ABFPTh,frozenset({<Gene PF3D7_0624000.1-p1 at 0x7f93133b3c88>}),no
ACCOAth,frozenset({<Gene PF3D7_1036800.1-p1 at 0x7f93133b3828>}),no
ACCOAtx,frozenset({<Gene PF3D7_1036800.1-p1 at 0x7f93133b3828>}),no
ACOA100OR,frozenset({<Gene PF3D7_1455900.1-p1 at 0x7f93133b3b38>}),no
ACOA120OR,frozenset({<Gene PF3D7_1455900.1-p1 at 0x7f93133b3b38>}),no
ACOA140OR,frozenset({<Gene PF3D7_1455900.1-p1 at 0x7f93133b3b38>}),no
ACOA160OR,frozenset({<Gene PF3D7_1455900.1-p1 at 0x7f93133b3b38>}),no
ACOA40OR,frozenset({<Gene PF3D7_1455900.1-p1 at 0x7f93133b3b38>}),no
ACOA60OR,frozenset({<Gene PF3D7_1455900.1-p1 at 0x7f93133b3b38>}),no
ACOA80OR,frozenset({<Gene PF3D7_1455900.1-p1 at 0x7f93133b3b38>}),no
ACOATA_1,frozenset({<Gene PF3D7_0211400.1-p1 at 0x7f93133a2c50>}),no
ACOLIPAabctex,frozenset({<Gene PF3D7_1426500.1-p1 at 0x7f93133a2dd8>}),no
