,score
TgondiiARI,0.8165954415954416
TgondiiRUB,0.8009259259259259
TgondiiGAB2-2007-GAL-DOM2,0.7930911680911681
Tgondiip89,0.7980769230769231
TgondiiFOU,0.8091168091168092
TgondiiVEG,0.7962962962962963
TgondiiVAND,0.7938034188034188
TgondiiRH,0.18732193732193733
TgondiiME49,0.7966524216524217
TgondiiTgCatPRC2,0.801994301994302
TgondiiMAS,0.8190883190883191
TgondiiGT1,0.7977207977207977
PfalciparumTG01,0.5165876777251185
PgaboniG01,0.5009478672985782
PfalciparumGB4,0.5144549763033175
PcoatneyiHackeri,0.504739336492891
PgaboniSY75,0.5030805687203791
PmalariaeUG01,0.5054502369668247
PbillcollinsiG01,0.5106635071090048
PfalciparumKH01,0.5239336492890996
PyoeliiyoeliiYM,0.5090047393364929
PfalciparumIT,0.5154028436018957
PvivaxP01,0.5165876777251185
PfalciparumSN01,0.5265402843601896
Pchabaudichabaudi,0.5206161137440758
PcynomolgiB,0.49170616113744076
PfalciparumML01,0.5139810426540284
Pfalciparum7G8,0.5163507109004739
PfalciparumHB3,0.5149289099526067
PfalciparumCD01,0.511611374407583
PvivaxSal1,0.514218009478673
Pyoeliiyoelii17XNL,0.50260663507109
PconfusumCUL13,0.5175355450236967
PneurophiliaMK1,0.19549763033175355
Pfalciparum3D7,0.48080568720379147
PcynomolgiM,0.5099526066350711
Pgallinaceum8A,0.5127962085308057
PovalecurtisiGH01,0.5146919431279621
PvinckeipetteriCR,0.5286729857819905
PreichenowiG01,0.500473933649289
PrelictumSGS1-like,0.5149289099526067
PfalciparumGN01,0.5139810426540284
Pvinckeivinckeivinckei,0.5111374407582938
PknowlesiH,0.5163507109004739
PfragileNilgiri,0.5092417061611374
PreichenowiCDC,0.5033175355450237
PfalciparumDd2,0.5146919431279621
PblacklockiG01,0.5082938388625592
PfalciparumKH02,0.5149289099526067
PknowlesiMalayanPk1A,0.5319905213270142
PfalciparumKE01,0.5158767772511849
PadleriG01,0.5014218009478673
PfalciparumSD01,0.5229857819905214
Pyoeliiyoelii17X,0.5274881516587677
PbergheiANKA,0.5395734597156399
PinuiSanAntonio1,0.5080568720379147
PfalciparumGA01,0.5168246445497631
PpraefalciparumG01,0.5016587677725118
CmurisRN66,0.524275646045419
CmeleagridisUKMEL1,0.6272513703993735
ChominisUdeA01,0.5039154267815192
ChominisTU502,0.5665622552858262
CtyzzeriUGA55,0.605716523101018
ChominisTU502_2012,0.5113547376664056
Chominis30976,0.5117462803445576
Candersoni30847,0.5563821456538762
CparvumIowaII,0.5602975724353955
Cubiquitum39726,0.552858261550509
