,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83
no_ortho_Vculicisfloridensis,THZPSN,C190cSN,KAS_HP2,PLDAGAT16018111Z1819Z2,PLDAGAT16018111Z1819Z4,PLDAGAT1601819Z1601,PLDAGAT1601819Z18111Z1,PLDAGAT1601819Z1819Z3,PLDAGAT1601819Z1819Z4,PLDAGAT18111Z1819Z1601,PLDAGAT18111Z1819Z1602,PLDAGAT18111Z1819Z18111Z1,PLDAGAT1819Z18111Z1601,PLDAGAT1819Z18111Z1819Z1,PLDAGAT1819Z18111Z1819Z4,PLDAGAT1819Z1819Z18111Z1,PLDAGAT1819Z1819Z18111Z2,PLDAGAT1819Z1819Z18111Z3,AOXSr2,PLDAGAT16018111Z1601,PLDAGAT16018111Z1602,PLDAGAT1601819Z18111Z2,PLDAGAT1601819Z18111Z3,PLDAGAT1801819Z18111Z1,PLDAGAT1801819Z1819Z3,PLDAGAT18111Z18111Z1601,PLDAGAT18111Z18111Z18111Z2,PLDAGAT18111Z18111Z1819Z4,PLDAGAT18111Z1819Z1819Z1,PLDAGAT18111Z1819Z1819Z3,PLDAGAT18111Z1819Z1819Z4,PLDAGAT1819Z18111Z1819Z2,PLDAGAT1819Z1819Z1601,PLDAGAT1819Z1819Z1819Z1,PLDAGAT1819Z1819Z1819Z2,PLDAGAT1819Z1819Z1819Z3,PLDAGAT1819Z1819Z1819Z4,DIPS,PCDAGAT,C180SN,FEDCabc,PLDAGAT16018111Z18111Z1,PLDAGAT16018111Z18111Z2,PLDAGAT16018111Z1819Z3,PLDAGAT1801819Z1819Z2,PLDAGAT18111Z18111Z1819Z3,PLDAGAT18111Z1819Z18111Z2,PLDAGAT18111Z1819Z18111Z3,PLDAGAT1819Z18111Z1602,PLDAGAT1819Z18111Z18111Z1,PLDAGAT1819Z18111Z18111Z3,PLDAGAT1819Z18111Z1819Z3,C140SN,PLDAGAT16018111Z18111Z3,PLDAGAT16018111Z1819Z1,PLDAGAT1601819Z1602,PLDAGAT1601819Z1819Z1,PLDAGAT1601819Z1819Z2,PLDAGAT1801819Z1601,PLDAGAT1801819Z1602,PLDAGAT1801819Z18111Z2,PLDAGAT1801819Z18111Z3,PLDAGAT1801819Z1819Z1,PLDAGAT1801819Z1819Z4,PLDAGAT18111Z18111Z1602,PLDAGAT18111Z18111Z18111Z1,PLDAGAT18111Z18111Z18111Z3,PLDAGAT18111Z18111Z1819Z1,PLDAGAT18111Z18111Z1819Z2,PLDAGAT18111Z1819Z1819Z2,PLDAGAT1819Z18111Z18111Z2,PLDAGAT1819Z1819Z1602,SHSL2,OHPHM6nc,FE3DCITabcppc,DXHPScmc,,,,,,,,
PfalciparumGB4,DES_9,LIPOS,DXHPScm,ORNTArm,ADSHm,APAPTm,CRNCARtm,DOLASNT,HCGALm,FAS260_ap,FACOAL160t2pp_ap,FACOAL80t2pp_ap,FACOAL141t2pp_ap,FACOAL161t2pp_ap,FACOAL140t2pp_ap,FACOAL180t2pp_ap,FACOAL100t2pp_ap,FACOAL120t2pp_ap,FACOAL181t2pp_ap,FACOAL60t2pp_ap,PUNP2,LCAT1e,THZPSNm,THZPSN_mt2,CPPPGO_ap,HMBS_ap,GHMT2r_ap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_PfalciparumGA01,DES_9,LIPOS,ADSHm,APAPTm,APCS,CRNCARtm,SPRMS,DOLASNT,SELCYSLY2_h,CBL,AHHST,DXS,ANXANOR,SELCYSTLh,ARGDh,STARCH300DEGRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PcoatneyiHackeri,DES_9,LIPOS,DXHPScm,ERGSTESTH_SC,DHORD2,CDPDGPm_SC,FECOSTESTH_SC,ADSHm,APAPTm,CRNCARtm,EPISTESTH_SC,DOLASNT,CBFCc,THZPSN_mt2,THZPSNm,HMBS_ap,FAS260_ap,CPPPGO_ap,FACOAL160t2pp_ap,FACOAL60t2pp_ap,FACOAL80t2pp_ap,FACOAL141t2pp_ap,FACOAL161t2pp_ap,FACOAL140t2pp_ap,FACOAL180t2pp_ap,FACOAL100t2pp_ap,FACOAL120t2pp_ap,FACOAL181t2pp_ap,LCAT1e,GHMT2r_ap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_NdisplodereJUm2807,THZPSN,LNS14DMx,PCDAGAT,FEDCabc,THZSN,SHSL2,DXHPScmc,DOLASNTc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_TrangeliSC58,THZPSN,FAS141ACPm,FAS181ACPm,DES_9,ACSERSULLm,DXHPScm,FAS182ACPm,PMEACPE,FAS180ACPm,HADPCOADH,DES_15,ADSHm,APAPTm,ACSERLm,FAS161ACPm,GLYCLm,THZSN,DOLASNT,CBL_m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_LturanicaLEM423,THZPSN,DES_9,ACSERSULLm,LIPOS,APAPTm,ACSERLm,THZSN,NPPDO,DES_6,DES_6B,DOLASNT,PLDPE_EPA_GLNA_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_LenriettiiLEM3045,THZPSN,FAS141ACPm,FAS181ACPm,ACSERSULLm,PLDAGAT16018111Z1819Z4,PLDAGAT1601819Z1601,PLDAGAT1601819Z18111Z1,PLDAGAT1601819Z1819Z3,PLDAGAT1601819Z1819Z4,PLDAGAT18111Z1819Z1601,PLDAGAT18111Z1819Z1602,PLDAGAT18111Z1819Z18111Z1,PLDAGAT1819Z18111Z1601,PLDAGAT1819Z18111Z1819Z1,PLDAGAT1819Z18111Z1819Z4,PLDAGAT1819Z1819Z18111Z1,PLDAGAT1819Z1819Z18111Z2,PLDAGAT1819Z1819Z18111Z3,LIPOS,FAS182ACPm,PLDAGAT16018111Z1601,PLDAGAT16018111Z1602,PLDAGAT1601819Z18111Z2,PLDAGAT1601819Z18111Z3,PLDAGAT1801819Z18111Z1,PLDAGAT1801819Z1819Z3,PLDAGAT18111Z18111Z1601,PLDAGAT18111Z18111Z18111Z2,PLDAGAT18111Z18111Z1819Z4,PLDAGAT18111Z1819Z1819Z1,PLDAGAT18111Z1819Z1819Z3,PLDAGAT18111Z1819Z1819Z4,PLDAGAT1819Z1819Z1601,PLDAGAT1819Z1819Z1819Z1,PLDAGAT1819Z1819Z1819Z3,PLDAGAT1819Z1819Z1819Z4,FAS180ACPm,PLDAGAT16018111Z18111Z1,PLDAGAT16018111Z18111Z2,PLDAGAT16018111Z1819Z3,PLDAGAT18111Z18111Z1819Z3,PLDAGAT18111Z1819Z18111Z2,PLDAGAT18111Z1819Z18111Z3,PLDAGAT1819Z18111Z1602,PLDAGAT1819Z18111Z18111Z1,PLDAGAT1819Z18111Z18111Z3,PLDAGAT1819Z18111Z1819Z3,APAPTm,ACSERLm,FAS161ACPm,PLDAGAT16018111Z18111Z3,PLDAGAT16018111Z1819Z1,PLDAGAT1601819Z1602,PLDAGAT1601819Z1819Z1,PLDAGAT1801819Z1601,PLDAGAT1801819Z1602,PLDAGAT1801819Z18111Z2,PLDAGAT1801819Z18111Z3,PLDAGAT1801819Z1819Z1,PLDAGAT1801819Z1819Z4,PLDAGAT18111Z18111Z1602,PLDAGAT18111Z18111Z18111Z1,PLDAGAT18111Z18111Z18111Z3,PLDAGAT18111Z18111Z1819Z1,PLDAGAT1819Z18111Z18111Z2,PLDAGAT1819Z1819Z1602,ACPSm,ACPS,DOLASNT_c,,,,,,,,,,,,,,,
no_ortho_PknowlesiMalayanPk1A,DES_9,LIPOS,DXHPScm,ERGSTESTH_SC,FECOSTESTH_SC,ADSHm,APAPTm,APCS,CRNCARtm,EPISTESTH_SC,SPRMS,DOLASNT,CBFCc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_Tgondiip89,THZPSN,DES_9,LIPOS,CPPPGOAN2,CPPPGO2,THZSN,DOLASNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
