,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83
PbillcollinsiG01,DES_9,LIPOS,DXHPScm,CITALOR,ADSHm,APAPTm,CRNCARtm,DMCITALOR,DOLASNT,CBFCc,FAS260_ap,FACOAL160t2pp_ap,FACOAL60t2pp_ap,FACOAL80t2pp_ap,FACOAL141t2pp_ap,FACOAL161t2pp_ap,FACOAL140t2pp_ap,FACOAL180t2pp_ap,FACOAL100t2pp_ap,FACOAL120t2pp_ap,FACOAL181t2pp_ap,PUNP2,THZPSN_mt2,THZPSNm,LCAT1e,CPPPGO_ap,HMBS_ap,GHMT2r_ap,r0145,ARGDI_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_GintestinalisAssemblageADH,PUNP4,TMDPP,THZPSN,PUNP6,FEDCabc,THZSN,FE3DCITabcppc,DXHPScmc,DOLASNTc,ATPS4m,MTAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_EtenellaHoughton,THZPSN,PSERDm_SC,DES_9,ACSERSULLm,LIPOS,MG3A,ADSHm,ACSERLm,ALASm,ACPS,OIVD3m,DOLASNT,MG3B,PLDAGAT_MYRS_MYRS_HDE_PE_9_c,PLDAGAT_MYRS_EPA_PALM_PE_9_c,PLDAGAT_PALM_EPA_EPA_PE_11_c,LPLIPAL1G120pp,PLDAGAT_EPA_EPA_DHA_PE_11_c,ARGDI_1,PLDAGAT_PALM_EPA_EPA_PE_9_c,PLDAGAT_HDE_EPA_EPA_PE_11_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_NceranaePA08_1199,THZPSN,DIPS,FASC180ACP,FAS141ACPmc,FAS181ACPmc,OHPHM6nc,FAS182ACPmc,FE3DCITabcppc,DXHPScmc,FAS161ACPmc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PfalciparumKH01,DES_9,LIPOS,DXHPScm,ORNTArm,ADSHm,APAPTm,DOLASNT,HCGALm,FAS260_ap,FACOAL160t2pp_ap,FACOAL60t2pp_ap,FACOAL80t2pp_ap,FACOAL141t2pp_ap,FACOAL161t2pp_ap,FACOAL140t2pp_ap,FACOAL180t2pp_ap,FACOAL100t2pp_ap,FACOAL120t2pp_ap,FACOAL181t2pp_ap,PUNP2,LCAT1e,THZPSN_mt2,THZPSNm,CPPPGO_ap,HMBS_ap,GHMT2r_ap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PyoeliiyoeliiYM,THZPSN,DES_9,LIPOS,DXHPScm,CDPDGPm_SC,PCDAGAT,ADSHm,APAPTm,CRNCARtm,DOLASNT,THZPSN_mt2,THZPSNm,FAS260_ap,HMBS_ap,DOLASNT_pf,CPPPGO_ap,PUNP2,FACOAL160t2pp_ap,FACOAL60t2pp_ap,FACOAL80t2pp_ap,FACOAL141t2pp_ap,FACOAL161t2pp_ap,FACOAL140t2pp_ap,FACOAL180t2pp_ap,FACOAL100t2pp_ap,FACOAL120t2pp_ap,FACOAL181t2pp_ap,LCAT1e,GHMT2r_ap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_PcynomolgiB,DES_9,LIPOS,CDPDGPm_SC,ADSHm,APAPTm,APCS,SPRMS,DOLASNT,CBFCc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_EbieneusiH348,THZPSN,C190cSN,DIPS,FEDCabc,THZSN,FE3DCITabcppc,DXHPScmc,OHPHM6nc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_PcoatneyiHackeri,DES_9,LIPOS,DXHPScm,ERGSTESTH_SC,CDPDGPm_SC,FECOSTESTH_SC,ADSHm,APAPTm,APCS,CRNCARtm,EPISTESTH_SC,SPRMS,DOLASNT,CBFCc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PfalciparumIT,DES_9,LIPOS,DXHPScm,ORNTArm,ADSHm,APAPTm,CRNCARtm,DOLASNT,HCGALm,FAS260_ap,FACOAL160t2pp_ap,FACOAL60t2pp_ap,FACOAL80t2pp_ap,FACOAL141t2pp_ap,FACOAL161t2pp_ap,FACOAL140t2pp_ap,FACOAL180t2pp_ap,FACOAL100t2pp_ap,FACOAL120t2pp_ap,FACOAL181t2pp_ap,PUNP2,LCAT1e,THZPSN_mt2,THZPSNm,CPPPGO_ap,HMBS_ap,GHMT2r_ap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_AalgeraePRA339,ACONMT,THZPSN,PC6YM,CPC6MT,DIPS,FEDCabc,THZSN,OHPHM6nc,DXHPScmc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_PinuiSanAntonio1,DES_9,LIPOS,DXHPScm,ERGSTESTH_SC,CDPDGPm_SC,FECOSTESTH_SC,APAPTm,APCS,EPISTESTH_SC,SPRMS,DOLASNT,CBFCc,r1447,PUNP1m,DAGAH_EPA_DHA_c,PLDPC_HDE_LNA_c,NEU22nhs,DAGAH_OLE_DHA_c,PLDAGAT_DHA_EPA_DHA_PE_14_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvivaxP01,DES_9,LIPOS,DXHPScm,CDPDGPm_SC,ADSHm,APAPTm,CRNCARtm,DOLASNT,THZPSN_mt2,THZPSNm,FAS260_ap,CPPPGO_ap,FACOAL181t2pp_ap,FACOAL160t2pp_ap,FACOAL60t2pp_ap,FACOAL80t2pp_ap,FACOAL141t2pp_ap,FACOAL161t2pp_ap,FACOAL140t2pp_ap,FACOAL180t2pp_ap,FACOAL100t2pp_ap,FACOAL120t2pp_ap,LCAT1e,HMBS_ap,GHMT2r_ap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_TcruziDm28c2017,THZPSN,FAS141ACPm,FAS181ACPm,DLYSOXGAT,DES_9,ACSERSULLm,LIPOS,FAS182ACPm,FAS180ACPm,DES_15,APAPTm,ACSERLm,FAS161ACPm,DOLASNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_TbruceiTREU927,THZPSN,DES_9,ACSERSULLm,LIPOS,PMEACPE,PCDAGAT,DES_15,APAPTm,ACSERLm,DOLASNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_Pyoeliiyoelii17XNL,THZPSN,DES_9,LIPOS,DXHPScm,CDPDGPm_SC,PCDAGAT,ADSHm,APAPTm,CRNCARtm,DOLASNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PfalciparumSN01,DES_9,LIPOS,DXHPScm,ORNTArm,ADSHm,APAPTm,DOLASNT,HCGALm,FAS260_ap,FACOAL160t2pp_ap,FACOAL60t2pp_ap,FACOAL80t2pp_ap,FACOAL141t2pp_ap,FACOAL161t2pp_ap,FACOAL140t2pp_ap,FACOAL180t2pp_ap,FACOAL100t2pp_ap,FACOAL120t2pp_ap,FACOAL181t2pp_ap,PUNP2,LCAT1e,THZPSN_mt2,THZPSNm,CPPPGO_ap,HMBS_ap,GHMT2r_ap,CERASE126er,HMR_2948,r1134,RE3289R,HMR_2982,HMR_2983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_NausubeliERTm6,THZPSN,PCDAGAT,FEDCabc,SHSL2,DXHPScmc,DOLASNTc,FE3DCITabcppc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_HeriocheirGB1,THZPSN,DIPS,FEDCabc,AGAID,SHSL2,CDPDGPm_SCc,DXHPScmc,PLDPC_STC_GLNA_c,PLDPE_EPA_LNA_c,PCW3DS_LNA_ALNA_sn2_c,PLDAGAT_OLE_HDE_OLE_PC_3_c,ETHAPT_MYRS_GLNA_c,CLS_cho,PCD12DS_LNA_STC_sn1_c,ETHAPT_EPA_GLNA_c,lipid4,ETHAPT_MYRS_ALNA_c,PLDPE_STC_GLNA_c,PI4PLC_cho,PLDPC_EPA_LNA_c,ETHAPT_HDE_OLE_c,PI4PLC_18_2_18_1nhs,PI45PLC_18_2_18_1nhs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_PrelictumSGS1-like,DES_9,LIPOS,DXHPScm,ADSHm,APAPTm,CRNCARtm,DOLASNT,MIP2C324PLC_SC,PLDAGAT_LNA_PALM_HDE_PE_11_c,MIPC324PLC_SC,DAGAH_STC_EPA_c,PLDAGAT_HDE_MYRS_LNA_PE_15_c,PLDAGAT_MYRS_EPA_MYRS_PE_9_c,PLDAGAT_MYRS_EPA_LNA_PE_9_c,ALCDH_nadp_hi,PLDAGAT_HDE_EPA_HDE_PE_15_c,DAGAH_STC_ARA_c,PLDPC_STC_LNA_c,MDH_nadp_hi,PLDAGAT_PALM_ARA_PALM_PE_15_c,PLDPC_PALM_OLE_c,DAGAH_STC_DHA_c,PLA2PE_EPA_DHA_c,SMS21enhs,PLDPC_PALM_ARA_c,DAGAH_LNA_EPA_c,PLDAGAT_LNA_PALM_HDE_PE_9_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pchabaudichabaudi,THZPSN,DLYSOXGAT,DES_9,LIPOS,DXHPScm,CDPDGPm_SC,ADSHm,APAPTm,CRNCARtm,DOLASNT,THZPSN_mt2,THZPSNm,FAS260_ap,HMBS_ap,CPPPGO_ap,DOLASNT_pf,PUNP2,FACOAL160t2pp_ap,FACOAL60t2pp_ap,FACOAL80t2pp_ap,FACOAL141t2pp_ap,FACOAL161t2pp_ap,FACOAL140t2pp_ap,FACOAL180t2pp_ap,FACOAL100t2pp_ap,FACOAL120t2pp_ap,FACOAL181t2pp_ap,LCAT1e,GHMT2r_ap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_VbrassicaformisCCMP3155,FUCASE2,ACSERSULLm,AGM4PH,LIPOS,AGM3PH,APAPTm,ACSERLm,AGMH,FUCASE,DOLASNT,3DHDCAt,PLDAGAT_LNA_EPA_GLNA_PC_4_c,CRVSthc,DAGAH_MYRS_DHA_c,PLDAGAT_PALM_EPA_LNA_PE_13_c,DAGAH_MYRS_EPA_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_Pvinckeivinckeivinckei,THZPSN,DLYSOXGAT,DES_9,LIPOS,DXHPScm,DHORD2,CDPDGPm_SC,PCDAGAT,ADSHm,APAPTm,CRNCARtm,THZSN,DOLASNT,CBFCc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_EhistolyticaHM1IMSS-A,5DOAN,MTAN,THZPSN,AGM4PH,PUNP2,PUNP6,NALN6,AGM3PH,AGMH,AHCYSNS,THZSN,MG3Ac,DXHPScmc,DOLASNTc,lipid4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_NceranaeBRL01,THZPSN,DIPS,FASC180ACP,FAS182ACPmc,FE3DCITabcppc,DXHPScmc,FAS141ACPmc,FAS161ACPmc,FAS181ACPmc,OHPHM6nc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_TcruzimarinkelleiB7,THZPSN,ORNTAC,DES_9,ACSERSULLm,LIPOS,DES_15,APAPTm,ACSERLm,BC10_new,DOLASNT,PSERDm_SC,CYANSTm,PLDAGAT_HDE_MYRS_LNA_PC_3_c,DAGAH_MYRS_DHA_c,PLDAGAT_PALM_EPA_DHA_PE_9_c,PLDAGAT_DHA_EPA_DHA_PC_4_c,PLDAGAT_HDE_EPA_OLE_PE_9_c,PLA2PC_HDE_DHA_c,PLDAGAT_HDE_PALM_EPA_PE_9_c,PLDAGAT_DHA_EPA_DHA_PE_11_c,PLDAGAT_HDE_EPA_DHA_PC_4_c,HDL_HSDEGnhs,PLDAGAT_HDE_EPA_LNA_PC_1_c,DAGAH_DHA_DHA_c,PLDAGAT_HDE_EPA_LNA_PE_13_c,PLDAGAT_OLE_HDE_HDE_PE_9_c,PLDAGAT_HDE_EPA_DHA_PC_1_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PcynomolgiB,DES_9,LIPOS,DXHPScm,CDPDGPm_SC,ADSHm,APAPTm,DOLASNT,CBFCc,THZPSN_mt2,THZPSNm,FAS260_ap,CPPPGO_ap,FACOAL160t2pp_ap,FACOAL60t2pp_ap,FACOAL80t2pp_ap,FACOAL141t2pp_ap,FACOAL161t2pp_ap,FACOAL140t2pp_ap,FACOAL180t2pp_ap,FACOAL100t2pp_ap,FACOAL120t2pp_ap,FACOAL181t2pp_ap,LCAT1e,HMBS_ap,GHMT2r_ap,AKGt2n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_CfasciculataCfCl,THZPSN,DES_9,ACSERSULLm,LIPOS,APAPTm,ACSERLm,THZSN,NPPDO,DES_6,DES_6B,DOLASNT,PLDAGAT_HDE_ARA_ARA_PE_12_c,PLDAGAT_DHA_EPA_DHA_PE_12_c,DAGAH_STC_DHA_c,PLDPE_DHA_GLNA_c,DAGAH_STC_ARA_c,DAGAH_DHA_DHA_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_LpyrrhocorisH10,THZPSN,DLYSOXGAT,DES_9,ACSERSULLm,LIPOS,APAPTm,ACSERLm,NPPDO,DES_6,DES_6B,DOLASNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_GintestinalisAssemblageBGS,PUNP4,THZPSN,NORRDX,PUNP6,THZSN,DXHPScmc,DOLASNTc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PfalciparumML01,DES_9,LIPOS,DXHPScm,ORNTArm,ADSHm,APAPTm,CRNCARtm,DOLASNT,HCGALm,FAS260_ap,FACOAL160t2pp_ap,FACOAL60t2pp_ap,FACOAL80t2pp_ap,FACOAL141t2pp_ap,FACOAL161t2pp_ap,FACOAL140t2pp_ap,FACOAL180t2pp_ap,FACOAL100t2pp_ap,FACOAL120t2pp_ap,FACOAL181t2pp_ap,PUNP2,LCAT1e,THZPSN_mt2,THZPSNm,CPPPGO_ap,HMBS_ap,GHMT2r_ap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_EaedisUSNM41457,THZPSN,4M2OPLOXRD,PLDAGAT16018111Z1819Z2,PLDAGAT16018111Z1819Z4,PLDAGAT1601819Z1601,PLDAGAT1601819Z18111Z1,PLDAGAT1601819Z1819Z3,PLDAGAT1601819Z1819Z4,PLDAGAT18111Z1819Z1601,PLDAGAT18111Z1819Z1602,PLDAGAT18111Z1819Z18111Z1,PLDAGAT1819Z18111Z1601,PLDAGAT1819Z18111Z1819Z1,PLDAGAT1819Z18111Z1819Z4,PLDAGAT1819Z1819Z18111Z1,PLDAGAT1819Z1819Z18111Z2,PLDAGAT1819Z1819Z18111Z3,AOXSr,PLDAGAT16018111Z1601,PLDAGAT16018111Z1602,PLDAGAT1601819Z18111Z2,PLDAGAT1601819Z18111Z3,PLDAGAT1801819Z18111Z1,PLDAGAT1801819Z1819Z3,PLDAGAT18111Z18111Z1601,PLDAGAT18111Z18111Z18111Z2,PLDAGAT18111Z18111Z1819Z4,PLDAGAT18111Z1819Z1819Z1,PLDAGAT18111Z1819Z1819Z3,PLDAGAT18111Z1819Z1819Z4,PLDAGAT1819Z18111Z1819Z2,PLDAGAT1819Z1819Z1601,PLDAGAT1819Z1819Z1819Z1,PLDAGAT1819Z1819Z1819Z2,PLDAGAT1819Z1819Z1819Z3,PLDAGAT1819Z1819Z1819Z4,DIPS,PCDAGAT,SERPT,OIVD1r,OIVD2,FEDCabc,NTRARz,PLDAGAT16018111Z18111Z1,PLDAGAT16018111Z18111Z2,PLDAGAT16018111Z1819Z3,PLDAGAT1801819Z1819Z2,PLDAGAT18111Z18111Z1819Z3,PLDAGAT18111Z1819Z18111Z2,PLDAGAT18111Z1819Z18111Z3,PLDAGAT1819Z18111Z1602,PLDAGAT1819Z18111Z18111Z1,PLDAGAT1819Z18111Z18111Z3,PLDAGAT1819Z18111Z1819Z3,THZPSN3,3M2OBLOXRD,3M2OPLOXRD,OIVD3,PLDAGAT16018111Z18111Z3,PLDAGAT16018111Z1819Z1,PLDAGAT1601819Z1602,PLDAGAT1601819Z1819Z1,PLDAGAT1601819Z1819Z2,PLDAGAT1801819Z1601,PLDAGAT1801819Z1602,PLDAGAT1801819Z18111Z2,PLDAGAT1801819Z18111Z3,PLDAGAT1801819Z1819Z1,PLDAGAT1801819Z1819Z4,PLDAGAT18111Z18111Z1602,PLDAGAT18111Z18111Z18111Z1,PLDAGAT18111Z18111Z18111Z3,PLDAGAT18111Z18111Z1819Z1,PLDAGAT18111Z18111Z1819Z2,PLDAGAT18111Z1819Z1819Z2,PLDAGAT1819Z18111Z18111Z2,PLDAGAT1819Z1819Z1602,SHSL2,OHPHM6nc,FE3DCITabcppc,DXHPScmc,,,
no_ortho_EinvadensIP1,AM4PA,THZPSN,APENTAMAH,AM3PA,PUNP6,NALN6,PCDAGAT,FEDCabc,AGMH,THZSN,CDGS1,AHALc,DXHPScmc,DOLASNTc,FE3DCITabcppc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_CveliaCCMP2878,TYRL,DHORD3,IOR3,FUCASE2,ACSERSULLm,LIPOS,AMAOTr,ASPO3,DHORD2,URACPAH,DHXFUTC,DMHDRFS,APAPTm,ACSERLm,BTS5,ALASm,IOR,FUCASE,BADP,DOLASNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_EhepatopenaeiTH1,THZPSN,DIPS,THZSN,NITR_NOc,DXHPScmc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_CtyzzeriUGA55,THZPSN,FAS141ACPm,FAS181ACPm,PSERDm_SC,PTOR,CLPNS2_BS,DXHPScm,FAS160ACPm,FAS182ACPm,FAS120ACPm,FAS140ACPm,FAS180ACPm,FAS80ACPm_L,ADSHm,FAS100ACPm,FAS161ACPm,THZSN,DOLASNT,PLDAGAT_MYRS_EPA_LNA_PC_7_c,PLDAGAT_LNA_EPA_ARA_PC_7_c,PLDAGAT_HDE_HDE_GLNA_PC_3_c,PLDAGAT_MYRS_EPA_MYRS_PC_8_c,PLDAGAT_HDE_EPA_OLE_PE_14_c,PLDAGAT_OLE_EPA_DHA_PC_6_c,PLDAGAT_MYRS_EPA_HDE_PE_14_c,PLDAGAT_DHA_EPA_DHA_PC_6_c,PLDAGAT_LNA_EPA_LNA_PC_3_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_CcayetanensisCHN_HEN01,THZPSN,MSHAMID,DES_9,CLPNS160,ACSERSULLm,LIPOS,CPPPGOAN2,CLPNS161,CLPNS180,DHORD2,PNTEH,CLPNS181,NOS,NOS2_1,ACSERLm,CPPPGO2,CRNCARtm,THZSN,CLPNS120,CLPNS140,DOLASNT,CGS_m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pfalciparum7G8,DES_9,LIPOS,DXHPScm,ORNTArm,ADSHm,APAPTm,CRNCARtm,DOLASNT,HCGALm,FAS260_ap,FACOAL160t2pp_ap,FACOAL60t2pp_ap,FACOAL80t2pp_ap,FACOAL141t2pp_ap,FACOAL161t2pp_ap,FACOAL140t2pp_ap,FACOAL180t2pp_ap,FACOAL100t2pp_ap,FACOAL120t2pp_ap,FACOAL181t2pp_ap,PUNP2,LCAT1e,THZPSN_mt2,THZPSNm,CPPPGO_ap,HMBS_ap,GHMT2r_ap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_Heriocheircanceri,THZPSN,DIPS,FEDCabc,AGAID,SHSL2,FE3DCITabcppc,CDPDGPm_SCc,DXHPScmc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_EmoshkovskiiLaredo,5DOAN,MTAN,THZPSN,AGM4PH,NALN6,METGL,AGM3PH,AGMT,PCDAGAT,FEDCabc,ARGN_1,AGMH,AHCYSNS,THZSN,DOLASNTc,AHALc,DXHPScmc,HPT_h,G1PUT_h,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_HhammondiHH34,THZPSN,PSERDm_SC,DES_9,LIPOS,CPPPGOAN2,DHORD2,NOS,NOS2_1,CPPPGO2,ALASm,THZSN,DOLASNT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_OcolligataOC4,THZPSN,HYDFDN,HYDFDi,DIPS,FEDCabc,SHSL2,DXHPScmc,OHPHM6nc,FE3DCITabcppc,ACPS,ACPS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PfalciparumHB3,DES_9,LIPOS,DXHPScm,ORNTArm,ADSHm,APAPTm,CRNCARtm,DOLASNT,HCGALm,FAS260_ap,FACOAL160t2pp_ap,FACOAL60t2pp_ap,FACOAL80t2pp_ap,FACOAL141t2pp_ap,FACOAL161t2pp_ap,FACOAL140t2pp_ap,FACOAL180t2pp_ap,FACOAL100t2pp_ap,FACOAL120t2pp_ap,FACOAL181t2pp_ap,PUNP2,LCAT1e,THZPSN_mt2,THZPSNm,CPPPGO_ap,HMBS_ap,GHMT2r_ap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_TcruziSylvioX10-1-2012,THZPSN,FAS141ACPm,FAS181ACPm,DLYSOXGAT,ACSERSULLm,LIPOS,FAS182ACPm,APAPTm,ACSERLm,FAS161ACPm,UTPtm,DOLASNT,CYANSTm,PLDAGAT_PALM_PALM_LNA_PC_8_c,DAGAH_MYRS_EPA_c,PLDAGAT_HDE_PALM_LNA_PC_7_c,TECA1S45,PLA2PE_HDE_EPA_c,PLA2PC_DHA_ARA_c,PLDAGAT_HDE_PALM_LNA_PC_5_c,PLDAGAT_LNA_EPA_LNA_PC_5_c,PLDAGAT_HDE_PALM_LNA_PC_3_c,PLDAGAT_LNA_EPA_LNA_PC_8_c,DAGAH_DHA_DHA_c,PLDAGAT_HDE_EPA_OLE_PE_11_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PfalciparumCD01,DES_9,LIPOS,DXHPScm,ORNTArm,ADSHm,APAPTm,CRNCARtm,DOLASNT,HCGALm,CBFCc,FAS260_ap,FACOAL160t2pp_ap,FACOAL60t2pp_ap,FACOAL80t2pp_ap,FACOAL141t2pp_ap,FACOAL161t2pp_ap,FACOAL140t2pp_ap,FACOAL180t2pp_ap,FACOAL100t2pp_ap,FACOAL120t2pp_ap,FACOAL181t2pp_ap,PUNP2,LCAT1e,THZPSN_mt2,THZPSNm,CPPPGO_ap,HMBS_ap,GHMT2r_ap,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PvivaxSal1,DES_9,LIPOS,DXHPScm,CDPDGPm_SC,ADSHm,APAPTm,CRNCARtm,DOLASNT,THZPSN_mt2,THZPSNm,FAS260_ap,FACOAL181t2pp_ap,FACOAL160t2pp_ap,FACOAL60t2pp_ap,FACOAL80t2pp_ap,FACOAL141t2pp_ap,FACOAL161t2pp_ap,FACOAL140t2pp_ap,FACOAL180t2pp_ap,FACOAL100t2pp_ap,FACOAL120t2pp_ap,HMBS_ap,CPPPGO_ap,GHMT2r_ap,LCAT1e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_TbruceiLister427_2018,THZPSN,DES_9,ACSERSULLm,LIPOS,PMEACPE,PCDAGAT,DES_15,APAPTm,ACSERLm,DOLASNT,MIPC324PLC_SC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_PvivaxP01,DES_9,LIPOS,DXHPScm,CDPDGPm_SC,ADSHm,APAPTm,APCS,CRNCARtm,SPRMS,DOLASNT,PLDPC_HDE_EPA_c,DAGAH_DHA_ARA_c,PLDPC_HDE_ARA_c,PLDPC_HDE_DHA_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no_ortho_AspWSBS2006,THZPSN,ARMT,C190cSN,HYDFDi,DIPS,NNMT,FEDCabc,THZSN,DXHPScmc,OHPHM6nc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
