,neurophiliaMK1,falciparumHB3,praefalciparumG01,yoeliiyoeliiYM,falciparumCD01,gaboniSY75,falciparumGB4,vivax-likePvl01,falciparumSN01,knowlesiH,reichenowiG01,reichenowiCDC,falciparumML01,falciparum3D7,gaboniG01,falciparumSD01,falciparumGA01,blacklockiG01,adleriG01,falciparumKH02,vivaxSal1,gallinaceum8A,chabaudichabaudi,billcollinsiG01,knowlesiMalayanPk1A,yoeliiyoelii17XNL,ovalecurtisiGH01,vinckeivinckeivinckei,vinckeipetteriCR,cynomolgiM,yoeliiyoelii17X,falciparumTG01,inuiSanAntonio1,confusumCUL13,bergheiANKA,falciparumKE01,falciparum7G8,falciparumKH01,relictumSGS1-like,falciparumIT,falciparumDd2,coatneyiHackeri,fragileNilgiri,cynomolgiB,vivaxP01,falciparumGN01,malariaeUG01,PfalciparumKE01,PcynomolgiB,PknowlesiH,PfalciparumIT,Pfalciparum7G8,PfalciparumCD01,PfalciparumHB3,PblacklockiG01,PmalariaeUG01,PfalciparumSN01,PfalciparumTG01,PinuiSanAntonio1,PcoatneyiHackeri,PfalciparumGA01,Pvinckeivinckeivinckei,PvivaxP01,PgaboniSY75,PreichenowiCDC,Pyoeliiyoelii17X,PyoeliiyoeliiYM,PpraefalciparumG01,PfalciparumDd2,PfalciparumGN01,Pyoeliiyoelii17XNL,PbillcollinsiG01,PcynomolgiM,PreichenowiG01,PfalciparumKH02,PfragileNilgiri,PovalecurtisiGH01,Pgallinaceum8A,PgaboniG01,PadleriG01,PfalciparumKH01,PrelictumSGS1-like,PvivaxSal1,PknowlesiMalayanPk1A,Pfalciparum3D7,PfalciparumML01,Pchabaudichabaudi,PfalciparumGB4,PfalciparumSD01,PbergheiANKA,PvinckeipetteriCR,pvfal2018,pviv2018,pber2018,pkno2018,pcyn2018,ipfa2017,iPfal19
3HAD60c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,
BMOCOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GNK,,1,1,1,1,1,1,,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,1
EXC_BOTH_H_ETC_e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
EX_fe3dcit_e,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EAR180y,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,
HGPHT,,1,,,1,,1,,1,,,,1,1,,1,1,,,1,,,,,,,,,,,,1,,,,1,1,1,,1,1,,,,,1,,1,,,1,1,1,1,,,1,1,,,1,,,,,,,,1,1,,,,,1,,,,,,1,,,,1,1,,1,1,,,,,,,,,
DGTSDS1829Z12Z1829Z12Z1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FBP26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALCD2x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CMPN,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EX_gthox_e,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
HBZOPT6m,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,
G12MT1gc,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HMR_9608,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PMEACPE,,1,1,,1,1,1,,1,,1,1,1,1,1,1,1,1,1,1,,,,1,,,1,,,,,1,,,,1,1,1,1,1,1,,,,,1,,1,,,1,1,1,1,1,,1,1,,,1,,,1,1,,,1,1,1,,1,,1,1,,1,,1,1,1,1,,,1,1,,1,1,,,,,,,,,
Hfv,,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
EX_mi4p__D_e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
ACCOAC_1c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T_c_to_e_C15498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
ALPHm,,1,1,1,1,1,1,,1,,1,1,1,1,1,1,1,1,1,1,,1,1,1,,1,1,1,1,,1,1,,,1,1,1,1,1,1,1,,1,,,1,1,1,,,1,1,1,1,1,1,1,1,,,1,1,,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,1,,,,,,,
ALDD10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLIPA2G140pp,,1,1,1,1,1,1,,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
EX_pyr_LPAREN_e_RPAREN_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,
r1702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AACPS4_1c,,1,1,,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,,1,1,1,1,,1,1,1,,1,1,1,,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,,1,1,1,1,,1,,1,1,1,,,1,1,1,1,1,1,,1,,,,,,,
R02038_c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
ACOADH120_m,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,,1,1,1,1,1,1,1,1,,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,
EXC_BOTH_C16682_e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
ACOAD3f,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,,1,1,1,1,1,1,1,1,,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,
T_c_to_e_C03451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
NAt3_0_PERIOD_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,
EX_lnlc_LPAREN_e_RPAREN_,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,
NNAM,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,1
