,genes,gene_assoc_w_other_rxns?
ATPS3g,"frozenset({<Gene PfDd2_050024100-t41_1-p1 at 0x2b5575e84630>, <Gene PfDd2_130060300-t41_1-p1 at 0x2b5575e84668>, <Gene PfDd2_130012300-t41_1-p1 at 0x2b5575e844a8>, <Gene PfDd2_040011500-t41_1-p1 at 0x2b5575e846a0>, <Gene PfDd2_110043000-t41_1-p1 at 0x2b5575e844e0>, <Gene PfDd2_130017700-t41_1-p1 at 0x2b5575e84518>, <Gene PfDd2_080012000-t41_1-p1 at 0x2b5575e84550>, <Gene PfDd2_140069000-t41_1-p1 at 0x2b5575e84588>, <Gene PfDd2_130047700-t41_1-p1 at 0x2b5575e845c0>})",yes
ATPS3v,"frozenset({<Gene PfDd2_050024100-t41_1-p1 at 0x2b5575e84630>, <Gene PfDd2_130060300-t41_1-p1 at 0x2b5575e84668>, <Gene PfDd2_130012300-t41_1-p1 at 0x2b5575e844a8>, <Gene PfDd2_040011500-t41_1-p1 at 0x2b5575e846a0>, <Gene PfDd2_110043000-t41_1-p1 at 0x2b5575e844e0>, <Gene PfDd2_130017700-t41_1-p1 at 0x2b5575e84518>, <Gene PfDd2_080012000-t41_1-p1 at 0x2b5575e84550>, <Gene PfDd2_140069000-t41_1-p1 at 0x2b5575e84588>, <Gene PfDd2_130047700-t41_1-p1 at 0x2b5575e845c0>})",yes
ATPS4rpp,"frozenset({<Gene PfDd2_020019800-t41_1-p1 at 0x2b5575e11e10>, <Gene PfDd2_120040500-t41_1-p1 at 0x2b5575e11e48>, <Gene PfDd2_130017100-t41_1-p1 at 0x2b5575e11dd8>})",yes
ATPS4rpp_1,"frozenset({<Gene PfDd2_020019800-t41_1-p1 at 0x2b5575e11e10>, <Gene PfDd2_130017100-t41_1-p1 at 0x2b5575e11dd8>})",yes
ATPSu,"frozenset({<Gene PfDd2_020019800-t41_1-p1 at 0x2b5575e11e10>, <Gene PfDd2_130017100-t41_1-p1 at 0x2b5575e11dd8>})",yes
BATHORHODOPSINI,frozenset({<Gene PfDd2_130066400-t41_1-p1 at 0x2b5575e3edd8>}),no
BCAROKT,frozenset({<Gene PfDd2_130024000-t41_1-p1 at 0x2b5575e3e780>}),no
BTP,frozenset({<Gene PfDd2_080022700-t41_1-p1 at 0x2b5575e84908>}),no
CA2abcpp,frozenset({<Gene PfDd2_120016700-t41_1-p1 at 0x2b5575e61518>}),no
CA2t3pp,frozenset({<Gene PfDd2_060008200-t41_1-p1 at 0x2b5575e119b0>}),no
CBFC,frozenset({<Gene PfDd2_140043900-t41_1-p1 at 0x2b5575e3e2b0>}),no
CBPSn,frozenset({<Gene PfDd2_130013900-t41_1-p1 at 0x2b5575e119e8>}),no
CDPDAGS18111Z160h,frozenset({<Gene PfDd2_140014500-t41_1-p1 at 0x2b5575e11b38>}),no
CDPDAGS1819Z160h,frozenset({<Gene PfDd2_140014500-t41_1-p1 at 0x2b5575e11b38>}),no
CEF,frozenset({<Gene PfDd2_130024000-t41_1-p1 at 0x2b5575e3e780>}),no
CHITOBpts,frozenset({<Gene PfDd2_140073300-t41_1-p1 at 0x2b5575e84208>}),no
CHLDA1tu,frozenset({<Gene PfDd2_120034100-t41_1-p1 at 0x2b5575e1d668>}),no
CHLDA2tu,frozenset({<Gene PfDd2_120034100-t41_1-p1 at 0x2b5575e1d668>}),no
CHRS,frozenset({<Gene PfDd2_060027700-t41_1-p1 at 0x2b5575e3ea20>}),no
CHYA2,frozenset({<Gene PfDd2_140073900-t41_1-p1 at 0x2b5575e2eb00>}),no
CLIPAabctex,frozenset({<Gene PfDd2_140031000-t41_1-p1 at 0x2b5575e11ac8>}),no
CLPNS120pp,frozenset({<Gene PfDd2_060014300-t41_1-p1 at 0x2b5575e11b00>}),no
CLPNS140pp,frozenset({<Gene PfDd2_060014300-t41_1-p1 at 0x2b5575e11b00>}),no
CLPNS141pp,frozenset({<Gene PfDd2_060014300-t41_1-p1 at 0x2b5575e11b00>}),no
CLPNS160pp,frozenset({<Gene PfDd2_060014300-t41_1-p1 at 0x2b5575e11b00>}),no
CLPNS161pp,frozenset({<Gene PfDd2_060014300-t41_1-p1 at 0x2b5575e11b00>}),no
CLPNS180pp,frozenset({<Gene PfDd2_060014300-t41_1-p1 at 0x2b5575e11b00>}),no
CLPNS181pp,frozenset({<Gene PfDd2_060014300-t41_1-p1 at 0x2b5575e11b00>}),no
CMK,frozenset({<Gene PfDd2_050008300-t41_1-p1 at 0x2b5575e616d8>}),no
COLIPAPabctex,frozenset({<Gene PfDd2_140031000-t41_1-p1 at 0x2b5575e11ac8>}),no
COLIPAabcpp,"frozenset({<Gene PfDd2_130057900-t41_1-p1 at 0x2b5575e1de10>, <Gene PfDd2_140052300-t41_1-p1 at 0x2b5575e1dda0>, <Gene PfDd2_110048400-t41_1-p1 at 0x2b5575e1de48>, <Gene PfDd2_050027900-t41_1-p1 at 0x2b5575e1ddd8>})",yes
COLIPAabctex,frozenset({<Gene PfDd2_140031000-t41_1-p1 at 0x2b5575e11ac8>}),no
CPPPGO_1,frozenset({<Gene PfDd2_110045300-t41_1-p1 at 0x2b5575e61940>}),no
CRO4abcpp,frozenset({<Gene PfDd2_140031000-t41_1-p1 at 0x2b5575e11ac8>}),no
CSp,frozenset({<Gene PfDd2_100027900-t41_1-p1 at 0x2b5575e2ed30>}),no
CU1abcpp,frozenset({<Gene PfDd2_090010200-t41_1-p1 at 0x2b5575e4f358>}),no
CU2abcu_syn,frozenset({<Gene PfDd2_090010200-t41_1-p1 at 0x2b5575e4f358>}),no
CYO1_KT,"frozenset({<Gene PfDd2_140043900-t41_1-p1 at 0x2b5575e3e2b0>, <Gene PfDd2_000011300-t41_1-p1 at 0x2b5575e3e2e8>})",yes
CYO1b2_syn,frozenset({<Gene PfDd2_000011800-t41_1-p1 at 0x2b5575e3e320>}),no
CYO1b2pp_syn,frozenset({<Gene PfDd2_000011800-t41_1-p1 at 0x2b5575e3e320>}),no
CYO1b_syn,frozenset({<Gene PfDd2_000011800-t41_1-p1 at 0x2b5575e3e320>}),no
CYO1bpp_syn,frozenset({<Gene PfDd2_000011800-t41_1-p1 at 0x2b5575e3e320>}),no
CYOO2pp,frozenset({<Gene PfDd2_000011800-t41_1-p1 at 0x2b5575e3e320>}),no
CYTBO3_4pp,frozenset({<Gene PfDd2_000011800-t41_1-p1 at 0x2b5575e3e320>}),no
CYTMQOR3pp,"frozenset({<Gene PfDd2_140043900-t41_1-p1 at 0x2b5575e3e2b0>, <Gene PfDd2_000011300-t41_1-p1 at 0x2b5575e3e2e8>})",yes
CYTP450Rh,frozenset({<Gene PfDd2_090028200-t41_1-p1 at 0x2b5575e2ec88>}),no
DGDGD4DS1819Z1634Z7Z10Z,frozenset({<Gene PfDd2_130024000-t41_1-p1 at 0x2b5575e3e780>}),no
DGDGD4DS1829Z12Z1634Z7Z10Z,frozenset({<Gene PfDd2_130024000-t41_1-p1 at 0x2b5575e3e780>}),no
DGDGD4DS1839Z12Z15Z1634Z7Z10Z,frozenset({<Gene PfDd2_130024000-t41_1-p1 at 0x2b5575e3e780>}),no
DGDGD4DS1839Z12Z15Z1644Z7Z10Z13Z,frozenset({<Gene PfDd2_130024000-t41_1-p1 at 0x2b5575e3e780>}),no
DGDGD7DS1819Z1617Z,"frozenset({<Gene PfDd2_050016100-t41_1-p1 at 0x2b5575e3e400>, <Gene PfDd2_130024000-t41_1-p1 at 0x2b5575e3e780>})",yes
DGDGD7DS1829Z12Z1617Z,"frozenset({<Gene PfDd2_050016100-t41_1-p1 at 0x2b5575e3e400>, <Gene PfDd2_130024000-t41_1-p1 at 0x2b5575e3e780>})",yes
DGDGW3DS1819Z1637Z10Z13Z,frozenset({<Gene PfDd2_130024000-t41_1-p1 at 0x2b5575e3e780>}),no
DGDGW3DS1829Z12Z1637Z10Z13Z,frozenset({<Gene PfDd2_130024000-t41_1-p1 at 0x2b5575e3e780>}),no
DGDGW3DS1839Z12Z15Z160,frozenset({<Gene PfDd2_130024000-t41_1-p1 at 0x2b5575e3e780>}),no
