,genes,gene_assoc_w_other_rxns?
GM1LIPAabcpp,frozenset({<Gene PfDd2_050027900-t41_1-p1 at 0x2b5575e1ddd8>}),no
GM2LIPAabcpp,frozenset({<Gene PfDd2_050027900-t41_1-p1 at 0x2b5575e1ddd8>}),no
GTHRDabcv,frozenset({<Gene PfDd2_010015700-t41_1-p1 at 0x2b5575e2ef98>}),no
GTHS_1,frozenset({<Gene PfDd2_050017100-t41_1-p1 at 0x2b5575e1d048>}),no
GUACn,"frozenset({<Gene PfDd2_110041600-t41_1-p1 at 0x2b5575e3ee80>, <Gene PfDd2_130066400-t41_1-p1 at 0x2b5575e3edd8>})",yes
HDS,frozenset({<Gene PfDd2_100028200-t41_1-p1 at 0x2b5575e746d8>}),no
HEMELh,frozenset({<Gene PfDd2_120029600-t41_1-p1 at 0x2b5575e3ea58>}),no
HYDAh,frozenset({<Gene PfDd2_130024000-t41_1-p1 at 0x2b5575e3e780>}),no
ICDHyp,frozenset({<Gene PfDd2_130051500-t41_1-p1 at 0x2b5575e1d470>}),no
IDPh,"frozenset({<Gene PfDd2_030021300-t41_1-p1 at 0x2b5575e61908>, <Gene PfDd2_140061200-t41_1-p1 at 0x2b5575e3e278>})",yes
K2L4Aabcpp,"frozenset({<Gene PfDd2_130057900-t41_1-p1 at 0x2b5575e1de10>, <Gene PfDd2_140052300-t41_1-p1 at 0x2b5575e1dda0>, <Gene PfDd2_110048400-t41_1-p1 at 0x2b5575e1de48>, <Gene PfDd2_050027900-t41_1-p1 at 0x2b5575e1ddd8>})",yes
K2L4Aabctex,frozenset({<Gene PfDd2_140031000-t41_1-p1 at 0x2b5575e11ac8>}),no
KAS14_1,frozenset({<Gene PfDd2_020014000-t41_1-p1 at 0x2b5575e11940>}),no
LIPACabcpp,"frozenset({<Gene PfDd2_130057900-t41_1-p1 at 0x2b5575e1de10>, <Gene PfDd2_140052300-t41_1-p1 at 0x2b5575e1dda0>, <Gene PfDd2_110048400-t41_1-p1 at 0x2b5575e1de48>, <Gene PfDd2_050027900-t41_1-p1 at 0x2b5575e1ddd8>})",yes
LIPAabcpp,"frozenset({<Gene PfDd2_130057900-t41_1-p1 at 0x2b5575e1de10>, <Gene PfDd2_140052300-t41_1-p1 at 0x2b5575e1dda0>, <Gene PfDd2_110048400-t41_1-p1 at 0x2b5575e1de48>, <Gene PfDd2_050027900-t41_1-p1 at 0x2b5575e1ddd8>})",yes
LIPAabctex,frozenset({<Gene PfDd2_140031000-t41_1-p1 at 0x2b5575e11ac8>}),no
LUMIRHODOPSINI,frozenset({<Gene PfDd2_130066400-t41_1-p1 at 0x2b5575e3edd8>}),no
MCOATA_1,frozenset({<Gene PfDd2_130017800-t41_1-p1 at 0x2b5575e3e470>}),no
MCS,frozenset({<Gene PfDd2_020012100-t41_1-p1 at 0x2b5575e3e710>}),no
METARHODOPSINH,frozenset({<Gene PfDd2_130066400-t41_1-p1 at 0x2b5575e3edd8>}),no
METDabcpp,"frozenset({<Gene PfDd2_140038400-t41_1-p1 at 0x2b5575e1d6a0>, <Gene PfDd2_120034100-t41_1-p1 at 0x2b5575e1d668>})",yes
METHFth,frozenset({<Gene PfDd2_110019500-t41_1-p1 at 0x2b5575e3e630>}),no
METabcpp,"frozenset({<Gene PfDd2_140038400-t41_1-p1 at 0x2b5575e1d6a0>, <Gene PfDd2_120034100-t41_1-p1 at 0x2b5575e1d668>})",yes
MG2uabcpp,"frozenset({<Gene PfDd2_120016700-t41_1-p1 at 0x2b5575e61518>, <Gene PfDd2_010009900-t41_1-p1 at 0x2b5575e615c0>})",yes
MGDGD4DS1819Z1644Z7Z10Z13Z,frozenset({<Gene PfDd2_130024000-t41_1-p1 at 0x2b5575e3e780>}),no
MGDGD4DS1829Z12Z1634Z7Z10Z,frozenset({<Gene PfDd2_130024000-t41_1-p1 at 0x2b5575e3e780>}),no
MGDGD4DS1829Z12Z1644Z7Z10Z13Z,frozenset({<Gene PfDd2_130024000-t41_1-p1 at 0x2b5575e3e780>}),no
MGDGD4DS1839Z12Z15Z1634Z7Z10Z,frozenset({<Gene PfDd2_130024000-t41_1-p1 at 0x2b5575e3e780>}),no
MGDGD4DS1839Z12Z15Z1644Z7Z10Z13Z,frozenset({<Gene PfDd2_130024000-t41_1-p1 at 0x2b5575e3e780>}),no
MGDGD7DS1819Z1617Z,"frozenset({<Gene PfDd2_050016100-t41_1-p1 at 0x2b5575e3e400>, <Gene PfDd2_130024000-t41_1-p1 at 0x2b5575e3e780>})",yes
MGDGD7DS1829Z12Z1617Z,"frozenset({<Gene PfDd2_050016100-t41_1-p1 at 0x2b5575e3e400>, <Gene PfDd2_130024000-t41_1-p1 at 0x2b5575e3e780>})",yes
MGDGW3DS1819Z1637Z10Z13Z,frozenset({<Gene PfDd2_130024000-t41_1-p1 at 0x2b5575e3e780>}),no
MGDGW3DS1829Z12Z1637Z10Z13Z,frozenset({<Gene PfDd2_130024000-t41_1-p1 at 0x2b5575e3e780>}),no
MGDGW3DS1829Z12Z1644Z7Z10Z13Z,frozenset({<Gene PfDd2_130024000-t41_1-p1 at 0x2b5575e3e780>}),no
MGDGW3DS1839Z12Z15Z160,frozenset({<Gene PfDd2_130024000-t41_1-p1 at 0x2b5575e3e780>}),no
MGDGW3DS1839Z12Z15Z1627Z10Z,frozenset({<Gene PfDd2_130024000-t41_1-p1 at 0x2b5575e3e780>}),no
MGDGW3DS1839Z12Z15Z1634Z7Z10Z,frozenset({<Gene PfDd2_130024000-t41_1-p1 at 0x2b5575e3e780>}),no
MGDGW3DS1839Z12Z15Z1637Z10Z13Z1,frozenset({<Gene PfDd2_130024000-t41_1-p1 at 0x2b5575e3e780>}),no
MGDGW3DS1839Z12Z15Z1637Z10Z13Z2,frozenset({<Gene PfDd2_130024000-t41_1-p1 at 0x2b5575e3e780>}),no
MGDGW3DS1839Z12Z15Z1644Z7Z10Z13Z1,frozenset({<Gene PfDd2_130024000-t41_1-p1 at 0x2b5575e3e780>}),no
MGDGW3DS1839Z12Z15Z1644Z7Z10Z13Z2,frozenset({<Gene PfDd2_130024000-t41_1-p1 at 0x2b5575e3e780>}),no
MGDGW6DS1819Z1627Z10Z,frozenset({<Gene PfDd2_130024000-t41_1-p1 at 0x2b5575e3e780>}),no
MGDGW6DS1829Z12Z160,frozenset({<Gene PfDd2_130024000-t41_1-p1 at 0x2b5575e3e780>}),no
MGDGW6DS1829Z12Z1617Z,frozenset({<Gene PfDd2_130024000-t41_1-p1 at 0x2b5575e3e780>}),no
MGDGW6DS1829Z12Z1619Z,frozenset({<Gene PfDd2_130024000-t41_1-p1 at 0x2b5575e3e780>}),no
MGDGW6DS1829Z12Z1627Z10Z1,frozenset({<Gene PfDd2_130024000-t41_1-p1 at 0x2b5575e3e780>}),no
MGDGW6DS1829Z12Z1627Z10Z2,frozenset({<Gene PfDd2_130024000-t41_1-p1 at 0x2b5575e3e780>}),no
MGDGW6DS1829Z12Z1637Z10Z13Z,frozenset({<Gene PfDd2_130024000-t41_1-p1 at 0x2b5575e3e780>}),no
MGDGW6DS1829Z12Z1644Z7Z10Z13Z,frozenset({<Gene PfDd2_130024000-t41_1-p1 at 0x2b5575e3e780>}),no
MI1345PKn,frozenset({<Gene PfDd2_130022000-t41_1-p1 at 0x2b5575e2ed68>}),no
MI1456PKn,frozenset({<Gene PfDd2_130022000-t41_1-p1 at 0x2b5575e2ed68>}),no
MI145P6Kn,frozenset({<Gene PfDd2_130022000-t41_1-p1 at 0x2b5575e2ed68>}),no
MI145PKn,frozenset({<Gene PfDd2_130022000-t41_1-p1 at 0x2b5575e2ed68>}),no
MOBDabcpp,"frozenset({<Gene PfDd2_130074000-t41_1-p1 at 0x2b5575e1df28>, <Gene PfDd2_140031000-t41_1-p1 at 0x2b5575e11ac8>})",yes
NADS1n,frozenset({<Gene PfDd2_090031700-t41_1-p1 at 0x2b5575e2eda0>}),no
NI2uabcpp,"frozenset({<Gene PfDd2_120016700-t41_1-p1 at 0x2b5575e61518>, <Gene PfDd2_130074000-t41_1-p1 at 0x2b5575e1df28>, <Gene PfDd2_010009900-t41_1-p1 at 0x2b5575e615c0>})",yes
NO2R,frozenset({<Gene PfDd2_130024000-t41_1-p1 at 0x2b5575e3e780>}),no
O16A4COLIPAabctex,frozenset({<Gene PfDd2_140031000-t41_1-p1 at 0x2b5575e11ac8>}),no
OHPHM6n,frozenset({<Gene PfDd2_140020400-t41_1-p1 at 0x2b5575e84438>}),no
ORDCh,frozenset({<Gene PfDd2_100038300-t41_1-p1 at 0x2b5575e4f080>}),no
OXFOt4pp,frozenset({<Gene PfDd2_020013000-t41_1-p1 at 0x2b5575e61550>}),no
OXOADLR,frozenset({<Gene PfDd2_130026700-t41_1-p1 at 0x2b5575e2ea20>}),no
PA120abcpp,"frozenset({<Gene PfDd2_130057900-t41_1-p1 at 0x2b5575e1de10>, <Gene PfDd2_140052300-t41_1-p1 at 0x2b5575e1dda0>, <Gene PfDd2_110048400-t41_1-p1 at 0x2b5575e1de48>, <Gene PfDd2_050027900-t41_1-p1 at 0x2b5575e1ddd8>})",yes
PA140abcpp,"frozenset({<Gene PfDd2_130057900-t41_1-p1 at 0x2b5575e1de10>, <Gene PfDd2_140052300-t41_1-p1 at 0x2b5575e1dda0>, <Gene PfDd2_110048400-t41_1-p1 at 0x2b5575e1de48>, <Gene PfDd2_050027900-t41_1-p1 at 0x2b5575e1ddd8>})",yes
PA141abcpp,"frozenset({<Gene PfDd2_130057900-t41_1-p1 at 0x2b5575e1de10>, <Gene PfDd2_140052300-t41_1-p1 at 0x2b5575e1dda0>, <Gene PfDd2_110048400-t41_1-p1 at 0x2b5575e1de48>, <Gene PfDd2_050027900-t41_1-p1 at 0x2b5575e1ddd8>})",yes
PA160abcpp,"frozenset({<Gene PfDd2_130057900-t41_1-p1 at 0x2b5575e1de10>, <Gene PfDd2_140052300-t41_1-p1 at 0x2b5575e1dda0>, <Gene PfDd2_110048400-t41_1-p1 at 0x2b5575e1de48>, <Gene PfDd2_050027900-t41_1-p1 at 0x2b5575e1ddd8>})",yes
PA161abcpp,"frozenset({<Gene PfDd2_130057900-t41_1-p1 at 0x2b5575e1de10>, <Gene PfDd2_140052300-t41_1-p1 at 0x2b5575e1dda0>, <Gene PfDd2_110048400-t41_1-p1 at 0x2b5575e1de48>, <Gene PfDd2_050027900-t41_1-p1 at 0x2b5575e1ddd8>})",yes
PA180abcpp,"frozenset({<Gene PfDd2_130057900-t41_1-p1 at 0x2b5575e1de10>, <Gene PfDd2_140052300-t41_1-p1 at 0x2b5575e1dda0>, <Gene PfDd2_110048400-t41_1-p1 at 0x2b5575e1de48>, <Gene PfDd2_050027900-t41_1-p1 at 0x2b5575e1ddd8>})",yes
PA181abcpp,"frozenset({<Gene PfDd2_130057900-t41_1-p1 at 0x2b5575e1de10>, <Gene PfDd2_140052300-t41_1-p1 at 0x2b5575e1dda0>, <Gene PfDd2_110048400-t41_1-p1 at 0x2b5575e1de48>, <Gene PfDd2_050027900-t41_1-p1 at 0x2b5575e1ddd8>})",yes
PDHam1hi,"frozenset({<Gene PfDd2_140050800-t41_1-p1 at 0x2b5575e3e390>, <Gene PfDd2_110027500-t41_1-p1 at 0x2b5575e3e3c8>})",yes
PDHam2hi,"frozenset({<Gene PfDd2_140050800-t41_1-p1 at 0x2b5575e3e390>, <Gene PfDd2_110027500-t41_1-p1 at 0x2b5575e3e3c8>})",yes
PDHe2hr,frozenset({<Gene PfDd2_100026200-t41_1-p1 at 0x2b5575e617f0>}),no
PDHe3hr,frozenset({<Gene PfDd2_080021100-t41_1-p1 at 0x2b5575e1d3c8>}),no
PE120abcpp,"frozenset({<Gene PfDd2_130057900-t41_1-p1 at 0x2b5575e1de10>, <Gene PfDd2_110048400-t41_1-p1 at 0x2b5575e1de48>, <Gene PfDd2_140052300-t41_1-p1 at 0x2b5575e1dda0>, <Gene PfDd2_050027900-t41_1-p1 at 0x2b5575e1ddd8>, <Gene PfDd2_130045700-t41_1-p1 at 0x2b5575e1def0>})",yes
PE140abcpp,"frozenset({<Gene PfDd2_130057900-t41_1-p1 at 0x2b5575e1de10>, <Gene PfDd2_140052300-t41_1-p1 at 0x2b5575e1dda0>, <Gene PfDd2_110048400-t41_1-p1 at 0x2b5575e1de48>, <Gene PfDd2_050027900-t41_1-p1 at 0x2b5575e1ddd8>})",yes
PE141abcpp,"frozenset({<Gene PfDd2_130057900-t41_1-p1 at 0x2b5575e1de10>, <Gene PfDd2_140052300-t41_1-p1 at 0x2b5575e1dda0>, <Gene PfDd2_110048400-t41_1-p1 at 0x2b5575e1de48>, <Gene PfDd2_050027900-t41_1-p1 at 0x2b5575e1ddd8>})",yes
PE160abcpp,"frozenset({<Gene PfDd2_130057900-t41_1-p1 at 0x2b5575e1de10>, <Gene PfDd2_110048400-t41_1-p1 at 0x2b5575e1de48>, <Gene PfDd2_140052300-t41_1-p1 at 0x2b5575e1dda0>, <Gene PfDd2_050027900-t41_1-p1 at 0x2b5575e1ddd8>, <Gene PfDd2_130045700-t41_1-p1 at 0x2b5575e1def0>})",yes
PE161abcpp,"frozenset({<Gene PfDd2_130057900-t41_1-p1 at 0x2b5575e1de10>, <Gene PfDd2_110048400-t41_1-p1 at 0x2b5575e1de48>, <Gene PfDd2_140052300-t41_1-p1 at 0x2b5575e1dda0>, <Gene PfDd2_050027900-t41_1-p1 at 0x2b5575e1ddd8>, <Gene PfDd2_130045700-t41_1-p1 at 0x2b5575e1def0>})",yes
PE180abcpp,"frozenset({<Gene PfDd2_130057900-t41_1-p1 at 0x2b5575e1de10>, <Gene PfDd2_110048400-t41_1-p1 at 0x2b5575e1de48>, <Gene PfDd2_140052300-t41_1-p1 at 0x2b5575e1dda0>, <Gene PfDd2_050027900-t41_1-p1 at 0x2b5575e1ddd8>, <Gene PfDd2_130045700-t41_1-p1 at 0x2b5575e1def0>})",yes
PE181abcpp,"frozenset({<Gene PfDd2_130057900-t41_1-p1 at 0x2b5575e1de10>, <Gene PfDd2_110048400-t41_1-p1 at 0x2b5575e1de48>, <Gene PfDd2_140052300-t41_1-p1 at 0x2b5575e1dda0>, <Gene PfDd2_050027900-t41_1-p1 at 0x2b5575e1ddd8>, <Gene PfDd2_130045700-t41_1-p1 at 0x2b5575e1def0>})",yes
PEPPIth,frozenset({<Gene PfDd2_050013300-t41_1-p1 at 0x2b5575e3e668>}),no
PFKh,frozenset({<Gene PfDd2_090020500-t41_1-p1 at 0x2b5575e1d908>}),no
PG120abcpp,"frozenset({<Gene PfDd2_130057900-t41_1-p1 at 0x2b5575e1de10>, <Gene PfDd2_140052300-t41_1-p1 at 0x2b5575e1dda0>, <Gene PfDd2_110048400-t41_1-p1 at 0x2b5575e1de48>, <Gene PfDd2_050027900-t41_1-p1 at 0x2b5575e1ddd8>})",yes
PG140abcpp,"frozenset({<Gene PfDd2_130057900-t41_1-p1 at 0x2b5575e1de10>, <Gene PfDd2_140052300-t41_1-p1 at 0x2b5575e1dda0>, <Gene PfDd2_110048400-t41_1-p1 at 0x2b5575e1de48>, <Gene PfDd2_050027900-t41_1-p1 at 0x2b5575e1ddd8>})",yes
PG141abcpp,"frozenset({<Gene PfDd2_130057900-t41_1-p1 at 0x2b5575e1de10>, <Gene PfDd2_140052300-t41_1-p1 at 0x2b5575e1dda0>, <Gene PfDd2_110048400-t41_1-p1 at 0x2b5575e1de48>, <Gene PfDd2_050027900-t41_1-p1 at 0x2b5575e1ddd8>})",yes
PG160abcpp,"frozenset({<Gene PfDd2_130057900-t41_1-p1 at 0x2b5575e1de10>, <Gene PfDd2_140052300-t41_1-p1 at 0x2b5575e1dda0>, <Gene PfDd2_110048400-t41_1-p1 at 0x2b5575e1de48>, <Gene PfDd2_050027900-t41_1-p1 at 0x2b5575e1ddd8>})",yes
PG161abcpp,"frozenset({<Gene PfDd2_130057900-t41_1-p1 at 0x2b5575e1de10>, <Gene PfDd2_140052300-t41_1-p1 at 0x2b5575e1dda0>, <Gene PfDd2_110048400-t41_1-p1 at 0x2b5575e1de48>, <Gene PfDd2_050027900-t41_1-p1 at 0x2b5575e1ddd8>})",yes
PG180abcpp,"frozenset({<Gene PfDd2_130057900-t41_1-p1 at 0x2b5575e1de10>, <Gene PfDd2_140052300-t41_1-p1 at 0x2b5575e1dda0>, <Gene PfDd2_110048400-t41_1-p1 at 0x2b5575e1de48>, <Gene PfDd2_050027900-t41_1-p1 at 0x2b5575e1ddd8>})",yes
PG181abcpp,"frozenset({<Gene PfDd2_130057900-t41_1-p1 at 0x2b5575e1de10>, <Gene PfDd2_140052300-t41_1-p1 at 0x2b5575e1dda0>, <Gene PfDd2_110048400-t41_1-p1 at 0x2b5575e1de48>, <Gene PfDd2_050027900-t41_1-p1 at 0x2b5575e1ddd8>})",yes
PGD3TDS18111Z1613E,frozenset({<Gene PfDd2_130024000-t41_1-p1 at 0x2b5575e3e780>}),no
PGD3TDS1819Z1613E,frozenset({<Gene PfDd2_130024000-t41_1-p1 at 0x2b5575e3e780>}),no
PGD3TDS1829Z12Z1613E,frozenset({<Gene PfDd2_130024000-t41_1-p1 at 0x2b5575e3e780>}),no
PGD3TDS1839Z12Z15Z1613E,frozenset({<Gene PfDd2_130024000-t41_1-p1 at 0x2b5575e3e780>}),no
PGDHh,frozenset({<Gene PfDd2_140059100-t41_1-p1 at 0x2b5575e618d0>}),no
PGIAh,frozenset({<Gene PfDd2_140040400-t41_1-p1 at 0x2b5575e3e940>}),no
PGIBh,frozenset({<Gene PfDd2_140040400-t41_1-p1 at 0x2b5575e3e940>}),no
PGKh,frozenset({<Gene PfDd2_090027500-t41_1-p1 at 0x2b5575e2e470>}),no
PGLYCPh,frozenset({<Gene PfDd2_070018600-t41_1-p1 at 0x2b5575e1d128>}),no
PGLYCPx,frozenset({<Gene PfDd2_070018600-t41_1-p1 at 0x2b5575e1d128>}),no
PGP120abcpp,"frozenset({<Gene PfDd2_130057900-t41_1-p1 at 0x2b5575e1de10>, <Gene PfDd2_110048400-t41_1-p1 at 0x2b5575e1de48>, <Gene PfDd2_140052300-t41_1-p1 at 0x2b5575e1dda0>, <Gene PfDd2_050027900-t41_1-p1 at 0x2b5575e1ddd8>, <Gene PfDd2_130045700-t41_1-p1 at 0x2b5575e1def0>})",yes
PGP140abcpp,"frozenset({<Gene PfDd2_130057900-t41_1-p1 at 0x2b5575e1de10>, <Gene PfDd2_140052300-t41_1-p1 at 0x2b5575e1dda0>, <Gene PfDd2_110048400-t41_1-p1 at 0x2b5575e1de48>, <Gene PfDd2_050027900-t41_1-p1 at 0x2b5575e1ddd8>})",yes
PGP141abcpp,"frozenset({<Gene PfDd2_130057900-t41_1-p1 at 0x2b5575e1de10>, <Gene PfDd2_140052300-t41_1-p1 at 0x2b5575e1dda0>, <Gene PfDd2_110048400-t41_1-p1 at 0x2b5575e1de48>, <Gene PfDd2_050027900-t41_1-p1 at 0x2b5575e1ddd8>})",yes
PGP160abcpp,"frozenset({<Gene PfDd2_130057900-t41_1-p1 at 0x2b5575e1de10>, <Gene PfDd2_110048400-t41_1-p1 at 0x2b5575e1de48>, <Gene PfDd2_140052300-t41_1-p1 at 0x2b5575e1dda0>, <Gene PfDd2_050027900-t41_1-p1 at 0x2b5575e1ddd8>, <Gene PfDd2_130045700-t41_1-p1 at 0x2b5575e1def0>})",yes
PGP161abcpp,"frozenset({<Gene PfDd2_130057900-t41_1-p1 at 0x2b5575e1de10>, <Gene PfDd2_110048400-t41_1-p1 at 0x2b5575e1de48>, <Gene PfDd2_140052300-t41_1-p1 at 0x2b5575e1dda0>, <Gene PfDd2_050027900-t41_1-p1 at 0x2b5575e1ddd8>, <Gene PfDd2_130045700-t41_1-p1 at 0x2b5575e1def0>})",yes
PGP180abcpp,"frozenset({<Gene PfDd2_130057900-t41_1-p1 at 0x2b5575e1de10>, <Gene PfDd2_110048400-t41_1-p1 at 0x2b5575e1de48>, <Gene PfDd2_140052300-t41_1-p1 at 0x2b5575e1dda0>, <Gene PfDd2_050027900-t41_1-p1 at 0x2b5575e1ddd8>, <Gene PfDd2_130045700-t41_1-p1 at 0x2b5575e1def0>})",yes
PGP181abcpp,"frozenset({<Gene PfDd2_130057900-t41_1-p1 at 0x2b5575e1de10>, <Gene PfDd2_110048400-t41_1-p1 at 0x2b5575e1de48>, <Gene PfDd2_140052300-t41_1-p1 at 0x2b5575e1dda0>, <Gene PfDd2_050027900-t41_1-p1 at 0x2b5575e1ddd8>, <Gene PfDd2_130045700-t41_1-p1 at 0x2b5575e1def0>})",yes
PGW3DS1839Z12Z15Z160,frozenset({<Gene PfDd2_130024000-t41_1-p1 at 0x2b5575e3e780>}),no
PGW6DS1829Z12Z160,frozenset({<Gene PfDd2_130024000-t41_1-p1 at 0x2b5575e3e780>}),no
PHEMEabcpp,frozenset({<Gene PfDd2_120047500-t41_1-p1 at 0x2b5575e74b70>}),no
PIN4Kn_SC,frozenset({<Gene PfDd2_050014800-t41_1-p1 at 0x2b5575e2eef0>}),no
PINA1th,frozenset({<Gene PfDd2_130046700-t41_1-p1 at 0x2b5575e61198>}),no
PIt2p,frozenset({<Gene PfDd2_130046700-t41_1-p1 at 0x2b5575e61198>}),no
PIt2rpp,frozenset({<Gene PfDd2_130046700-t41_1-p1 at 0x2b5575e61198>}),no
PItf,frozenset({<Gene PfDd2_130046700-t41_1-p1 at 0x2b5575e61198>}),no
PIuabcpp,frozenset({<Gene PfDd2_140031000-t41_1-p1 at 0x2b5575e11ac8>}),no
PPA_1pp,frozenset({<Gene PfDd2_140061200-t41_1-p1 at 0x2b5575e3e278>}),no
PPBNGD,frozenset({<Gene PfDd2_120014400-t41_1-p1 at 0x2b5575e61eb8>}),no
PPBNGS_1,frozenset({<Gene PfDd2_140044650-t41_1-p1 at 0x2b5575e1da90>}),no
PS120abcpp,frozenset({<Gene PfDd2_050027900-t41_1-p1 at 0x2b5575e1ddd8>}),no
PS140abcpp,frozenset({<Gene PfDd2_050027900-t41_1-p1 at 0x2b5575e1ddd8>}),no
PS141abcpp,frozenset({<Gene PfDd2_050027900-t41_1-p1 at 0x2b5575e1ddd8>}),no
PS160abcpp,frozenset({<Gene PfDd2_050027900-t41_1-p1 at 0x2b5575e1ddd8>}),no
PS161abcpp,frozenset({<Gene PfDd2_050027900-t41_1-p1 at 0x2b5575e1ddd8>}),no
PS180abcpp,frozenset({<Gene PfDd2_050027900-t41_1-p1 at 0x2b5575e1ddd8>}),no
PS181abcpp,frozenset({<Gene PfDd2_050027900-t41_1-p1 at 0x2b5575e1ddd8>}),no
PTRCabcpp,frozenset({<Gene PfDd2_130074000-t41_1-p1 at 0x2b5575e1df28>}),no
PYKf,frozenset({<Gene PfDd2_060031500-t41_1-p1 at 0x2b5575e2e128>}),no
PYRShi,frozenset({<Gene PfDd2_130024000-t41_1-p1 at 0x2b5575e3e780>}),no
RHODOPSINI,frozenset({<Gene PfDd2_130066400-t41_1-p1 at 0x2b5575e3edd8>}),no
RHODOPSINRT,frozenset({<Gene PfDd2_130066400-t41_1-p1 at 0x2b5575e3edd8>}),no
RIBabcpp,"frozenset({<Gene PfDd2_030024800-t41_1-p1 at 0x2b5575e2e518>, <Gene PfDd2_140038400-t41_1-p1 at 0x2b5575e1d6a0>})",yes
RNDR1n,"frozenset({<Gene PfDd2_140010200-t41_1-p1 at 0x2b5575e2e630>, <Gene PfDd2_140061600-t41_1-p1 at 0x2b5575e2e668>, <Gene PfDd2_140041600-t41_1-p1 at 0x2b5575e2e5f8>})",yes
RNDR2n,"frozenset({<Gene PfDd2_140010200-t41_1-p1 at 0x2b5575e2e630>, <Gene PfDd2_140061600-t41_1-p1 at 0x2b5575e2e668>, <Gene PfDd2_140041600-t41_1-p1 at 0x2b5575e2e5f8>})",yes
RNDR3n,"frozenset({<Gene PfDd2_140010200-t41_1-p1 at 0x2b5575e2e630>, <Gene PfDd2_140061600-t41_1-p1 at 0x2b5575e2e668>, <Gene PfDd2_140041600-t41_1-p1 at 0x2b5575e2e5f8>})",yes
RNDR4n,"frozenset({<Gene PfDd2_140010200-t41_1-p1 at 0x2b5575e2e630>, <Gene PfDd2_140061600-t41_1-p1 at 0x2b5575e2e668>, <Gene PfDd2_140041600-t41_1-p1 at 0x2b5575e2e5f8>})",yes
RPIh,frozenset({<Gene PfDd2_050019500-t41_1-p1 at 0x2b5575e2e160>}),no
SALCHS4abcpp,frozenset({<Gene PfDd2_130045700-t41_1-p1 at 0x2b5575e1def0>}),no
SECYSTL,frozenset({<Gene PfDd2_070021300-t41_1-p1 at 0x2b5575e840f0>}),no
SELtpp,frozenset({<Gene PfDd2_140031000-t41_1-p1 at 0x2b5575e11ac8>}),no
SERTRS2,frozenset({<Gene PfDd2_120020700-t41_1-p1 at 0x2b5575e4f9e8>}),no
SLNTtpp,frozenset({<Gene PfDd2_140031000-t41_1-p1 at 0x2b5575e11ac8>}),no
SO3abcpp,frozenset({<Gene PfDd2_140031000-t41_1-p1 at 0x2b5575e11ac8>}),no
SQDGW3DS1839Z12Z15Z160,frozenset({<Gene PfDd2_130024000-t41_1-p1 at 0x2b5575e3e780>}),no
SQDGW6DS1829Z12Z160,frozenset({<Gene PfDd2_130024000-t41_1-p1 at 0x2b5575e3e780>}),no
SQLEr,frozenset({<Gene PfDd2_090028200-t41_1-p1 at 0x2b5575e2ec88>}),no
SULabcpp,"frozenset({<Gene PfDd2_140038400-t41_1-p1 at 0x2b5575e1d6a0>, <Gene PfDd2_140031000-t41_1-p1 at 0x2b5575e11ac8>})",yes
TCHOLAabcv,frozenset({<Gene PfDd2_010015700-t41_1-p1 at 0x2b5575e2ef98>}),no
TDSRh,"frozenset({<Gene PfDd2_090028800-t41_1-p1 at 0x2b5575e1d1d0>, <Gene PfDd2_090030500-t41_1-p1 at 0x2b5575e2e6d8>, <Gene PfDd2_140061600-t41_1-p1 at 0x2b5575e2e668>})",yes
THD2pp,frozenset({<Gene PfDd2_140057900-t41_1-p1 at 0x2b5575e74080>}),no
THIORDXni,"frozenset({<Gene PfDd2_100032600-t41_1-p1 at 0x2b5575e842e8>, <Gene PfDd2_140061600-t41_1-p1 at 0x2b5575e2e668>})",no
THIORDXp,frozenset({<Gene PfDd2_140061600-t41_1-p1 at 0x2b5575e2e668>}),no
THMabcpp,frozenset({<Gene PfDd2_140031000-t41_1-p1 at 0x2b5575e11ac8>}),no
TKT1h,frozenset({<Gene PfDd2_060015700-t41_1-p1 at 0x2b5575e4fac8>}),no
TKT2h,frozenset({<Gene PfDd2_060015700-t41_1-p1 at 0x2b5575e4fac8>}),no
TPIh,frozenset({<Gene PfDd2_140044400-t41_1-p1 at 0x2b5575e2e4a8>}),no
TSULabcpp,frozenset({<Gene PfDd2_140031000-t41_1-p1 at 0x2b5575e11ac8>}),no
TSULth,frozenset({<Gene PfDd2_140031000-t41_1-p1 at 0x2b5575e11ac8>}),no
TUNGSabcpp,"frozenset({<Gene PfDd2_130074000-t41_1-p1 at 0x2b5575e1df28>, <Gene PfDd2_140031000-t41_1-p1 at 0x2b5575e11ac8>})",yes
UMPKn,frozenset({<Gene PfDd2_010014900-t41_1-p1 at 0x2b5575e3ee48>}),no
UPPDC1_1,frozenset({<Gene PfDd2_060012100-t41_1-p1 at 0x2b5575e61320>}),no
UPPDC2_1,frozenset({<Gene PfDd2_060012100-t41_1-p1 at 0x2b5575e61320>}),no
UREAtpp,frozenset({<Gene PfDd2_110036100-t41_1-p1 at 0x2b5575e11da0>}),no
URIDK2rn,frozenset({<Gene PfDd2_010014900-t41_1-p1 at 0x2b5575e3ee48>}),no
VALTLh,"frozenset({<Gene PfDd2_140066300-t41_1-p1 at 0x2b5575e2e320>, <Gene PfDd2_100010400-t41_1-p1 at 0x2b5575e2e4e0>})",yes
