reaction ids,reaction formulas,genes,upper_bounds,lower_bounds
ARGTRS,arg__L_c + atp_c + trnaarg_c --> amp_c + argtrna_c + ppi_c,"['LdCL_250007100', 'LdCL_270018800-t42_1-p1']",1000.0,0.0
ASPTA,akg_c + asp__L_c --> glu__L_c + oaa_c,"['LdCL_330020500-t42_1-p1', 'LdCL_360030600-t42_1-p1', 'LdCL_350013200-t42_1-p1', 'LdCL_120011500-t42_1-p1', 'LdCL_240008600-t42_1-p1']",1000.0,0.0
ASPTRS,asp__L_c + atp_c + trnaasp_c --> amp_c + asptrna_c + ppi_c,"['LdCL_210016200-t42_1-p1', 'LdCL_300009800-t42_1-p1']",1000.0,0.0
CBPS,2.0 atp_c + gln__L_c + h2o_c + hco3_c --> 2.0 adp_c + cbp_c + glu__L_c + 2.0 h_c + pi_c,['LdCL_160011000-t42_1-p1'],1000.0,0.0
CFAS180E,2.0 amet_c + pe181_c --> 2.0 ahcys_c + cpe180_c + 2.0 h_c,['LdCL_080010500-t42_1-p1'],1000.0,0.0
CRNDCAL2,atp_c + coa_c + crn__D_c --> adp_c + crnDcoa_c + pi_c,"['LdCL_280017100-t42_1-p1', 'LdCL_010010100-t42_1-p1']",1000.0,0.0
CTECOAI6,tdecoa_c --> td2coa_c,"['LdCL_350008600-t42_1-p1', 'LdCL_290005000-t42_1-p1', 'LdCL_290030200-t42_1-p1']",1000.0,0.0
DASYN161,ctp_c + h_c + pa161_c --> cdpdhdec9eg_c + ppi_c,"['LdCL_260021700-t42_1-p1', 'LdCL_320036100-t42_1-p1']",1000.0,0.0
DHFS,atp_c + dhpt_c + glu__L_c --> adp_c + dhf_c + h_c + pi_c,['LdCL_360033800-t42_1-p1'],1000.0,0.0
DURIK1,atp_c + duri_c --> adp_c + dump_c + h_c,['LdCL_210020000-t42_1-p1'],1000.0,0.0
DUTPDP,dutp_c + h2o_c --> dump_c + h_c + ppi_c,['LdCL_360055700-t42_1-p1'],1000.0,0.0
E4PD,e4p_c + h2o_c + nad_c --> 4per_c + 2.0 h_c + nadh_c,"['LdCL_360030500-t42_1-p1', 'LdCL_350053100-t42_1-p1']",1000.0,0.0
EAR100x,h_c + nadh_c + tdec2eACP_c --> dcaACP_c + nad_c,['LdCL_340011900-t42_1-p1'],1000.0,0.0
EAR141x,h_c + nadh_c + t3c7mrseACP_c --> nad_c + tdeACP_c,['LdCL_340011900-t42_1-p1'],1000.0,0.0
EAR180x,h_c + nadh_c + toctd2eACP_c --> nad_c + ocdcaACP_c,['LdCL_340011900-t42_1-p1'],1000.0,0.0
ECOAH1,3hbcoa_c --> b2coa_c + h2o_c,"['LdCL_330034500-t42_1-p1', 'LdCL_290005000-t42_1-p1', 'LdCL_290030200-t42_1-p1', 'LdCL_350008600-t42_1-p1', 'LdCL_260021000-t42_1-p1']",1000.0,0.0
ECOAH2,3hhcoa_c --> h2o_c + hx2coa_c,"['LdCL_330034500-t42_1-p1', 'LdCL_290005000-t42_1-p1', 'LdCL_310032100-t42_1-p1', 'LdCL_290030200-t42_1-p1', 'LdCL_350008600-t42_1-p1', 'LdCL_260021000-t42_1-p1']",1000.0,0.0
ECOAH6,3htdcoa_c --> h2o_c + td2coa_c,"['LdCL_330034500-t42_1-p1', 'LdCL_290005000-t42_1-p1', 'LdCL_310032100-t42_1-p1', 'LdCL_290030200-t42_1-p1', 'LdCL_350008600-t42_1-p1', 'LdCL_260021000-t42_1-p1']",1000.0,0.0
ECOAH8,3hodcoa_c --> h2o_c + od2coa_c,"['LdCL_330034500-t42_1-p1', 'LdCL_290005000-t42_1-p1', 'LdCL_290030200-t42_1-p1', 'LdCL_350008600-t42_1-p1', 'LdCL_260021000-t42_1-p1']",1000.0,0.0
FBP,fdp_c + h2o_c --> f6p_c + pi_c,"['LdCL_170021400-t42_1-p1', 'LdCL_040017300-t42_1-p1']",1000.0,0.0
FRD2,fum_c + mql8_c --> mqn8_c + succ_c,"['LdCL_350013300-t42_1-p1', 'LdCL_350016800-t42_1-p1', 'LdCL_350016700-t42_1-p1']",1000.0,0.0
FRD3,2dmmql8_c + fum_c --> 2dmmq8_c + succ_c,"['LdCL_350013300-t42_1-p1', 'LdCL_350016800-t42_1-p1', 'LdCL_350016700-t42_1-p1']",1000.0,0.0
FUM,fum_c + h2o_c --> mal__L_c,"['LdCL_290026700-t42_1-p1', 'LdCL_240008000-t42_1-p1']",1000.0,0.0
G3PAT141,glyc3p_c + tdeACP_c --> 1tdec7eg3p_c + ACP_c,"['LdCL_270007800-t42_1-p1', 'LdCL_340017600-t42_1-p1']",1000.0,0.0
G3PAT180,glyc3p_c + ocdcaACP_c --> 1odecg3p_c + ACP_c,"['LdCL_270007800-t42_1-p1', 'LdCL_340017600-t42_1-p1']",1000.0,0.0
GLNS,atp_c + glu__L_c + nh4_c --> adp_c + gln__L_c + h_c + pi_c,['LdCL_060008800-t42_1-p1'],1000.0,0.0
GLUSy,akg_c + gln__L_c + h_c + nadph_c --> 2.0 glu__L_c + nadp_c,"['LdCL_060014700-t42_1-p1', 'LdCL_330014800-t42_1-p1']",1000.0,0.0
GLUTRS,atp_c + glu__L_c + trnaglu_c --> amp_c + glutrna_c + ppi_c,['LdCL_300038500-t42_1-p1'],1000.0,0.0
GLYCK2,atp_c + glyc__R_c --> 2pg_c + adp_c + h_c,['LdCL_020010200-t42_1-p1'],1000.0,0.0
GLYCL,gly_c + nad_c + thf_c --> co2_c + mlthf_c + nadh_c + nh4_c,"['LdCL_360046900-t42_1-p1', 'LdCL_360047000-t42_1-p1', 'LdCL_320041000-t42_1-p1', 'LdCL_290025200-t42_1-p1', 'LdCL_350053000-t42_1-p1', 'LdCL_360063600-t42_1-p1', 'LdCL_260005300-t42_1-p1']",1000.0,0.0
GLYCTO3,glyclt_c + mqn8_c --> glx_c + mql8_c,['LdCL_290007700-t42_1-p1'],1000.0,0.0
GLYCTO4,2dmmq8_c + glyclt_c --> 2dmmql8_c + glx_c,['LdCL_290007700-t42_1-p1'],1000.0,0.0
GMHEPAT,atp_c + gmhep1p_c + h_c --> adphep_DD_c + ppi_c,['LdCL_320015000-t42_1-p1'],1000.0,0.0
GPDDA2,g3pe_c + h2o_c --> etha_c + glyc3p_c + h_c,"['LdCL_240028100-t42_1-p1', 'LdCL_360069600-t42_1-p1', 'LdCL_280027600-t42_1-p1', 'LdCL_240006200', 'LdCL_360033500-t42_1-p1']",1000.0,0.0
GPDDA3,g3ps_c + h2o_c --> glyc3p_c + h_c + ser__L_c,"['LdCL_240028100-t42_1-p1', 'LdCL_360069600-t42_1-p1']",1000.0,0.0
GRXR,grxox_c + 2.0 gthrd_c --> grxrd_c + gthox_c,"['LdCL_350017500-t42_1-p1', 'LdCL_270013200-t42_1-p1']",1000.0,0.0
GSPMDA,gtspmd_c + h2o_c --> gthrd_c + spmd_c,"['LdCL_250030900-t42_1-p1', 'LdCL_360052300-t42_1-p1', 'LdCL_270024900-t42_1-p1']",1000.0,0.0
GTHOr,gthox_c + h_c + nadph_c --> 2.0 gthrd_c + nadp_c,"['LdCL_350017500-t42_1-p1', 'LdCL_050008500-t42_1-p1', 'LdCL_200014900-t42_1-p1']",1000.0,0.0
GTHS,atp_c + glucys_c + gly_c --> adp_c + gthrd_c + h_c + pi_c,['LdCL_140015400-t42_1-p1'],1000.0,0.0
HBZOPT,4hbz_c + octdp_c --> 3ophb_c + ppi_c,['LdCL_280018900-t42_1-p1'],1000.0,0.0
I4FE4ST,4.0 h_c + iscu_4fe4s_c --> 4fe4s_c + iscu_c,"['LdCL_330024500-t42_1-p1', 'LdCL_350041700-t42_1-p1']",1000.0,0.0
ILETA,akg_c + ile__L_c --> 3mop_c + glu__L_c,"['LdCL_270026700-t42_1-p1', 'LdCL_270026800-t42_1-p1']",1000.0,0.0
IMPD,h2o_c + imp_c + nad_c --> h_c + nadh_c + xmp_c,"['LdCL_170014700-t42_1-p1', 'LdCL_190021700-t42_1-p1']",1000.0,0.0
LALDO3,h_c + mthgxl_c + nadph_c --> lald__L_c + nadp_c,['LdCL_340038500-t42_1-p1'],1000.0,0.0
LCADi,h2o_c + lald__L_c + nad_c --> 2.0 h_c + lac__L_c + nadh_c,"['LdCL_360061300-t42_1-p1', 'LdCL_300034800-t42_1-p1', 'LdCL_250017000-t42_1-p1']",1000.0,0.0
LIPATPT,atp_c + lipoate_c --> lipoamp_c + ppi_c,['LdCL_070017200-t42_1-p1'],1000.0,0.0
LYSTRS,atp_c + lys__L_c + trnalys_c --> amp_c + lystrna_c + ppi_c,"['LdCL_150007600-t42_1-p1', 'LdCL_300006400-t42_1-p1']",1000.0,0.0
MACPD,h_c + malACP_c --> acACP_c + co2_c,['LdCL_330035700-t42_1-p1'],1000.0,0.0
MAN1PT2,gdp_c + h_c + man1p_c --> gdpmann_c + pi_c,['LdCL_230006100-t42_1-p1'],1000.0,0.0
ME1,mal__L_c + nad_c --> co2_c + nadh_c + pyr_c,"['LdCL_240012800-t42_1-p1', 'LdCL_240012900-t42_1-p1']",1000.0,0.0
METAT,atp_c + h2o_c + met__L_c --> amet_c + pi_c + ppi_c,['LdCL_300041200-t42_1-p1'],1000.0,0.0
MLTG5,h2o_c + malthp_c --> glc__D_c + malthx_c,['LdCL_180005800-t42_1-p1'],1000.0,0.0
MOADSUx,iscssh_c + moadamp_c + nadh_c --> amp_c + iscs_c + moadcosh_c + nad_c,"['LdCL_330024500-t42_1-p1', 'LdCL_270015900-t42_1-p1']",1000.0,0.0
MPTSS,atp_c + h_c + moadcoo_c --> moadamp_c + ppi_c,"['LdCL_010012300-t42_1-p1', 'LdCL_240009500-t42_1-p1', 'LdCL_270022700-t42_1-p1']",1000.0,0.0
NACODA,acg5sa_c + h2o_c --> ac_c + glu5sa_c,"['LdCL_070007800-t42_1-p1', 'LdCL_290022400-t42_1-p1']",1000.0,0.0
NADK,atp_c + nad_c --> adp_c + h_c + nadp_c,"['LdCL_340025000', 'LdCL_060009900-t42_1-p1']",1000.0,0.0
NDPK3,atp_c + cdp_c --> adp_c + ctp_c,"['LdCL_340006300-t42_1-p1', 'LdCL_350044200-t42_1-p1', 'LdCL_360019600-t42_1-p1', 'LdCL_320037000-t42_1-p1']",1000.0,0.0
NDPK5,atp_c + dgdp_c --> adp_c + dgtp_c,"['LdCL_340006300-t42_1-p1', 'LdCL_350044200-t42_1-p1', 'LdCL_360019600-t42_1-p1', 'LdCL_320037000-t42_1-p1']",1000.0,0.0
NDPK6,atp_c + dudp_c --> adp_c + dutp_c,"['LdCL_340006300-t42_1-p1', 'LdCL_350044200-t42_1-p1', 'LdCL_360019600-t42_1-p1', 'LdCL_320037000-t42_1-p1']",1000.0,0.0
NNAM,h2o_c + ncam_c --> nac_c + nh4_c,['LdCL_010009700-t42_1-p1'],1000.0,0.0
NTP1,atp_c + h2o_c --> adp_c + h_c + pi_c,"['LdCL_260017800-t42_1-p1', 'LdCL_280017700-t42_1-p1', 'LdCL_150005200-t42_1-p1', 'LdCL_280035800-t42_1-p1', 'LdCL_260014300-t42_1-p1', 'LdCL_110014600-t42_1-p1', 'LdCL_180018800-t42_1-p1']",1000.0,0.0
NTPP1,dgtp_c + h2o_c --> dgmp_c + h_c + ppi_c,['LdCL_360055700-t42_1-p1'],1000.0,0.0
OCTDPS,frdp_c + 5.0 ipdp_c --> octdp_c + 5.0 ppi_c,"['LdCL_150016300-t42_1-p1', 'LdCL_190007100-t42_1-p1']",1000.0,0.0
OMMBLHX,2ommbl_c + 0.5 o2_c --> 2omhmbl_c,['LdCL_060018100-t42_1-p1'],1000.0,0.0
OMPHHX,2omph_c + 0.5 o2_c --> 2ombzl_c,['LdCL_060018100-t42_1-p1'],1000.0,0.0
PFK,atp_c + f6p_c --> adp_c + fdp_c + h_c,['LdCL_290032300-t42_1-p1'],1000.0,0.0
PGCD,3pg_c + nad_c --> 3php_c + h_c + nadh_c,['LdCL_030005300-t42_1-p1'],1000.0,0.0
PNTK,atp_c + pnto__R_c --> 4ppan_c + adp_c + h_c,['LdCL_280006300-t42_1-p1'],1000.0,0.0
PPCDC,4ppcys_c + h_c --> co2_c + pan4p_c,['LdCL_300020900-t42_1-p1'],1000.0,0.0
PPCK,atp_c + oaa_c --> adp_c + co2_c + pep_c,['LdCL_270024300-t42_1-p1'],1000.0,0.0
PPPGO3,3.0 fum_c + pppg9_c --> ppp9_c + 3.0 succ_c,['LdCL_060018700-t42_1-p1'],1000.0,0.0
PYK,adp_c + h_c + pep_c --> atp_c + pyr_c,"['LdCL_350005200-t42_1-p1', 'LdCL_350005300-t42_1-p1']",1000.0,0.0
RBK,atp_c + rib__D_c --> adp_c + h_c + r5p_c,['LdCL_270009100-t42_1-p1'],1000.0,0.0
RBK_L1,atp_c + rbl__L_c --> adp_c + h_c + ru5p__L_c,['LdCL_360005400-t42_1-p1'],1000.0,0.0
RNDR1b,adp_c + grxrd_c --> dadp_c + grxox_c + h2o_c,"['LdCL_350017500-t42_1-p1', 'LdCL_270013200-t42_1-p1']",1000.0,0.0
