reaction ids,reaction formulas,genes,upper_bounds,lower_bounds
GLYCL,gly_c + nad_c + thf_c --> co2_c + mlthf_c + nadh_c + nh4_c,['EBH_0056740-t26_1-p1'],1000.0,0.0
GLYCTO3,glyclt_c + mqn8_c --> glx_c + mql8_c,['EBH_0072280-t26_1-p1'],1000.0,0.0
GLYCTO4,2dmmq8_c + glyclt_c --> 2dmmql8_c + glx_c,['EBH_0072280-t26_1-p1'],1000.0,0.0
GPDDA2,g3pe_c + h2o_c --> etha_c + glyc3p_c + h_c,"['EBH_0032280', 'EBH_0043700-t26_1-p1']",1000.0,0.0
GPDDA3,g3ps_c + h2o_c --> glyc3p_c + h_c + ser__L_c,['EBH_0043700-t26_1-p1'],1000.0,0.0
GTHOr,gthox_c + h_c + nadph_c --> 2.0 gthrd_c + nadp_c,"['EBH_0005880-t26_1-p1', 'EBH_0022900-t26_1-p1', 'EBH_0007580', 'EBH_0056740-t26_1-p1']",1000.0,0.0
HYPOE,h2o_c + pyam5p_c --> pi_c + pydam_c,['EBH_0071770-t26_1-p1'],1000.0,0.0
I4FE4ST,4.0 h_c + iscu_4fe4s_c --> 4fe4s_c + iscu_c,['EBH_0027820-t26_1-p1'],1000.0,0.0
IMPD,h2o_c + imp_c + nad_c --> h_c + nadh_c + xmp_c,['EBH_0005080-t26_1-p1'],1000.0,0.0
LCADi,h2o_c + lald__L_c + nad_c --> 2.0 h_c + lac__L_c + nadh_c,['EBH_0007030-t26_1-p1'],1000.0,0.0
LEUTAi,4mop_c + glu__L_c --> akg_c + leu__L_c,['EBH_0068310-t26_1-p1'],1000.0,0.0
LYSTRS,atp_c + lys__L_c + trnalys_c --> amp_c + lystrna_c + ppi_c,"['EBH_0006630-t26_1-p1', 'EBH_0029130-t26_1-p1']",1000.0,0.0
MACPD,h_c + malACP_c --> acACP_c + co2_c,"['EBH_0085870-t26_1-p1', 'EBH_0028320-t26_1-p1']",1000.0,0.0
METAT,atp_c + h2o_c + met__L_c --> amet_c + pi_c + ppi_c,['EBH_0060640-t26_1-p1'],1000.0,0.0
MLTP1,maltpt_c + pi_c --> g1p_c + maltttr_c,['EBH_0086040-t26_1-p1'],1000.0,0.0
MOADSUx,iscssh_c + moadamp_c + nadh_c --> amp_c + iscs_c + moadcosh_c + nad_c,['EBH_0070890-t26_1-p1'],1000.0,0.0
MOHMT,3mob_c + h2o_c + mlthf_c --> 2dhp_c + thf_c,['EBH_0086230-t26_1-p1'],1000.0,0.0
NDPK3,atp_c + cdp_c --> adp_c + ctp_c,['EBH_0003720-t26_1-p1'],1000.0,0.0
NDPK5,atp_c + dgdp_c --> adp_c + dgtp_c,['EBH_0003720-t26_1-p1'],1000.0,0.0
NDPK6,atp_c + dudp_c --> adp_c + dutp_c,['EBH_0003720-t26_1-p1'],1000.0,0.0
NNAM,h2o_c + ncam_c --> nac_c + nh4_c,['EBH_0010420-t26_1-p1'],1000.0,0.0
NTD10,h2o_c + xmp_c --> pi_c + xtsn_c,['EBH_0075790-t26_1-p1'],1000.0,0.0
NTD2,h2o_c + ump_c --> pi_c + uri_c,['EBH_0075790-t26_1-p1'],1000.0,0.0
NTD5,dtmp_c + h2o_c --> pi_c + thymd_c,['EBH_0075790-t26_1-p1'],1000.0,0.0
NTD7,amp_c + h2o_c --> adn_c + pi_c,['EBH_0075790-t26_1-p1'],1000.0,0.0
NTD8,dgmp_c + h2o_c --> dgsn_c + pi_c,['EBH_0075790-t26_1-p1'],1000.0,0.0
NTP1,atp_c + h2o_c --> adp_c + h_c + pi_c,"['EBH_0012790-t26_1-p1', 'EBH_0031430-t26_1-p1', 'EBH_0045100-t26_1-p1', 'EBH_0002820-t26_1-p1']",1000.0,0.0
NTPP1,dgtp_c + h2o_c --> dgmp_c + h_c + ppi_c,['EBH_0024040-t26_1-p1'],1000.0,0.0
PFK,atp_c + f6p_c --> adp_c + fdp_c + h_c,"['EBH_0000400-t26_1-p1', 'EBH_0022950-t26_1-p1']",1000.0,0.0
PNTK,atp_c + pnto__R_c --> 4ppan_c + adp_c + h_c,['EBH_0014930-t26_1-p1'],1000.0,0.0
PPBNGS,2.0 5aop_c --> 2.0 h2o_c + h_c + ppbng_c,['EBH_0013940-t26_1-p1'],1000.0,0.0
PPCK,atp_c + oaa_c --> adp_c + co2_c + pep_c,['EBH_0075720-t26_1-p1'],1000.0,0.0
PSERT,3php_c + glu__L_c --> akg_c + pser__L_c,['EBH_0020590-t26_1-p1'],1000.0,0.0
PSP_L,h2o_c + pser__L_c --> pi_c + ser__L_c,['EBH_0047750-t26_1-p1'],1000.0,0.0
PYK,adp_c + h_c + pep_c --> atp_c + pyr_c,"['EBH_0044830-t26_1-p1', 'EBH_0017680-t26_1-p1', 'EBH_0005480-t26_1-p1']",1000.0,0.0
RBK,atp_c + rib__D_c --> adp_c + h_c + r5p_c,['EBH_0025580-t26_1-p1'],1000.0,0.0
RNDR3,cdp_c + trdrd_c --> dcdp_c + h2o_c + trdox_c,['EBH_0028150-t26_1-p1'],1000.0,0.0
RPI,r5p_c --> ru5p__D_c,['EBH_0026200-t26_1-p1'],1000.0,0.0
S2FE2SS2,atp_c + fadh2_c + 2.0 fe2_c + h2o_c + sufbcd_2fe2s_c + 2.0 sufsesh_c --> adp_c + fad_c + 7.0 h_c + pi_c + sufbcd_2fe2s2_c + 2.0 sufse_c,"['EBH_0085560-t26_1-p1', 'EBH_0070990-t26_1-p1']",1000.0,0.0
S4FE4ST,4.0 h_c + sufbcd_4fe4s_c --> 4fe4s_c + sufbcd_c,"['EBH_0003410-t26_1-p1', 'EBH_0085560-t26_1-p1']",1000.0,0.0
SCYSDS,cys__L_c + sufse_c --> ala__L_c + sufsesh_c,['EBH_0070990-t26_1-p1'],1000.0,0.0
SELNPS,atp_c + h2o_c + seln_c --> amp_c + pi_c + selnp_c,"['EBH_0015120', 'EBH_0020080-t26_1-p1']",1000.0,0.0
SUCOAS,atp_c + coa_c + succ_c --> adp_c + pi_c + succoa_c,"['EBH_0074020-t26_1-p1', 'EBH_0044520-t26_1-p1']",1000.0,0.0
THFAT,h2o_c + methf_c --> 5fthf_c + h_c,['EBH_0019260-t26_1-p1'],1000.0,0.0
TPI,dhap_c --> g3p_c,"['EBH_0037720-t26_1-p1', 'EBH_0060210', 'EBH_0077410-t26_1-p1', 'EBH_0066450-t26_1-p1', 'EBH_0077610-t26_1-p1']",1000.0,0.0
UGLYCH,h2o_c + 2.0 h_c + urdglyc_c --> co2_c + glx_c + 2.0 nh4_c,['EBH_0031030-t26_1-p1'],1000.0,0.0
VALTRS,atp_c + trnaval_c + val__L_c --> amp_c + ppi_c + valtrna_c,"['EBH_0074400', 'EBH_0071890-t26_1-p1', 'EBH_0046760-t26_1-p1']",1000.0,0.0
THZPSN,atp_c + cys__L_c + dxyl5p_c + tyr__L_c --> 4hba_c + 4mpetz_c + ala__L_c + amp_c + co2_c + h2o_c + h_c + ppi_c,"['EBH_0072770-t26_1-p1', 'EBH_0070890-t26_1-p1', 'EBH_0028990-t26_1-p1']",1000.0,0.0
AHCi,ahcys_c + h2o_c --> adn_c + hcys__L_c,['EBH_0015560-t26_1-p1'],1000.0,0.0
AHSERL,achms_c + ch4s_c --> ac_c + h_c + met__L_c,['EBH_0010440-t26_1-p1'],1000.0,0.0
AKGDam,akg_m + h_m + lpam_m --> co2_m + sdhlam_m,"['EBH_0068870-t26_1-p1', 'EBH_0056740-t26_1-p1']",1000.0,0.0
ALCD19y,glyald_c + h_c + nadph_c --> glyc_c + nadp_c,['EBH_0023410-t26_1-p1'],1000.0,0.0
AMETtm,amet_c --> amet_m,['EBH_0017310-t26_1-p1'],1000.0,0.0
ARMT,amet_c + his__L_c --> NPmehis_c + ahcys_c + h_c,['EBH_0013720-t26_1-p1'],1000.0,0.0
CITtcm,cit_c + icit_m --> cit_m + icit_c,['EBH_0017310-t26_1-p1'],1000.0,0.0
CTPtm,cmp_m + ctp_c + 2.0 h_c --> cmp_c + ctp_m + 2.0 h_m,['EBH_0017310-t26_1-p1'],1000.0,0.0
