reaction ids,reaction formulas,genes,upper_bounds,lower_bounds
CTECOAI6,tdecoa_c --> td2coa_c,"['TRSC58_00230-t26_1-p1', 'TRSC58_05658-t26_1-p1', 'TRSC58_06933-t26_1-p1', 'TRSC58_03729-t26_1-p1']",1000.0,0.0
DASYN161,ctp_c + h_c + pa161_c --> cdpdhdec9eg_c + ppi_c,"['TRSC58_01252-t26_1-p1', 'TRSC58_00730-t26_1-p1']",1000.0,0.0
DURIK1,atp_c + duri_c --> adp_c + dump_c + h_c,['TRSC58_02032-t26_1-p1'],1000.0,0.0
DUTPDP,dutp_c + h2o_c --> dump_c + h_c + ppi_c,['TRSC58_00535-t26_1-p1'],1000.0,0.0
E4PD,e4p_c + h2o_c + nad_c --> 4per_c + 2.0 h_c + nadh_c,"['TRSC58_06452-t26_1-p1', 'TRSC58_06402-t26_1-p1']",1000.0,0.0
ECOAH1,3hbcoa_c --> b2coa_c + h2o_c,"['TRSC58_05658-t26_1-p1', 'TRSC58_03729-t26_1-p1', 'TRSC58_05930-t26_1-p1', 'TRSC58_06043-t26_1-p1', 'TRSC58_00230-t26_1-p1', 'TRSC58_06933-t26_1-p1']",1000.0,0.0
ECOAH2,3hhcoa_c --> h2o_c + hx2coa_c,"['TRSC58_05658-t26_1-p1', 'TRSC58_05930-t26_1-p1', 'TRSC58_03729-t26_1-p1', 'TRSC58_06043-t26_1-p1', 'TRSC58_00230-t26_1-p1', 'TRSC58_06933-t26_1-p1']",1000.0,0.0
ECOAH6,3htdcoa_c --> h2o_c + td2coa_c,"['TRSC58_05658-t26_1-p1', 'TRSC58_03729-t26_1-p1', 'TRSC58_05930-t26_1-p1', 'TRSC58_06043-t26_1-p1', 'TRSC58_00230-t26_1-p1', 'TRSC58_06933-t26_1-p1']",1000.0,0.0
ECOAH8,3hodcoa_c --> h2o_c + od2coa_c,"['TRSC58_05658-t26_1-p1', 'TRSC58_03729-t26_1-p1', 'TRSC58_06043-t26_1-p1', 'TRSC58_00230-t26_1-p1', 'TRSC58_06933-t26_1-p1']",1000.0,0.0
FA140ACPHi,h2o_c + myrsACP_c --> ACP_c + h_c + ttdca_c,['TRSC58_05666-t26_1-p1'],1000.0,0.0
FA141ACPHi,h2o_c + tdeACP_c --> ACP_c + h_c + ttdcea_c,['TRSC58_05666-t26_1-p1'],1000.0,0.0
FA160ACPHi,h2o_c + palmACP_c --> ACP_c + h_c + hdca_c,['TRSC58_05666-t26_1-p1'],1000.0,0.0
FBP,fdp_c + h2o_c --> f6p_c + pi_c,"['TRSC58_03732-t26_1-p1', 'TRSC58_02909-t26_1-p1', 'TRSC58_05296-t26_1-p1']",1000.0,0.0
FRD2,fum_c + mql8_c --> mqn8_c + succ_c,['TRSC58_04930-t26_1-p1'],1000.0,0.0
FRD3,2dmmql8_c + fum_c --> 2dmmq8_c + succ_c,['TRSC58_04930-t26_1-p1'],1000.0,0.0
FUM,fum_c + h2o_c --> mal__L_c,"['TRSC58_06047-t26_1-p1', 'TRSC58_04533-t26_1-p1']",1000.0,0.0
G1PACT,accoa_c + gam1p_c --> acgam1p_c + coa_c + h_c,['TRSC58_00375-t26_1-p1'],1000.0,0.0
G3PAT180,glyc3p_c + ocdcaACP_c --> 1odecg3p_c + ACP_c,['TRSC58_02965-t26_1-p1'],1000.0,0.0
GDMANE,gdpddman_c --> gdpofuc_c,['TRSC58_03468-t26_1-p1'],1000.0,0.0
GLUSy,akg_c + gln__L_c + h_c + nadph_c --> 2.0 glu__L_c + nadp_c,['TRSC58_05072-t26_1-p1'],1000.0,0.0
GLUTRS,atp_c + glu__L_c + trnaglu_c --> amp_c + glutrna_c + ppi_c,['TRSC58_04403-t26_1-p1'],1000.0,0.0
GLYCDx,glyc_c + nad_c --> dha_c + h_c + nadh_c,['TRSC58_07237-t26_1-p1'],1000.0,0.0
GLYCK2,atp_c + glyc__R_c --> 2pg_c + adp_c + h_c,['TRSC58_02868-t26_1-p1'],1000.0,0.0
GLYCL,gly_c + nad_c + thf_c --> co2_c + mlthf_c + nadh_c + nh4_c,"['TRSC58_02053-t26_1-p1', 'TRSC58_00769-t26_1-p1', 'TRSC58_04445-t26_1-p1', 'TRSC58_04319-t26_1-p1', 'TRSC58_03331-t26_1-p1']",1000.0,0.0
GLYCTO3,glyclt_c + mqn8_c --> glx_c + mql8_c,"['TRSC58_00912-t26_1-p1', 'TRSC58_05426-t26_1-p1', 'TRSC58_03928-t26_1-p1']",1000.0,0.0
GLYCTO4,2dmmq8_c + glyclt_c --> 2dmmql8_c + glx_c,"['TRSC58_00912-t26_1-p1', 'TRSC58_05426-t26_1-p1', 'TRSC58_03928-t26_1-p1']",1000.0,0.0
GMAND,gdpmann_c --> gdpddman_c + h2o_c,"['TRSC58_01162-t26_1-p1', 'TRSC58_04855-t26_1-p1', 'TRSC58_02359']",1000.0,0.0
GMHEPAT,atp_c + gmhep1p_c + h_c --> adphep_DD_c + ppi_c,['TRSC58_05427-t26_1-p1'],1000.0,0.0
GPDDA2,g3pe_c + h2o_c --> etha_c + glyc3p_c + h_c,"['TRSC58_04447-t26_1-p1', 'TRSC58_04317-t26_1-p1']",1000.0,0.0
GPDDA3,g3ps_c + h2o_c --> glyc3p_c + h_c + ser__L_c,"['TRSC58_04447-t26_1-p1', 'TRSC58_04317-t26_1-p1']",1000.0,0.0
GRXR,grxox_c + 2.0 gthrd_c --> grxrd_c + gthox_c,"['TRSC58_06316-t26_1-p1', 'TRSC58_04435-t26_1-p1', 'TRSC58_04945-t26_1-p1', 'TRSC58_06228-t26_1-p1']",1000.0,0.0
GSPMDA,gtspmd_c + h2o_c --> gthrd_c + spmd_c,"['TRSC58_00486-t26_1-p1', 'TRSC58_03866-t26_1-p1', 'TRSC58_01995-t26_1-p1']",1000.0,0.0
GTHOr,gthox_c + h_c + nadph_c --> 2.0 gthrd_c + nadp_c,"['TRSC58_06316-t26_1-p1', 'TRSC58_02517-t26_1-p1', 'TRSC58_05403-t26_1-p1']",1000.0,0.0
GTHS,atp_c + glucys_c + gly_c --> adp_c + gthrd_c + h_c + pi_c,['TRSC58_04279-t26_1-p1'],1000.0,0.0
HBZOPT,4hbz_c + octdp_c --> 3ophb_c + ppi_c,['TRSC58_01300-t26_1-p1'],1000.0,0.0
HYPOE,h2o_c + pyam5p_c --> pi_c + pydam_c,['TRSC58_06433-t26_1-p1'],1000.0,0.0
I4FE4ST,4.0 h_c + iscu_4fe4s_c --> 4fe4s_c + iscu_c,"['TRSC58_01562-t26_1-p1', 'TRSC58_02465-t26_1-p1']",1000.0,0.0
ILETA,akg_c + ile__L_c --> 3mop_c + glu__L_c,['TRSC58_04313-t26_1-p1'],1000.0,0.0
IMPD,h2o_c + imp_c + nad_c --> h_c + nadh_c + xmp_c,['TRSC58_05816-t26_1-p1'],1000.0,0.0
IPMD,3c2hmp_c + nad_c --> 3c4mop_c + h_c + nadh_c,['TRSC58_06174-t26_1-p1'],1000.0,0.0
L_LACD3,lac__L_c + mqn8_c --> mql8_c + pyr_c,['TRSC58_07101-t26_1-p1'],1000.0,0.0
LEUTAi,4mop_c + glu__L_c --> akg_c + leu__L_c,['TRSC58_04313-t26_1-p1'],1000.0,0.0
LIPATPT,atp_c + lipoate_c --> lipoamp_c + ppi_c,['TRSC58_04068-t26_1-p1'],1000.0,0.0
LPLIPAL2E160,2agpe160_c + h2o_c --> g3pe_c + h_c + hdca_c,['TRSC58_02684-t26_1-p1'],1000.0,0.0
LYSTRS,atp_c + lys__L_c + trnalys_c --> amp_c + lystrna_c + ppi_c,"['TRSC58_02512-t26_1-p1', 'TRSC58_04898-t26_1-p1']",1000.0,0.0
MACPD,h_c + malACP_c --> acACP_c + co2_c,['TRSC58_01215-t26_1-p1'],1000.0,0.0
MAN1PT2,gdp_c + h_c + man1p_c --> gdpmann_c + pi_c,['TRSC58_00375-t26_1-p1'],1000.0,0.0
