reaction ids,reaction formulas,genes,upper_bounds,lower_bounds
EAR181y,h_c + nadph_c + t3c11vaceACP_c --> nadp_c + octeACP_c,['PVX_113890.1-p1'],1000.0,0.0
EAR40y,but2eACP_c + h_c + nadph_c --> butACP_c + nadp_c,['PVX_113890.1-p1'],1000.0,0.0
EAR80y,h_c + nadph_c + toct2eACP_c --> nadp_c + ocACP_c,['PVX_113890.1-p1'],1000.0,0.0
ECOAH1,3hbcoa_c --> b2coa_c + h2o_c,"['PVX_100950.1-p1', 'PVX_085265.1-p1']",1000.0,0.0
ECOAH2,3hhcoa_c --> h2o_c + hx2coa_c,"['PVX_100950.1-p1', 'PVX_085265.1-p1']",1000.0,0.0
ECOAH6,3htdcoa_c --> h2o_c + td2coa_c,"['PVX_100950.1-p1', 'PVX_085265.1-p1']",1000.0,0.0
ECOAH8,3hodcoa_c --> h2o_c + od2coa_c,"['PVX_100950.1-p1', 'PVX_116720.1-p1', 'PVX_085265.1-p1']",1000.0,0.0
EPMEACPR,epmeACP_c + h_c + nadph_c --> nadp_c + pmeACP_c,['PVX_113890.1-p1'],1000.0,0.0
FUM,fum_c + h2o_c --> mal__L_c,['PVX_099805.1-p1'],1000.0,0.0
G1PACT,accoa_c + gam1p_c --> acgam1p_c + coa_c + h_c,['PVX_085435.1-p1'],1000.0,0.0
G3PAT141,glyc3p_c + tdeACP_c --> 1tdec7eg3p_c + ACP_c,['PVX_003880.1-p1'],1000.0,0.0
G3PAT180,glyc3p_c + ocdcaACP_c --> 1odecg3p_c + ACP_c,['PVX_003880.1-p1'],1000.0,0.0
GDMANE,gdpddman_c --> gdpofuc_c,['PVX_094915.1-p1'],1000.0,0.0
GLNS,atp_c + glu__L_c + nh4_c --> adp_c + gln__L_c + h_c + pi_c,['PVX_099540.1-p1'],1000.0,0.0
GLUSy,akg_c + gln__L_c + h_c + nadph_c --> 2.0 glu__L_c + nadp_c,"['PVX_084770.1-p1', 'PVX_202290-t26_1-p1', 'PVX_092585.1-p1', 'PVX_191290-t26_1-p1']",1000.0,0.0
GLUTRS,atp_c + glu__L_c + trnaglu_c --> amp_c + glutrna_c + ppi_c,"['PVX_083355.1-p1', 'PVX_114835.1-p1']",1000.0,0.0
GLYCL,gly_c + nad_c + thf_c --> co2_c + mlthf_c + nadh_c + nh4_c,"['PVX_092250.1-p1', 'PVX_089610.1-p1', 'PVX_115235.1-p1', 'PVX_100555.1-p1', 'PVX_083095.1-p1']",1000.0,0.0
GMAND,gdpmann_c --> gdpddman_c + h2o_c,['PVX_123080.1-p1'],1000.0,0.0
GMHEPAT,atp_c + gmhep1p_c + h_c --> adphep_DD_c + ppi_c,['PVX_083280.1-p1'],1000.0,0.0
GPDDA2,g3pe_c + h2o_c --> etha_c + glyc3p_c + h_c,['PVX_086115.1-p1'],1000.0,0.0
GPDDA3,g3ps_c + h2o_c --> glyc3p_c + h_c + ser__L_c,['PVX_086115.1-p1'],1000.0,0.0
GRXR,grxox_c + 2.0 gthrd_c --> grxrd_c + gthox_c,"['PVX_119440.1-p1', 'PVX_087990.1-p1']",1000.0,0.0
GTHOr,gthox_c + h_c + nadph_c --> 2.0 gthrd_c + nadp_c,"['PVX_113510.1-p1', 'PVX_085490.1-p1', 'PVX_099600.1-p1']",1000.0,0.0
GTHS,atp_c + glucys_c + gly_c --> adp_c + gthrd_c + h_c + pi_c,['PVX_080630.1-p1'],1000.0,0.0
GTPCI,gtp_c + h2o_c --> ahdt_c + for_c + h_c,['PVX_123830.1-p1'],1000.0,0.0
HBZOPT,4hbz_c + octdp_c --> 3ophb_c + ppi_c,['PVX_113540.1-p1'],1000.0,0.0
HYPOE,h2o_c + pyam5p_c --> pi_c + pydam_c,['PVX_122960.1-p1'],1000.0,0.0
I4FE4ST,4.0 h_c + iscu_4fe4s_c --> 4fe4s_c + iscu_c,"['PVX_117755.1-p1', 'PVX_095105.1-p1']",1000.0,0.0
IMPD,h2o_c + imp_c + nad_c --> h_c + nadh_c + xmp_c,['PVX_099455.1-p1'],1000.0,0.0
IPMD,3c2hmp_c + nad_c --> 3c4mop_c + h_c + nadh_c,['PVX_083185.1-p1'],1000.0,0.0
LEUTAi,4mop_c + glu__L_c --> akg_c + leu__L_c,['PVX_003655.1-p1'],1000.0,0.0
LIPATPT,atp_c + lipoate_c --> lipoamp_c + ppi_c,['PVX_122550.1-p1'],1000.0,0.0
LYSTRS,atp_c + lys__L_c + trnalys_c --> amp_c + lystrna_c + ppi_c,"['PVX_083400.1-p1', 'PVX_085610.1-p1']",1000.0,0.0
MACPD,h_c + malACP_c --> acACP_c + co2_c,['PVX_114420.1-p1'],1000.0,0.0
MAN1PT2,gdp_c + h_c + man1p_c --> gdpmann_c + pi_c,['PVX_085435.1-p1'],1000.0,0.0
MEPCT,2me4p_c + ctp_c + h_c --> 4c2me_c + ppi_c,['PVX_081425.1-p1'],1000.0,0.0
METAT,atp_c + h2o_c + met__L_c --> amet_c + pi_c + ppi_c,['PVX_099525.1-p1'],1000.0,0.0
MOADSUx,iscssh_c + moadamp_c + nadh_c --> amp_c + iscs_c + moadcosh_c + nad_c,['PVX_081665.1-p1'],1000.0,0.0
MPTSS,atp_c + h_c + moadcoo_c --> moadamp_c + ppi_c,"['PVX_089560.1-p1', 'PVX_115230.1-p1']",1000.0,0.0
NDPK3,atp_c + cdp_c --> adp_c + ctp_c,"['PVX_094660.1-p1', 'PVX_113450.1-p1', 'PVX_089735.1-p1', 'PVX_115285.1-p1']",1000.0,0.0
NDPK5,atp_c + dgdp_c --> adp_c + dgtp_c,"['PVX_094660.1-p1', 'PVX_113450.1-p1', 'PVX_089735.1-p1', 'PVX_115285.1-p1']",1000.0,0.0
NDPK6,atp_c + dudp_c --> adp_c + dutp_c,"['PVX_094660.1-p1', 'PVX_113450.1-p1', 'PVX_089735.1-p1', 'PVX_115285.1-p1']",1000.0,0.0
NNAM,h2o_c + ncam_c --> nac_c + nh4_c,['PVX_095210.1-p1'],1000.0,0.0
