reaction ids,reaction formulas,genes,upper_bounds,lower_bounds
CFAS180E,2.0 amet_c + pe181_c --> 2.0 ahcys_c + cpe180_c + 2.0 h_c,['LGELEM452_080010800.1-p1'],1000.0,0.0
CRNDCAL2,atp_c + coa_c + crn__D_c --> adp_c + crnDcoa_c + pi_c,"['LGELEM452_280018400.1-p1', 'LGELEM452_010010100.1-p1']",1000.0,0.0
CTECOAI6,tdecoa_c --> td2coa_c,"['LGELEM452_350008700.1-p1', 'LGELEM452_290031200.1-p1']",1000.0,0.0
DASYN161,ctp_c + h_c + pa161_c --> cdpdhdec9eg_c + ppi_c,"['LGELEM452_320036500.1-p1', 'LGELEM452_260021500.1-p1']",1000.0,0.0
DHFS,atp_c + dhpt_c + glu__L_c --> adp_c + dhf_c + h_c + pi_c,['LGELEM452_360033700.1-p1'],1000.0,0.0
DURIK1,atp_c + duri_c --> adp_c + dump_c + h_c,['LGELEM452_210019500.1-p1'],1000.0,0.0
DUTPDP,dutp_c + h2o_c --> dump_c + h_c + ppi_c,['LGELEM452_360056500.1-p1'],1000.0,0.0
E4PD,e4p_c + h2o_c + nad_c --> 4per_c + 2.0 h_c + nadh_c,"['LGELEM452_350054300.1-p1', 'LGELEM452_360030300.1-p1']",1000.0,0.0
EAR100x,h_c + nadh_c + tdec2eACP_c --> dcaACP_c + nad_c,['LGELEM452_340011700.1-p1'],1000.0,0.0
EAR141x,h_c + nadh_c + t3c7mrseACP_c --> nad_c + tdeACP_c,['LGELEM452_340011700.1-p1'],1000.0,0.0
EAR180x,h_c + nadh_c + toctd2eACP_c --> nad_c + ocdcaACP_c,['LGELEM452_340011700.1-p1'],1000.0,0.0
ECOAH1,3hbcoa_c --> b2coa_c + h2o_c,"['LGELEM452_330035500.1-p1', 'LGELEM452_290031200.1-p1', 'LGELEM452_350008700.1-p1', 'LGELEM452_260020700.1-p1']",1000.0,0.0
ECOAH2,3hhcoa_c --> h2o_c + hx2coa_c,"['LGELEM452_350008700.1-p1', 'LGELEM452_260020700.1-p1', 'LGELEM452_290031200.1-p1', 'LGELEM452_330035500.1-p1', 'LGELEM452_310029600.1-p1']",1000.0,0.0
ECOAH6,3htdcoa_c --> h2o_c + td2coa_c,"['LGELEM452_350008700.1-p1', 'LGELEM452_290031200.1-p1', 'LGELEM452_260020700.1-p1', 'LGELEM452_330035500.1-p1', 'LGELEM452_310029600.1-p1']",1000.0,0.0
ECOAH8,3hodcoa_c --> h2o_c + od2coa_c,"['LGELEM452_330035500.1-p1', 'LGELEM452_290031200.1-p1', 'LGELEM452_350008700.1-p1', 'LGELEM452_260020700.1-p1']",1000.0,0.0
FBP,fdp_c + h2o_c --> f6p_c + pi_c,"['LGELEM452_040017000.1-p1', 'LGELEM452_170016200.1-p1']",1000.0,0.0
FRD2,fum_c + mql8_c --> mqn8_c + succ_c,"['LGELEM452_350017600.1-p1', 'LGELEM452_350017700.1-p1', 'LGELEM452_350013500.1-p1']",1000.0,0.0
FRD3,2dmmql8_c + fum_c --> 2dmmq8_c + succ_c,"['LGELEM452_350017600.1-p1', 'LGELEM452_350017700.1-p1', 'LGELEM452_350013500.1-p1']",1000.0,0.0
FUM,fum_c + h2o_c --> mal__L_c,"['LGELEM452_240008200.1-p1', 'LGELEM452_290027100.1-p1']",1000.0,0.0
G3PAT141,glyc3p_c + tdeACP_c --> 1tdec7eg3p_c + ACP_c,"['LGELEM452_340012600.1-p1', 'LGELEM452_270008000.1-p1']",1000.0,0.0
G3PAT180,glyc3p_c + ocdcaACP_c --> 1odecg3p_c + ACP_c,"['LGELEM452_270008000.1-p1', 'LGELEM452_340012600.1-p1']",1000.0,0.0
GLNS,atp_c + glu__L_c + nh4_c --> adp_c + gln__L_c + h_c + pi_c,['LGELEM452_060009100.1-p1'],1000.0,0.0
GLUSy,akg_c + gln__L_c + h_c + nadph_c --> 2.0 glu__L_c + nadp_c,"['LGELEM452_060014800.1-p1', 'LGELEM452_330014600.1-p1']",1000.0,0.0
GLUTRS,atp_c + glu__L_c + trnaglu_c --> amp_c + glutrna_c + ppi_c,['LGELEM452_300039500.1-p1'],1000.0,0.0
GLYCK2,atp_c + glyc__R_c --> 2pg_c + adp_c + h_c,['LGELEM452_020009500.1-p1'],1000.0,0.0
GLYCL,gly_c + nad_c + thf_c --> co2_c + mlthf_c + nadh_c + nh4_c,"['LGELEM452_360047400.1-p1', 'LGELEM452_350054100.1-p1', 'LGELEM452_260005200.1-p1', 'LGELEM452_360064400.1-p1', 'LGELEM452_290025600.1-p1', 'LGELEM452_360047500.1-p1', 'LGELEM452_320041700.1-p1']",1000.0,0.0
GLYCTO3,glyclt_c + mqn8_c --> glx_c + mql8_c,"['LGELEM452_270027900.1-p1', 'LGELEM452_290008000.1-p1']",1000.0,0.0
