reaction ids,reaction formulas,genes,upper_bounds,lower_bounds
CRNDCAL2,atp_c + coa_c + crn__D_c --> adp_c + crnDcoa_c + pi_c,"['TGVAND_247760B-t30_1-p1', 'TGVAND_276155-t30_1-p1']",1000.0,0.0
CTECOAI6,tdecoa_c --> td2coa_c,"['TGVAND_202140-t30_1-p1', 'TGVAND_242390-t30_1-p1', 'TGVAND_317705-t30_1-p1']",1000.0,0.0
DASYN161,ctp_c + h_c + pa161_c --> cdpdhdec9eg_c + ppi_c,['TGVAND_263785-t30_1-p1'],1000.0,0.0
DHFS,atp_c + dhpt_c + glu__L_c --> adp_c + dhf_c + h_c + pi_c,"['TGVAND_271350-t30_1-p1', 'TGVAND_259550-t30_1-p1']",1000.0,0.0
DPR,2dhp_c + h_c + nadph_c --> nadp_c + pant__R_c,['TGVAND_257050-t30_1-p1'],1000.0,0.0
DUTPDP,dutp_c + h2o_c --> dump_c + h_c + ppi_c,"['TGVAND_202300-t30_1-p1', 'TGVAND_233140-t30_1-p1']",1000.0,0.0
DXPRIi,dxyl5p_c + h_c + nadph_c --> 2me4p_c + nadp_c,['TGVAND_214850-t30_1-p1'],1000.0,0.0
E4PD,e4p_c + h2o_c + nad_c --> 4per_c + 2.0 h_c + nadh_c,['TGVAND_289690-t30_1-p1'],1000.0,0.0
EAR100x,h_c + nadh_c + tdec2eACP_c --> dcaACP_c + nad_c,['TGVAND_251930-t30_1-p1'],1000.0,0.0
EAR120y,h_c + nadph_c + tddec2eACP_c --> ddcaACP_c + nadp_c,['TGVAND_251930-t30_1-p1'],1000.0,0.0
EAR140y,h_c + nadph_c + tmrs2eACP_c --> myrsACP_c + nadp_c,['TGVAND_251930-t30_1-p1'],1000.0,0.0
EAR141x,h_c + nadh_c + t3c7mrseACP_c --> nad_c + tdeACP_c,['TGVAND_251930-t30_1-p1'],1000.0,0.0
EAR161y,h_c + nadph_c + t3c9palmeACP_c --> hdeACP_c + nadp_c,['TGVAND_251930-t30_1-p1'],1000.0,0.0
EAR180x,h_c + nadh_c + toctd2eACP_c --> nad_c + ocdcaACP_c,['TGVAND_251930-t30_1-p1'],1000.0,0.0
EAR180y,h_c + nadph_c + toctd2eACP_c --> nadp_c + ocdcaACP_c,['TGVAND_251930-t30_1-p1'],1000.0,0.0
EAR181y,h_c + nadph_c + t3c11vaceACP_c --> nadp_c + octeACP_c,['TGVAND_251930-t30_1-p1'],1000.0,0.0
EAR40y,but2eACP_c + h_c + nadph_c --> butACP_c + nadp_c,['TGVAND_251930-t30_1-p1'],1000.0,0.0
EAR80y,h_c + nadph_c + toct2eACP_c --> nadp_c + ocACP_c,['TGVAND_251930-t30_1-p1'],1000.0,0.0
ECOAH1,3hbcoa_c --> b2coa_c + h2o_c,"['TGVAND_202140-t30_1-p1', 'TGVAND_242390-t30_1-p1', 'TGVAND_317705-t30_1-p1']",1000.0,0.0
ECOAH2,3hhcoa_c --> h2o_c + hx2coa_c,"['TGVAND_202140-t30_1-p1', 'TGVAND_242390-t30_1-p1', 'TGVAND_317705-t30_1-p1']",1000.0,0.0
ECOAH6,3htdcoa_c --> h2o_c + td2coa_c,"['TGVAND_202140-t30_1-p1', 'TGVAND_242390-t30_1-p1', 'TGVAND_317705-t30_1-p1']",1000.0,0.0
ECOAH8,3hodcoa_c --> h2o_c + od2coa_c,"['TGVAND_202140-t30_1-p1', 'TGVAND_321570-t30_1-p1', 'TGVAND_242390-t30_1-p1', 'TGVAND_317705-t30_1-p1']",1000.0,0.0
EPMEACPR,epmeACP_c + h_c + nadph_c --> nadp_c + pmeACP_c,['TGVAND_251930-t30_1-p1'],1000.0,0.0
FBA,fdp_c --> dhap_c + g3p_c,['TGVAND_236040-t30_1-p1'],1000.0,0.0
FBP,fdp_c + h2o_c --> f6p_c + pi_c,"['TGVAND_247510-t30_1-p1', 'TGVAND_235700-t30_1-p1']",1000.0,0.0
FUM,fum_c + h2o_c --> mal__L_c,"['TGVAND_366500-t30_1-p1', 'TGVAND_267330-t30_1-p1']",1000.0,0.0
G3PAT141,glyc3p_c + tdeACP_c --> 1tdec7eg3p_c + ACP_c,"['TGVAND_203570-t30_1-p1', 'TGVAND_264080-t30_1-p1']",1000.0,0.0
G3PAT180,glyc3p_c + ocdcaACP_c --> 1odecg3p_c + ACP_c,"['TGVAND_264080-t30_1-p1', 'TGVAND_203570-t30_1-p1']",1000.0,0.0
G3PT,glyc3p_c + h2o_c --> glyc_c + pi_c,"['TGVAND_229320-t30_1-p1', 'TGVAND_229330-t30_1-p1', 'TGVAND_243910-t30_1-p1']",1000.0,0.0
