reaction ids,reaction formulas,genes,upper_bounds,lower_bounds
NDPK5,atp_c + dgdp_c --> adp_c + dgtp_c,"['GLP15_2014-t26_1-p1', 'GLP15_3105-t26_1-p1', 'GLP15_2807-t26_1-p1']",1000.0,0.0
NDPK6,atp_c + dudp_c --> adp_c + dutp_c,"['GLP15_2014-t26_1-p1', 'GLP15_3105-t26_1-p1', 'GLP15_2807-t26_1-p1']",1000.0,0.0
NNAM,h2o_c + ncam_c --> nac_c + nh4_c,['GLP15_1366-t26_1-p1'],1000.0,0.0
NTD10,h2o_c + xmp_c --> pi_c + xtsn_c,['GLP15_1064-t26_1-p1'],1000.0,0.0
NTD2,h2o_c + ump_c --> pi_c + uri_c,['GLP15_1064-t26_1-p1'],1000.0,0.0
NTD5,dtmp_c + h2o_c --> pi_c + thymd_c,['GLP15_1064-t26_1-p1'],1000.0,0.0
NTD7,amp_c + h2o_c --> adn_c + pi_c,"['GLP15_201-t26_1-p1', 'GLP15_1064-t26_1-p1']",1000.0,0.0
NTD8,dgmp_c + h2o_c --> dgsn_c + pi_c,['GLP15_1064-t26_1-p1'],1000.0,0.0
NTP1,atp_c + h2o_c --> adp_c + h_c + pi_c,"['GLP15_4728-t26_1-p1', 'GLP15_1480-t26_1-p1', 'GLP15_2483-t26_1-p1', 'GLP15_422-t26_1-p1']",1000.0,0.0
NTPP1,dgtp_c + h2o_c --> dgmp_c + h_c + ppi_c,['GLP15_4299-t26_1-p1'],1000.0,0.0
PFK,atp_c + f6p_c --> adp_c + fdp_c + h_c,['GLP15_5089-t26_1-p1'],1000.0,0.0
PNTK,atp_c + pnto__R_c --> 4ppan_c + adp_c + h_c,['GLP15_4662-t26_1-p1'],1000.0,0.0
POAACR,nadh_c + poaac_c --> 3amac_c + h2o_c + nad_c,['GLP15_1639-t26_1-p1'],1000.0,0.0
POR5,coa_c + 2.0 flxso_c + pyr_c --> accoa_c + co2_c + 2.0 flxr_c + h_c,"['GLP15_1818-t26_1-p1', 'GLP15_480-t26_1-p1']",1000.0,0.0
PPCK,atp_c + oaa_c --> adp_c + co2_c + pep_c,['GLP15_1281-t26_1-p1'],1000.0,0.0
PSD120,h_c + ps120_c --> co2_c + pe120_c,['GLP15_5211-t26_1-p1'],1000.0,0.0
PSD160,h_c + ps160_c --> co2_c + pe160_c,['GLP15_5211-t26_1-p1'],1000.0,0.0
PUNP1,adn_c + pi_c --> ade_c + r1p_c,['GLP15_4008-t26_1-p1'],1000.0,0.0
PUNP4,dgsn_c + pi_c --> 2dr1p_c + gua_c,['GLP15_4008-t26_1-p1'],1000.0,0.0
PUNP5,ins_c + pi_c --> hxan_c + r1p_c,['GLP15_4008-t26_1-p1'],1000.0,0.0
PYK,adp_c + h_c + pep_c --> atp_c + pyr_c,"['GLP15_4683-t26_1-p1', 'GLP15_1129-t26_1-p1']",1000.0,0.0
RBK,atp_c + rib__D_c --> adp_c + h_c + r5p_c,['GLP15_2525-t26_1-p1'],1000.0,0.0
RNDR1b,adp_c + grxrd_c --> dadp_c + grxox_c + h2o_c,['GLP15_1557-t26_1-p1'],1000.0,0.0
RNDR2b,gdp_c + grxrd_c --> dgdp_c + grxox_c + h2o_c,['GLP15_1557-t26_1-p1'],1000.0,0.0
RNDR3b,cdp_c + grxrd_c --> dcdp_c + grxox_c + h2o_c,['GLP15_1557-t26_1-p1'],1000.0,0.0
RNDR4b,grxrd_c + udp_c --> dudp_c + grxox_c + h2o_c,['GLP15_1557-t26_1-p1'],1000.0,0.0
RPI,r5p_c --> ru5p__D_c,['GLP15_2024-t26_1-p1'],1000.0,0.0
SERD_L,ser__L_c --> nh4_c + pyr_c,"['GLP15_2312-t26_1-p1', 'GLP15_2092-t26_1-p1', 'GLP15_4257-t26_1-p1']",1000.0,0.0
SUCOAS,atp_c + coa_c + succ_c --> adp_c + pi_c + succoa_c,['GLP15_4939-t26_1-p1'],1000.0,0.0
THRD_L,thr__L_c --> 2obut_c + nh4_c,"['GLP15_2312-t26_1-p1', 'GLP15_2092-t26_1-p1']",1000.0,0.0
TMDPP,pi_c + thymd_c --> 2dr1p_c + thym_c,['GLP15_4008-t26_1-p1'],1000.0,0.0
TPI,dhap_c --> g3p_c,"['GLP15_4986-t26_1-p1', 'GLP15_1654-t26_1-p1']",1000.0,0.0
TRDR,h_c + nadph_c + trdox_c --> nadp_c + trdrd_c,['GLP15_154-t26_1-p1'],1000.0,0.0
UGLYCH,h2o_c + 2.0 h_c + urdglyc_c --> co2_c + glx_c + 2.0 nh4_c,['GLP15_2543-t26_1-p1'],1000.0,0.0
VALTRS,atp_c + trnaval_c + val__L_c --> amp_c + ppi_c + valtrna_c,['GLP15_756-t26_1-p1'],1000.0,0.0
THZPSN,atp_c + cys__L_c + dxyl5p_c + tyr__L_c --> 4hba_c + 4mpetz_c + ala__L_c + amp_c + co2_c + h2o_c + h_c + ppi_c,"['GLP15_3249-t26_1-p1', 'GLP15_435-t26_1-p1', 'GLP15_2683-t26_1-p1', 'GLP15_3726-t26_1-p1']",1000.0,0.0
ALCD19y,glyald_c + h_c + nadph_c --> glyc_c + nadp_c,"['GLP15_1649-t26_1-p1', 'GLP15_3959-t26_1-p1']",1000.0,0.0
ARAB1D2,arab__D_c + nadp_c --> Dara14lac_c + h_c + nadph_c,['GLP15_1649-t26_1-p1'],1000.0,0.0
CERH124,cer1_24_c + h_c + nadph_c + o2_c --> cer2_24_c + h2o_c + nadp_c,['GLP15_3250-t26_1-p1'],1000.0,0.0
DRBK,atp_c + drib_c --> 2dr5p_c + adp_c + h_c,['GLP15_2525-t26_1-p1'],1000.0,0.0
EHGLAT,akg_c + e4hglu_c --> 4h2oglt_c + glu__L_c,['GLP15_2904-t26_1-p1'],1000.0,0.0
ERGSTt,ergst_e --> ergst_c,['GLP15_2601-t26_1-p1'],1000.0,0.0
FACOAL180,atp_c + coa_c + ocdca_c --> amp_c + ppi_c + stcoa_c,['GLP15_2964-t26_1-p1'],1000.0,0.0
