reaction ids,reaction formulas,genes,upper_bounds,lower_bounds
ECOAH1,3hbcoa_c --> b2coa_c + h2o_c,"['TcSYL_0031620.t1-p1', 'TcSYL_0024270.t1-p1', 'TcSYL_0024280.t1-p1', 'TcSYL_0086430.t1-p1', 'TcSYL_0132630.t1-p1', 'TcSYL_0127660.t1-p1', 'TcSYL_0001080.t1-p1', 'TcSYL_0023740.t1-p1', 'TcSYL_0190260.t1-p1']",1000.0,0.0
ECOAH2,3hhcoa_c --> h2o_c + hx2coa_c,"['TcSYL_0024270.t1-p1', 'TcSYL_0031620.t1-p1', 'TcSYL_0024280.t1-p1', 'TcSYL_0086430.t1-p1', 'TcSYL_0132630.t1-p1', 'TcSYL_0127660.t1-p1', 'TcSYL_0001080.t1-p1', 'TcSYL_0023740.t1-p1', 'TcSYL_0190260.t1-p1']",1000.0,0.0
ECOAH6,3htdcoa_c --> h2o_c + td2coa_c,"['TcSYL_0031620.t1-p1', 'TcSYL_0024270.t1-p1', 'TcSYL_0024280.t1-p1', 'TcSYL_0086430.t1-p1', 'TcSYL_0132630.t1-p1', 'TcSYL_0127660.t1-p1', 'TcSYL_0001080.t1-p1', 'TcSYL_0023740.t1-p1', 'TcSYL_0190260.t1-p1']",1000.0,0.0
ECOAH8,3hodcoa_c --> h2o_c + od2coa_c,"['TcSYL_0031620.t1-p1', 'TcSYL_0024270.t1-p1', 'TcSYL_0024280.t1-p1', 'TcSYL_0086430.t1-p1', 'TcSYL_0132630.t1-p1', 'TcSYL_0127660.t1-p1', 'TcSYL_0001080.t1-p1', 'TcSYL_0023740.t1-p1', 'TcSYL_0190260.t1-p1']",1000.0,0.0
FA140ACPHi,h2o_c + myrsACP_c --> ACP_c + h_c + ttdca_c,"['TcSYL_0132720.t1-p1', 'TcSYL_0116920.t1-p1']",1000.0,0.0
FA141ACPHi,h2o_c + tdeACP_c --> ACP_c + h_c + ttdcea_c,"['TcSYL_0132720.t1-p1', 'TcSYL_0116920.t1-p1']",1000.0,0.0
FA160ACPHi,h2o_c + palmACP_c --> ACP_c + h_c + hdca_c,"['TcSYL_0132720.t1-p1', 'TcSYL_0116920.t1-p1']",1000.0,0.0
FBP,fdp_c + h2o_c --> f6p_c + pi_c,['TcSYL_0087410.t1-p1'],1000.0,0.0
FUM,fum_c + h2o_c --> mal__L_c,"['TcSYL_0048420.t1-p1', 'TcSYL_0048430', 'TcSYL_0048440', 'TcSYL_0001350.t1-p1', 'TcSYL_0001340.t1-p1']",1000.0,0.0
G1PACT,accoa_c + gam1p_c --> acgam1p_c + coa_c + h_c,['TcSYL_0022320.t1-p1'],1000.0,0.0
GDMANE,gdpddman_c --> gdpofuc_c,['TcSYL_0142830.t1-p1'],1000.0,0.0
GLNS,atp_c + glu__L_c + nh4_c --> adp_c + gln__L_c + h_c + pi_c,['TcSYL_0078590.t1-p1'],1000.0,0.0
GLUTRS,atp_c + glu__L_c + trnaglu_c --> amp_c + glutrna_c + ppi_c,['TcSYL_0072510.t1-p1'],1000.0,0.0
GLYCL,gly_c + nad_c + thf_c --> co2_c + mlthf_c + nadh_c + nh4_c,"['TcSYL_0058950.t1-p1', 'TcSYL_0038340.t1-p1', 'TcSYL_0058960.t1-p1', 'TcSYL_0056160.t1-p1', 'TcSYL_0058770.t1-p1', 'TcSYL_0111890.t1-p1']",1000.0,0.0
GLYCTO3,glyclt_c + mqn8_c --> glx_c + mql8_c,['TcSYL_0174260.t1-p1'],1000.0,0.0
GLYCTO4,2dmmq8_c + glyclt_c --> 2dmmql8_c + glx_c,['TcSYL_0174260.t1-p1'],1000.0,0.0
GMAND,gdpmann_c --> gdpddman_c + h2o_c,"['TcSYL_0122240.t1-p1', 'TcSYL_0122220.t1-p1']",1000.0,0.0
GMHEPAT,atp_c + gmhep1p_c + h_c --> adphep_DD_c + ppi_c,['TcSYL_0142750.t1-p1'],1000.0,0.0
GPDDA2,g3pe_c + h2o_c --> etha_c + glyc3p_c + h_c,"['TcSYL_0103520.t1-p1', 'TcSYL_0179900.t1-p1']",1000.0,0.0
GPDDA3,g3ps_c + h2o_c --> glyc3p_c + h_c + ser__L_c,"['TcSYL_0103520.t1-p1', 'TcSYL_0179900.t1-p1']",1000.0,0.0
GSPMDA,gtspmd_c + h2o_c --> gthrd_c + spmd_c,"['TcSYL_0019870.t1-p1', 'TcSYL_0085400.t1-p1', 'TcSYL_0085390.t1-p1', 'TcSYL_0086720.t1-p1']",1000.0,0.0
GTHOr,gthox_c + h_c + nadph_c --> 2.0 gthrd_c + nadp_c,"['TcSYL_0056160.t1-p1', 'TcSYL_0110330.t1-p1', 'TcSYL_0006250.t1-p1']",1000.0,0.0
HBZOPT,4hbz_c + octdp_c --> 3ophb_c + ppi_c,['TcSYL_0178540.t1-p1'],1000.0,0.0
IMPD,h2o_c + imp_c + nad_c --> h_c + nadh_c + xmp_c,"['TcSYL_0147680.t1-p1', 'TcSYL_0159500.t1-p1']",1000.0,0.0
IPMD,3c2hmp_c + nad_c --> 3c4mop_c + h_c + nadh_c,['TcSYL_0094740.t1-p1'],1000.0,0.0
LALDO3,h_c + mthgxl_c + nadph_c --> lald__L_c + nadp_c,['TcSYL_0046170.t1-p1'],1000.0,0.0
LCADi,h2o_c + lald__L_c + nad_c --> 2.0 h_c + lac__L_c + nadh_c,['TcSYL_0140060.t1-p1'],1000.0,0.0
LYSTRS,atp_c + lys__L_c + trnalys_c --> amp_c + lystrna_c + ppi_c,"['TcSYL_0166880.t1-p1', 'TcSYL_0202360.t1-p1']",1000.0,0.0
MACPD,h_c + malACP_c --> acACP_c + co2_c,['TcSYL_0086570.t1-p1'],1000.0,0.0
ME1,mal__L_c + nad_c --> co2_c + nadh_c + pyr_c,"['TcSYL_0047960.t1-p1', 'TcSYL_0047970.t1-p1', 'TcSYL_0047950.t1-p1']",1000.0,0.0
METAT,atp_c + h2o_c + met__L_c --> amet_c + pi_c + ppi_c,"['TcSYL_0140670.t1-p1', 'TcSYL_0140680.t1-p1']",1000.0,0.0
MPTSS,atp_c + h_c + moadcoo_c --> moadamp_c + ppi_c,['TcSYL_0013920.t1-p1'],1000.0,0.0
NACODA,acg5sa_c + h2o_c --> ac_c + glu5sa_c,"['TcSYL_0053500.t1-p1', 'TcSYL_0053540.t1-p1', 'TcSYL_0036690.t1-p1', 'TcSYL_0034640.t1-p1', 'TcSYL_0052870.t1-p1', 'TcSYL_0036590.t1-p1', 'TcSYL_0201940.t1-p1', 'TcSYL_0036000.t1-p1', 'TcSYL_0052960.t1-p1', 'TcSYL_0035410.t1-p1']",1000.0,0.0
NDPK3,atp_c + cdp_c --> adp_c + ctp_c,"['TcSYL_0010690.t1-p1', 'TcSYL_0112390.t1-p1']",1000.0,0.0
NDPK5,atp_c + dgdp_c --> adp_c + dgtp_c,"['TcSYL_0010690.t1-p1', 'TcSYL_0112390.t1-p1']",1000.0,0.0
NDPK6,atp_c + dudp_c --> adp_c + dutp_c,"['TcSYL_0010690.t1-p1', 'TcSYL_0112390.t1-p1']",1000.0,0.0
NTD10,h2o_c + xmp_c --> pi_c + xtsn_c,['TcSYL_0079390.t1-p1'],1000.0,0.0
NTD2,h2o_c + ump_c --> pi_c + uri_c,['TcSYL_0079390.t1-p1'],1000.0,0.0
NTD5,dtmp_c + h2o_c --> pi_c + thymd_c,['TcSYL_0079390.t1-p1'],1000.0,0.0
NTD7,amp_c + h2o_c --> adn_c + pi_c,['TcSYL_0079390.t1-p1'],1000.0,0.0
NTD8,dgmp_c + h2o_c --> dgsn_c + pi_c,['TcSYL_0079390.t1-p1'],1000.0,0.0
NTP1,atp_c + h2o_c --> adp_c + h_c + pi_c,"['TcSYL_0183480.t1-p1', 'TcSYL_0182710.t1-p1', 'TcSYL_0044430.t1-p1', 'TcSYL_0139670.t1-p1', 'TcSYL_0182770.t1-p1', 'TcSYL_0183220.t1-p1', 'TcSYL_0182580.t1-p1', 'TcSYL_0139680.t1-p1', 'TcSYL_0010710.t1-p1']",1000.0,0.0
NTPP1,dgtp_c + h2o_c --> dgmp_c + h_c + ppi_c,['TcSYL_0005980.t1-p1'],1000.0,0.0
PFK,atp_c + f6p_c --> adp_c + fdp_c + h_c,['TcSYL_0000960.t1-p1'],1000.0,0.0
PGCD,3pg_c + nad_c --> 3php_c + h_c + nadh_c,"['TcSYL_0199780.t1-p1', 'TcSYL_0198480.t1-p1', 'TcSYL_0197190.t1-p1', 'TcSYL_0199610.t1-p1', 'TcSYL_0198950.t1-p1', 'TcSYL_0199230.t1-p1', 'TcSYL_0199900.t1-p1', 'TcSYL_0044930.t1-p1', 'TcSYL_0199840.t1-p1']",1000.0,0.0
PPCDC,4ppcys_c + h_c --> co2_c + pan4p_c,['TcSYL_0139190.t1-p1'],1000.0,0.0
PPCK,atp_c + oaa_c --> adp_c + co2_c + pep_c,"['TcSYL_0085680.t1-p1', 'TcSYL_0086310.t1-p1', 'TcSYL_0086110.t1-p1', 'TcSYL_0086300.t1-p1', 'TcSYL_0086280.t1-p1', 'TcSYL_0086350.t1-p1', 'TcSYL_0086100.t1-p1', 'TcSYL_0086380.t1-p1', 'TcSYL_0086330.t1-p1']",1000.0,0.0
PPS,atp_c + h2o_c + pyr_c --> amp_c + 2.0 h_c + pep_c + pi_c,"['TcSYL_0074830.t1-p1', 'TcSYL_0074860.t1-p1']",1000.0,0.0
PSERT,3php_c + glu__L_c --> akg_c + pser__L_c,['TcSYL_0170700.t1-p1'],1000.0,0.0
PSSA160,cdpdhdecg_c + ser__L_c --> cmp_c + h_c + ps160_c,['TcSYL_0202100.t1-p1'],1000.0,0.0
PSSA180,cdpdodecg_c + ser__L_c --> cmp_c + h_c + ps180_c,['TcSYL_0202100.t1-p1'],1000.0,0.0
PUNP1,adn_c + pi_c --> ade_c + r1p_c,['TcSYL_0097300.t1-p1'],1000.0,0.0
PUNP4,dgsn_c + pi_c --> 2dr1p_c + gua_c,['TcSYL_0097300.t1-p1'],1000.0,0.0
