reaction ids,reaction formulas,genes,upper_bounds,lower_bounds
CTECOAI6,tdecoa_c --> td2coa_c,"['LPMP_292330-t37_1-p1', 'LPMP_340340-t37_1-p1']",1000.0,0.0
DASYN161,ctp_c + h_c + pa161_c --> cdpdhdec9eg_c + ppi_c,"['LPMP_323010-t37_1-p1', 'LPMP_261600-t37_1-p1']",1000.0,0.0
DHFS,atp_c + dhpt_c + glu__L_c --> adp_c + dhf_c + h_c + pi_c,['LPMP_352670-t37_1-p1'],1000.0,0.0
DURIK1,atp_c + duri_c --> adp_c + dump_c + h_c,['LPMP_211410-t37_1-p1'],1000.0,0.0
DUTPDP,dutp_c + h2o_c --> dump_c + h_c + ppi_c,['LPMP_354750-t37_1-p1'],1000.0,0.0
E4PD,e4p_c + h2o_c + nad_c --> 4per_c + 2.0 h_c + nadh_c,"['LPMP_302920-t37_1-p1', 'LPMP_344600-t37_1-p1']",1000.0,0.0
EAR100x,h_c + nadh_c + tdec2eACP_c --> dcaACP_c + nad_c,['LPMP_211500-t37_1-p1'],1000.0,0.0
EAR141x,h_c + nadh_c + t3c7mrseACP_c --> nad_c + tdeACP_c,['LPMP_211500-t37_1-p1'],1000.0,0.0
EAR180x,h_c + nadh_c + toctd2eACP_c --> nad_c + ocdcaACP_c,['LPMP_211500-t37_1-p1'],1000.0,0.0
ECOAH1,3hbcoa_c --> b2coa_c + h2o_c,"['LPMP_261530-t37_1-p1', 'LPMP_292330-t37_1-p1', 'LPMP_332720-t37_1-p1', 'LPMP_340340-t37_1-p1']",1000.0,0.0
ECOAH2,3hhcoa_c --> h2o_c + hx2coa_c,"['LPMP_261530-t37_1-p1', 'LPMP_292330-t37_1-p1', 'LPMP_332720-t37_1-p1', 'LPMP_340340-t37_1-p1']",1000.0,0.0
ECOAH6,3htdcoa_c --> h2o_c + td2coa_c,"['LPMP_261530-t37_1-p1', 'LPMP_292330-t37_1-p1', 'LPMP_332720-t37_1-p1', 'LPMP_340340-t37_1-p1']",1000.0,0.0
ECOAH8,3hodcoa_c --> h2o_c + od2coa_c,"['LPMP_261530-t37_1-p1', 'LPMP_292330-t37_1-p1', 'LPMP_332720-t37_1-p1', 'LPMP_340340-t37_1-p1']",1000.0,0.0
FBP,fdp_c + h2o_c --> f6p_c + pi_c,"['LPMP_171360-t37_1-p1', 'LPMP_041110-t37_1-p1']",1000.0,0.0
FRD2,fum_c + mql8_c --> mqn8_c + succ_c,['LPMP_340760-t37_1-p1'],1000.0,0.0
FRD3,2dmmql8_c + fum_c --> 2dmmq8_c + succ_c,['LPMP_340760-t37_1-p1'],1000.0,0.0
FUM,fum_c + h2o_c --> mal__L_c,"['LPMP_240310-t37_1-p1', 'LPMP_291970-t37_1-p1']",1000.0,0.0
G3PAT141,glyc3p_c + tdeACP_c --> 1tdec7eg3p_c + ACP_c,"['LPMP_270280-t37_1-p1', 'LPMP_201130-t37_1-p1']",1000.0,0.0
G3PAT180,glyc3p_c + ocdcaACP_c --> 1odecg3p_c + ACP_c,"['LPMP_270280-t37_1-p1', 'LPMP_201130-t37_1-p1']",1000.0,0.0
GLNS,atp_c + glu__L_c + nh4_c --> adp_c + gln__L_c + h_c + pi_c,['LPMP_060350-t37_1-p1'],1000.0,0.0
GLUSy,akg_c + gln__L_c + h_c + nadph_c --> 2.0 glu__L_c + nadp_c,['LPMP_060900-t37_1-p1'],1000.0,0.0
GLUTRS,atp_c + glu__L_c + trnaglu_c --> amp_c + glutrna_c + ppi_c,['LPMP_303210-t37_1-p1'],1000.0,0.0
GLYCK2,atp_c + glyc__R_c --> 2pg_c + adp_c + h_c,['LPMP_020380-t37_1-p1'],1000.0,0.0
