,rxns_added
65,GAPDHh: g3p_h + nad_h + pi_h --> 13dpg_h + h_h + nadh_h
66,PSAT: 3php_h + glu__L_h --> akg_h + pser__L_h
67,PRUK: atp_c + ru5p__D_c --> adp_c + h_c + rb15bp_c
68,PYK_h: adp_h + h_h + pep_h --> atp_h + pyr_h
69,PSP: h2o_h + pser__L_h --> pi_h + ser__L_h
70,PGDHh: 6pgc_h + nadp_h --> co2_h + nadph_h + ru5p__D_h
71,PIt_h: h_c + pi_c --> h_h + pi_h
72,ICL: icit_c --> glx_c + succ_c
73,HSDH_h: aspsa_h + h_h + nadh_h --> hom__L_h + nad_h
74,Htu: h_h --> h_u
75,PPC: co2_c + h2o_c + pep_c --> h_c + oaa_c + pi_c
76,G6PB_pi_th: g6p_B_c + pi_h --> g6p_B_h + pi_c
77,RBPC: co2_c + h2o_c + rb15bp_c --> 2.0 3pg_c + 2.0 h_c
78,EX_mal__D_e: mal__D_e <=> 
