,rxns_added
0,LEULEULAPc
1,GMPR
2,EX_leuleu_e
3,EX_leuleutrp_e
4,araphe2
5,ASPO6_1
6,PHEPHEASNt
7,ACHBSb
8,PHEPHEASNr
9,GMPt6
10,LEULEUTRPt
11,NNDPR
12,LEULEUTRPr
13,MLTHFtmt
14,KARA2
15,PDCmc
16,QULNS
17,LEULEUPEPT1tc
18,NMNt7
19,LEUTYRTYRt
20,LEUTYRTYRr
21,EX_leutyrtyr_e
22,DHAD2
23,EX_phepheasn_e
24,PYDXO
25,NMNP
