,reaction,GPR,score
79,2AGPGAT140,(PADL01_0018300-t36_1-p1 or PADL01_0030200-t36_1-p1),116.7
80,2AGPGAT141,(PADL01_0018300-t36_1-p1 or PADL01_0030200-t36_1-p1),116.7
81,2AGPGAT160,(PADL01_0018300-t36_1-p1 or PADL01_0030200-t36_1-p1),116.7
82,2AGPGAT161,(PADL01_0018300-t36_1-p1 or PADL01_0030200-t36_1-p1),116.7
83,2AGPGAT180,(PADL01_0018300-t36_1-p1 or PADL01_0030200-t36_1-p1),116.7
84,2AGPGAT181,(PADL01_0018300-t36_1-p1 or PADL01_0030200-t36_1-p1),116.7
102,2HMHMBQMTm,(PADL01_0722300-t36_1-p1 and PADL01_0809300-t36_1-p1),51.05714285714286
103,2HP6MPMOm,(PADL01_0722300-t36_1-p1 and PADL01_0809300-t36_1-p1),51.05714285714286
104,2HPMBQMTm,(PADL01_0722300-t36_1-p1 and PADL01_0809300-t36_1-p1),51.05714285714286
105,2HPMMBQMOm,(PADL01_0722300-t36_1-p1 and PADL01_0809300-t36_1-p1),51.05714285714286
124,34HPPYRI,PADL01_1230000-t36_1-p1,59.7
133,3DH5HPBMTm,(PADL01_0722300-t36_1-p1 and PADL01_0809300-t36_1-p1),51.05714285714286
134,3DSPHR,PADL01_0409000-t36_1-p1,73.6
143,3HAD100,PADL01_1321900-t36_1-p1,138.7
144,3HAD100_1,PADL01_1321900-t36_1-p1,77.25
145,3HAD120,PADL01_1321900-t36_1-p1,138.7
146,3HAD120_1,PADL01_1321900-t36_1-p1,77.25
147,3HAD121,PADL01_1321900-t36_1-p1,138.7
148,3HAD140,PADL01_1321900-t36_1-p1,138.7
150,3HAD141,PADL01_1321900-t36_1-p1,138.7
151,3HAD160,PADL01_1321900-t36_1-p1,138.7
153,3HAD161,PADL01_1321900-t36_1-p1,138.7
154,3HAD180,PADL01_1321900-t36_1-p1,138.7
156,3HAD181,PADL01_1321900-t36_1-p1,138.7
158,3HAD40,PADL01_1321900-t36_1-p1,138.7
160,3HAD60,PADL01_1321900-t36_1-p1,138.7
162,3HAD80,PADL01_1321900-t36_1-p1,138.7
163,3HAD80_1,PADL01_1321900-t36_1-p1,77.25
183,3M2OBLOXRD,PADL01_0503400-t36_1-p1,116.9
184,3M2OPLOXRD,PADL01_0503400-t36_1-p1,116.9
212,3OAR100,PADL01_0921900-t36_1-p1,233.0
214,3OAR120,PADL01_0921900-t36_1-p1,233.0
216,3OAR121,PADL01_0921900-t36_1-p1,233.0
217,3OAR140,PADL01_0921900-t36_1-p1,233.0
219,3OAR141,PADL01_0921900-t36_1-p1,233.0
220,3OAR160,PADL01_0921900-t36_1-p1,233.0
222,3OAR161,PADL01_0921900-t36_1-p1,233.0
223,3OAR180,PADL01_0921900-t36_1-p1,233.0
225,3OAR181,PADL01_0921900-t36_1-p1,233.0
227,3OAR40,PADL01_0921900-t36_1-p1,233.0
229,3OAR60,PADL01_0921900-t36_1-p1,233.0
231,3OAR80,PADL01_0921900-t36_1-p1,233.0
233,3OAS100,PADL01_0624400-t36_1-p1,387.5
234,3OAS100_1,PADL01_0210200-t36_1-p1,124.4
235,3OAS120,PADL01_0624400-t36_1-p1,387.5
236,3OAS120_1,PADL01_0210200-t36_1-p1,124.4
237,3OAS121,PADL01_0624400-t36_1-p1,387.5
238,3OAS140,PADL01_0624400-t36_1-p1,387.5
239,3OAS140_1,PADL01_0210200-t36_1-p1,124.4
240,3OAS141,PADL01_0624400-t36_1-p1,387.5
241,3OAS160,PADL01_0624400-t36_1-p1,387.5
242,3OAS160_1,PADL01_0210200-t36_1-p1,124.4
243,3OAS161,PADL01_0624400-t36_1-p1,387.5
244,3OAS180,PADL01_0624400-t36_1-p1,387.5
246,3OAS181,PADL01_0624400-t36_1-p1,387.5
248,3OAS60,PADL01_0624400-t36_1-p1,387.5
249,3OAS60_1,PADL01_0210200-t36_1-p1,124.4
250,3OAS80,PADL01_0624400-t36_1-p1,387.5
251,3OAS80_1,PADL01_0210200-t36_1-p1,124.4
252,3OXCOAT,PADL01_1450900-t36_1-p1,163.3
305,4M2OPLOXRD,PADL01_0503400-t36_1-p1,116.9
353,6TINS5MPOR,PADL01_0919800-t36_1-p1,399.1
379,AACP1819ZS,PADL01_0213800-t36_1-p1,30.4
380,AACPS1,(PADL01_0018300-t36_1-p1 or PADL01_0030200-t36_1-p1 or PADL01_0207200-t36_1-p1),116.7
382,AACPS1_1,PADL01_0213800-t36_1-p1,30.4
383,AACPS2,(PADL01_0018300-t36_1-p1 or PADL01_0030200-t36_1-p1 or PADL01_0207200-t36_1-p1),116.7
384,AACPS3,(PADL01_0018300-t36_1-p1 or PADL01_0030200-t36_1-p1 or PADL01_0207200-t36_1-p1),116.7
385,AACPS3_1,PADL01_0213800-t36_1-p1,30.4
386,AACPS4,(PADL01_0018300-t36_1-p1 or PADL01_0030200-t36_1-p1 or PADL01_0207200-t36_1-p1),116.7
387,AACPS4_1,PADL01_0213800-t36_1-p1,30.4
