,T. gondii GT1,T. gondii ME49,P. falciparum 3D7,P. berghei ANKA,P. vivax Sal1,C. hominis TU502 (2012),C. parvum Iowa II,E. histolytica HM1IMSS-A,L. major SD75,T. cruzi CL Brener,T. brucei Lister 427,V. brassicaformis CCMP3155,B. bovis T2Bo,N. fowleri ATCC30863
ATPS4m,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
EX_3ump_e,,,not in model,not in model,not in model,,,,,,,,,
HADPCOADH,,,not in model,nonlethal,nonlethal,,,,,,,,,
TMDPP,,,not in model,not in model,not in model,,,,,,,,,
EX_tdecoa_e,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
G1PCTYT,,,not in model,not in model,not in model,,,,,,,,,
RNTR1c,,,not in model,not in model,not in model,,,,,,,,,
SALCNH,,,not in model,not in model,not in model,,,,,,,,,
GGLGH,,,not in model,not in model,not in model,,,,,,,,,
MOPSabc,,,not in model,not in model,not in model,,,,,,,,,
RHODOPSINRTc,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
NDH2_sync,,,not in model,not in model,not in model,,,,,,,,,
EX_pgp141_e,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
RETINOLSATc,,,not in model,not in model,not in model,,,,,,,,,
HMGCOAR,,,not in model,not in model,not in model,,,,,,,,,
DKDID,,,not in model,not in model,not in model,,,,,,,,,
THRMETARGr,,,not in model,not in model,not in model,,,,,,,,,
FACOAL140_ISO,,,nonlethal,nonlethal,not in model,,,,,,,,,
CTBTCAL2,,,not in model,not in model,not in model,,,,,,,,,
2agpg180t,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
ALCD25xi,,,not in model,not in model,not in model,,,,,,,,,
TMDS,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
MG3Bc,,,not in model,not in model,not in model,,,,,,,,,
TMK,,,not in model,not in model,not in model,,,,,,,,,
PLIPA2A140,,,not in model,nonlethal,nonlethal,,,,,,,,,
RPEc,,,not in model,not in model,not in model,,,,,,,,,
EX_8aonn_e,,,not in model,not in model,not in model,,,,,,,,,
BILEt4,,,not in model,not in model,not in model,,,,,,,,,
PCHLD646ORc,,,not in model,not in model,not in model,,,,,,,,,
EX_2agpg140_e,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
THIORDXm,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
EX_sulfac_e,,,not in model,nonlethal,not in model,,,,,,,,,
EX_tungs_e,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
G3PT,,,not in model,not in model,not in model,,,,,,,,,
PLDAGAT_LNA_EPA_LNA_PC_1_c,,,not in model,nonlethal,not in model,,,,,,,,,
ETHAPT_STC_DHA_c,,,not in model,not in model,not in model,,,,,,,,,
ACOAD5,,,not in model,not in model,not in model,,,,,,,,,
MCSNAH,,,not in model,not in model,not in model,,,,,,,,,
LPCAT_LNA_EPA_sn2_c,,,nonlethal,not in model,not in model,,,,,,,,,
HXCT,,,not in model,not in model,not in model,,,,,,,,,
GTPCII,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
PA120abcppc,,,nonlethal,nonlethal,nonlethal,,,,,,,,,
LLDH_ferr_mc,,,not in model,not in model,not in model,,,,,,,,,
ALDD8,,,not in model,not in model,not in model,,,,,,,,,
AMETt,,,nonlethal,not in model,not in model,,,,,,,,,
MALS,,,nonlethal,not in model,not in model,,,,,,,,,
LPLIPAL2G160,,,not in model,nonlethal,nonlethal,,,,,,,,,
MNLpts,,,not in model,not in model,not in model,,,,,,,,,
EX_pta_e,,,not in model,not in model,nonlethal,,,,,,,,,
DHBD,,,not in model,not in model,not in model,,,,,,,,,
