,gf_PadleriG01,P. berghei,P. billcollinsi,P. blacklocki,P. chabaudi,P. coatneyi,P. cynomolgi B,P. cynomolgi M,P. falciparum 3D7,P. falciparum Dd2,P. fragile,P. gaboni G01,P. gaboni SY75,P. vivax Sal1
ENO,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
C190cSN,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
HACD4i,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
FUT94g_cho,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
DASYN183_9_12_15,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
EX_h2o_e,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
EX_cu_e,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
SK_trnaglu_c,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
EX_malthx_e,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
FACOAL40It2ppc,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
SPODM,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
AGPAT1819Z18111Zhc,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
RNTR3,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
2agpg180t,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
NTD8,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
3HAD100,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
PHYCBOXL,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
GTHOr,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
ACPPAT140,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
NADHOR,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
TRPAS1,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
NAPRT,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
G3PAT1819Z_1,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
FASC180ACP,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
RNDR1,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
FACOAL50It2ppc,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
G3PD5,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
EAR121y,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
DM_met__L_c,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
EAR120_m,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
EX_pe1819Z1835Z9Z12Z_e,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
OMBZLM6m,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
PYK3,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
EX_ddca_e,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
pe_prod13,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
CPPPGOm,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
SK_trnaphe_c,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
EX_xyl__D_e,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
3HAD60_ap,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
CHOPT_PALM_PALM_c,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
GTPCII,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
PPNCL,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
CLIPAabctexc,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
MAN1PT2,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
PIN3K_SC,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
ILELAT1tc,,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
