,T. gondii ARI,T. gondii FOU,T. gondii GAB2-2007-GAL-DOM2,T. gondii GT1,T. gondii MAS,T. gondii ME49,T. gondii p89,T. gondii RUB,T. gondii TgCatPRC2,T. gondii VAND,T. gondii VEG
EX_ergst_e,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
PIabc,nonlethal,not in model,not in model,not in model,not in model,not in model,not in model,not in model,nonlethal,not in model,not in model
ARGSL,nonlethal,not in model,not in model,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
NADTRHD,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
MPAKI,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
KAS5,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
DHRT_ivcoa,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
PSUDS,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
EX_fru_e,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
HADPCOADH,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
DASYNm_SC,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
NADKm,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
UDCPDPS,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
3OAS140,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
CDPDAGtmnhs,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model,not in model
MELTGH,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
AGPAT160,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
CY_focytb5_c,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
NDP1,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
DHFS,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
DNMPPA,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
3OAR121,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
CA2abc1,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
MYCON1,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
ADKd,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
GLCR1TRA1,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,not in model,not in model
DOLPMT,nonlethal,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,nonlethal,nonlethal,not in model
SULR,not in model,not in model,nonlethal,not in model,not in model,not in model,nonlethal,not in model,not in model,not in model,not in model
