,T. gondii ARI,T. gondii FOU,T. gondii GAB2-2007-GAL-DOM2,T. gondii GT1,T. gondii MAS,T. gondii ME49,T. gondii p89,T. gondii RUB,T. gondii TgCatPRC2,T. gondii VAND,T. gondii VEG
GLYCLm,nonlethal,nonlethal,nonlethal,,nonlethal,,,,nonlethal,nonlethal,
LCADm,nonlethal,nonlethal,nonlethal,,nonlethal,,,,nonlethal,nonlethal,
UPPRT,nonlethal,nonlethal,nonlethal,,nonlethal,,,,nonlethal,nonlethal,
CMPA,not in model,not in model,nonlethal,,nonlethal,,,,not in model,not in model,
GTHPm,nonlethal,nonlethal,nonlethal,,nonlethal,,,,nonlethal,nonlethal,
ADCS,nonlethal,nonlethal,nonlethal,,nonlethal,,,,nonlethal,nonlethal,
FA80ACPHi,nonlethal,nonlethal,nonlethal,,nonlethal,,,,nonlethal,nonlethal,
PHCYT_BS,nonlethal,nonlethal,nonlethal,,nonlethal,,,,nonlethal,nonlethal,
DGDGD4DS1839Z12Z15Z1644Z7Z10Z13Zc,nonlethal,nonlethal,nonlethal,,nonlethal,,,,nonlethal,nonlethal,
BTS_nadph,nonlethal,nonlethal,nonlethal,,nonlethal,,,,nonlethal,nonlethal,
NO2Rc,nonlethal,nonlethal,nonlethal,,nonlethal,,,,nonlethal,nonlethal,
MYCSacp56,not in model,nonlethal,nonlethal,,nonlethal,,,,nonlethal,not in model,
ILEtm,nonlethal,nonlethal,nonlethal,,nonlethal,,,,nonlethal,nonlethal,
EX_tchola_e,nonlethal,nonlethal,nonlethal,,nonlethal,,,,nonlethal,nonlethal,
FAS140COA,nonlethal,nonlethal,nonlethal,,nonlethal,,,,nonlethal,nonlethal,
TAG_HDE_HDE_PALMt_h,nonlethal,not in model,not in model,,not in model,,,,not in model,not in model,
CPPPGO,nonlethal,nonlethal,nonlethal,,nonlethal,,,,nonlethal,nonlethal,
OAADC,not in model,nonlethal,not in model,,nonlethal,,,,not in model,not in model,
NTPP9,nonlethal,nonlethal,nonlethal,,nonlethal,,,,nonlethal,nonlethal,
NADNe,not in model,nonlethal,not in model,,not in model,,,,not in model,not in model,
DHORDi,nonlethal,nonlethal,nonlethal,,nonlethal,,,,nonlethal,nonlethal,
ILETAm,nonlethal,nonlethal,nonlethal,,nonlethal,,,,nonlethal,nonlethal,
TAGAH1801819Z1835Z9Z12Z,nonlethal,nonlethal,nonlethal,,nonlethal,,,,nonlethal,nonlethal,
DLYSPYRAT,not in model,nonlethal,not in model,,nonlethal,,,,nonlethal,nonlethal,
EX_ni2_e,nonlethal,nonlethal,nonlethal,,nonlethal,,,,nonlethal,nonlethal,
GCCbim,nonlethal,nonlethal,nonlethal,,nonlethal,,,,nonlethal,nonlethal,
3OAR181_1c,nonlethal,nonlethal,nonlethal,,nonlethal,,,,nonlethal,nonlethal,
APPAT,nonlethal,nonlethal,nonlethal,,nonlethal,,,,nonlethal,nonlethal,
SO3t_1,not in model,not in model,not in model,,not in model,,,,not in model,not in model,
MG2abc,nonlethal,nonlethal,nonlethal,,nonlethal,,,,nonlethal,nonlethal,
ACCOACrm,nonlethal,nonlethal,nonlethal,,nonlethal,,,,nonlethal,nonlethal,
OGCOAAT,nonlethal,nonlethal,nonlethal,,nonlethal,,,,nonlethal,nonlethal,
FA160COAabcp_1c,nonlethal,nonlethal,nonlethal,,nonlethal,,,,nonlethal,nonlethal,
PI45BPP_SC,not in model,nonlethal,nonlethal,,nonlethal,,,,nonlethal,nonlethal,
MOTH1,nonlethal,nonlethal,nonlethal,,nonlethal,,,,nonlethal,nonlethal,
EX_pa120_e,nonlethal,nonlethal,nonlethal,,nonlethal,,,,nonlethal,nonlethal,
ACACT7r,nonlethal,nonlethal,nonlethal,,nonlethal,,,,nonlethal,nonlethal,
TAGAH18111Z1819Z1835Z9Z12Z,nonlethal,nonlethal,nonlethal,,nonlethal,,,,nonlethal,nonlethal,
MGDGD4DS1819Z1644Z7Z10Z13Zc,nonlethal,nonlethal,nonlethal,,nonlethal,,,,nonlethal,nonlethal,
APG3PAT160,nonlethal,not in model,not in model,,not in model,,,,not in model,not in model,
PDIMAS,nonlethal,nonlethal,nonlethal,,nonlethal,,,,nonlethal,nonlethal,
dgl_prod3,nonlethal,nonlethal,nonlethal,,nonlethal,,,,nonlethal,nonlethal,
DDPAm,nonlethal,nonlethal,nonlethal,,nonlethal,,,,nonlethal,nonlethal,
HSERTA,nonlethal,nonlethal,nonlethal,,nonlethal,,,,nonlethal,nonlethal,
MTAM_nh4,nonlethal,nonlethal,nonlethal,,nonlethal,,,,nonlethal,nonlethal,
2AGPEAT141,nonlethal,nonlethal,nonlethal,,nonlethal,,,,nonlethal,nonlethal,
MALTabc,nonlethal,nonlethal,not in model,,nonlethal,,,,nonlethal,nonlethal,
EX_ps140_e,nonlethal,nonlethal,nonlethal,,nonlethal,,,,nonlethal,nonlethal,
