,T. gondii ARI,T. gondii FOU,T. gondii GAB2-2007-GAL-DOM2,T. gondii GT1,T. gondii MAS,T. gondii ME49,T. gondii p89,T. gondii RUB,T. gondii TgCatPRC2,T. gondii VAND,T. gondii VEG
ACACT5pc,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
GLYCLm,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
LCADm,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
UPPRT,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
CMPA,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
GTHPm,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
ADCS,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
FA80ACPHi,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
PHCYT_BS,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
DGDGD4DS1839Z12Z15Z1644Z7Z10Z13Zc,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
BTS_nadph,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
NO2Rc,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
MYCSacp56,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
ILEtm,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
EX_tchola_e,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
FAS140COA,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
TAG_HDE_HDE_PALMt_h,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
CPPPGO,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
OAADC,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
NTPP9,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
NADNe,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
DHORDi,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
ILETAm,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
TAGAH1801819Z1835Z9Z12Z,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
DLYSPYRAT,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
EX_ni2_e,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
GCCbim,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
3OAR181_1c,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
APPAT,not in model,not in model,not in model,not in model,,not in model,not in model,not in model,not in model,not in model,not in model
