,PfalciparumCD01,PfalciparumDd2,EhistolyticaHM1IMSS-A,TgondiiGAB2-2007-GAL-DOM2,Tgondiip89,EhellemATCC50504,CsuisWienI
gal_bD_c,not present in model,not present in model,neither,not present in model,not present in model,not present in model,not present in model
apep_c,not present in model,not present in model,not present in model,not present in model,not present in model,not present in model,produced
2ombz_c,neither,neither,not present in model,neither,neither,not present in model,neither
mmet_c,not present in model,not present in model,not present in model,neither,neither,not present in model,neither
trnaasp_c,neither,neither,neither,neither,neither,neither,neither
ncam_c,neither,neither,not present in model,neither,neither,produced,neither
asptrna_asn_c,neither,neither,not present in model,neither,neither,not present in model,not present in model
uaaGgtla_c,not present in model,not present in model,produced,produced,produced,not present in model,produced
dkfp_c,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
3hpimcoa_c,not present in model,not present in model,not present in model,neither,neither,not present in model,neither
pg1829Z12Z1613E_c,produced,produced,not present in model,produced,produced,not present in model,produced
scys__L_c,not present in model,not present in model,produced,produced,produced,not present in model,produced
ipdp_c,produced,produced,neither,produced,produced,produced,produced
paps_c,produced,produced,produced,produced,produced,produced,produced
chit6p_c,produced,produced,produced,produced,produced,not present in model,produced
octdp_5_c,neither,neither,neither,neither,neither,neither,neither
nad_c,produced,produced,produced,produced,produced,produced,produced
3hadpcoa_c,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
h2mb4p_c,produced,produced,not present in model,produced,produced,not present in model,produced
glu5sa_m,produced,produced,not present in model,produced,produced,not present in model,produced
2mb2coa_c,not present in model,not present in model,not present in model,produced,produced,not present in model,not present in model
trnaphe_m,neither,neither,not present in model,neither,neither,not present in model,neither
tddec2eACP_c,produced,produced,produced,produced,produced,not present in model,produced
3hcmrs7eACP_c,produced,produced,produced,produced,produced,not present in model,produced
psd5p_c,produced,produced,produced,produced,produced,produced,produced
no2_c,produced,produced,produced,produced,produced,produced,produced
aacoa_c,produced,produced,neither,produced,produced,produced,produced
fecrm_c,not present in model,not present in model,not present in model,neither,not present in model,neither,neither
im4ac_c,not present in model,not present in model,produced,produced,produced,not present in model,produced
focytcc553_c,produced,produced,not present in model,not present in model,produced,not present in model,produced
ergtrol_c,neither,neither,not present in model,neither,neither,not present in model,neither
fa3_c,produced,produced,produced,produced,produced,neither,produced
cdpdhdecg_c,produced,produced,produced,produced,produced,not present in model,produced
thex2eACP_m,produced,produced,not present in model,produced,produced,not present in model,produced
lipa_cold_c,neither,neither,neither,neither,neither,neither,neither
3sala_m,not present in model,not present in model,not present in model,neither,neither,not present in model,neither
mev__R_c,not present in model,not present in model,not present in model,not present in model,not present in model,neither,not present in model
glu__L_c,produced,produced,produced,produced,produced,produced,produced
trdrd_m,produced,produced,not present in model,produced,produced,not present in model,produced
datp_m,produced,produced,not present in model,produced,produced,not present in model,produced
5mcsn_c,not present in model,not present in model,neither,neither,neither,not present in model,not present in model
acac_c,not present in model,not present in model,produced,produced,produced,not present in model,not present in model
val__L_m,neither,neither,not present in model,neither,neither,not present in model,neither
1ag3p_SC_c,produced,produced,not present in model,produced,produced,not present in model,produced
doldpglcnacglcnacman_manmanman_manmanman_c,produced,produced,not present in model,produced,produced,not present in model,produced
4hproara_ara_galara_c,not present in model,not present in model,not present in model,neither,neither,not present in model,neither
tag16018111Z18111Z_c,not present in model,not present in model,neither,produced,produced,produced,produced
cytP450o_c,neither,neither,not present in model,neither,neither,not present in model,neither
murein3px3p_e,not present in model,not present in model,not present in model,neither,neither,neither,not present in model
4mpetz_c,produced,produced,produced,produced,produced,produced,produced
acser_c,not present in model,not present in model,produced,neither,neither,not present in model,neither
13dpg_c,produced,produced,produced,produced,produced,produced,produced
hghhlipa_c,neither,neither,not present in model,neither,neither,neither,neither
gal1p_c,not present in model,not present in model,produced,produced,produced,not present in model,produced
prolb_e,not present in model,not present in model,neither,not present in model,not present in model,not present in model,not present in model
adocbl_c,not present in model,not present in model,produced,not present in model,not present in model,not present in model,not present in model
3ohcoa_m,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
mag180_c,not present in model,not present in model,produced,produced,produced,not present in model,produced
selcys_m,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
4hproara_ara_galaragal_c,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
ump_e,not present in model,not present in model,not present in model,not present in model,not present in model,not present in model,produced
h_m,produced,produced,not present in model,produced,produced,not present in model,produced
dcacoa_m,produced,produced,not present in model,produced,produced,not present in model,produced
tag1601819Z1835Z9Z12Z_c,not present in model,not present in model,neither,produced,produced,produced,produced
3pg_m,produced,produced,not present in model,produced,produced,not present in model,produced
allphn_m,produced,produced,not present in model,not present in model,not present in model,not present in model,not present in model
leutrna_m,not present in model,not present in model,not present in model,produced,produced,not present in model,not present in model
hmgth_c,not present in model,not present in model,neither,neither,neither,not present in model,neither
cer2_24_c,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
pmocta_c,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
maltttr_e,not present in model,not present in model,not present in model,not present in model,produced,not present in model,produced
rnam_c,not present in model,not present in model,not present in model,produced,produced,neither,produced
thf_c,produced,produced,produced,produced,produced,produced,produced
na1_m,produced,produced,not present in model,produced,produced,not present in model,produced
for_e,produced,produced,produced,produced,produced,not present in model,produced
dutp_c,produced,produced,produced,produced,produced,produced,produced
hghhlipa_e,neither,neither,not present in model,neither,neither,neither,neither
hdcoa_c,produced,produced,produced,produced,produced,produced,produced
4abutn_c,produced,produced,produced,produced,produced,produced,produced
oxalcoa_c,neither,neither,not present in model,not present in model,not present in model,not present in model,not present in model
cpe160_c,produced,produced,not present in model,not present in model,not present in model,not present in model,not present in model
fldox_c,neither,neither,neither,not present in model,not present in model,not present in model,not present in model
omdtria_c,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
2h34hppr_c,produced,produced,not present in model,not present in model,not present in model,not present in model,not present in model
pgp_SA_c,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
ins_c,produced,produced,produced,produced,produced,neither,produced
melib_c,not present in model,not present in model,neither,produced,produced,not present in model,produced
acgam_c,not present in model,not present in model,produced,not present in model,not present in model,not present in model,produced
sdhlam_c,produced,produced,not present in model,produced,produced,not present in model,produced
meroacidACP_c,not present in model,not present in model,not present in model,produced,not present in model,not present in model,not present in model
od2coa_c,produced,produced,neither,produced,produced,not present in model,produced
gthox_c,produced,produced,not present in model,produced,produced,produced,produced
imp_c,produced,produced,produced,produced,produced,not present in model,produced
srb__L_c,not present in model,not present in model,produced,not present in model,not present in model,not present in model,not present in model
trnagln_c,neither,neither,neither,neither,neither,neither,neither
inost_c,neither,neither,produced,produced,produced,neither,produced
6pthp_c,produced,produced,not present in model,produced,produced,produced,produced
2hp6mp_m,neither,neither,not present in model,neither,neither,not present in model,neither
slnt_c,not present in model,not present in model,not present in model,not present in model,not present in model,neither,not present in model
uppg1_c,neither,neither,not present in model,neither,neither,not present in model,neither
2obut_c,produced,produced,produced,produced,produced,neither,produced
pa18111Z18111Z_c,produced,produced,produced,produced,produced,not present in model,produced
mag18111Z_c,not present in model,not present in model,produced,produced,produced,not present in model,produced
ca2_e,neither,neither,neither,neither,neither,neither,neither
thbpt_c,not present in model,not present in model,not present in model,not present in model,neither,not present in model,not present in model
t3c7mrseACP_c,produced,produced,not present in model,produced,produced,not present in model,produced
ttdcea_c,produced,produced,neither,neither,neither,neither,neither
ru5p__D_c,produced,produced,produced,produced,produced,produced,produced
leu__L_m,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
cdpdodec691215eg_c,produced,produced,not present in model,produced,produced,not present in model,produced
lys__L_c,neither,neither,produced,produced,produced,neither,produced
mmcoa__S_c,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
msa_c,not present in model,not present in model,neither,neither,neither,neither,neither
zn2_e,neither,neither,neither,neither,neither,neither,neither
micit_c,not present in model,not present in model,not present in model,neither,neither,not present in model,neither
na1_e,produced,produced,neither,produced,produced,neither,produced
epistest_SC_c,neither,neither,not present in model,produced,produced,not present in model,not present in model
oxur_c,not present in model,not present in model,produced,not present in model,not present in model,not present in model,not present in model
sucr_c,not present in model,not present in model,neither,produced,produced,not present in model,produced
pe1819Z1845Z9Z12Z15Z_e,produced,produced,produced,produced,produced,neither,produced
maltttrtre_c,not present in model,not present in model,not present in model,neither,neither,not present in model,not present in model
suchms_c,not present in model,not present in model,neither,neither,neither,not present in model,neither
mqn8_c,produced,produced,neither,produced,produced,produced,produced
pi_e,produced,produced,produced,produced,produced,not present in model,produced
1tdec7eg3p_c,produced,produced,not present in model,produced,produced,neither,produced
LalaLglu_c,not present in model,not present in model,neither,not present in model,not present in model,not present in model,not present in model
6mpur_c,not present in model,not present in model,not present in model,neither,neither,not present in model,neither
acmalt_c,not present in model,not present in model,produced,not present in model,not present in model,not present in model,not present in model
cacoa_c,produced,produced,produced,produced,produced,produced,produced
12ppd__S_c,not present in model,not present in model,produced,not present in model,not present in model,not present in model,not present in model
5mtr_c,not present in model,not present in model,produced,not present in model,not present in model,not present in model,not present in model
fe3_e,neither,neither,neither,produced,produced,produced,not present in model
2p4c2me_c,produced,produced,not present in model,neither,neither,not present in model,produced
2dda7p_m,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
gdpddman_c,produced,produced,not present in model,produced,produced,not present in model,produced
udp_m,produced,produced,not present in model,produced,produced,not present in model,produced
acg5sa_c,produced,produced,neither,produced,produced,not present in model,produced
mgdg1839Z12Z15Z1644Z7Z10Z13Z_c,produced,produced,not present in model,produced,produced,not present in model,produced
phetrna_m,produced,produced,not present in model,produced,produced,not present in model,produced
cbasp_c,produced,produced,not present in model,produced,produced,not present in model,produced
arbtn_fe3_e,not present in model,not present in model,not present in model,neither,not present in model,neither,neither
25dkglcn_c,not present in model,not present in model,neither,neither,neither,neither,neither
cmp_c,produced,produced,produced,produced,produced,produced,produced
Lkynr_c,not present in model,not present in model,produced,not present in model,not present in model,not present in model,not present in model
dutp_m,produced,produced,not present in model,produced,produced,not present in model,produced
manb_e,not present in model,not present in model,neither,not present in model,not present in model,not present in model,not present in model
pe1819Z1829Z12Z_e,produced,produced,produced,produced,produced,neither,produced
doldpglcnacglcnacman_man_man_manman_manmanman_c,neither,neither,not present in model,neither,neither,not present in model,neither
ascb6p_c,not present in model,not present in model,produced,not present in model,not present in model,not present in model,not present in model
6tgsnmp_c,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
lac__L_c,neither,neither,produced,produced,produced,neither,neither
murein5p3p_e,not present in model,not present in model,not present in model,neither,neither,neither,not present in model
ttccoa_c,not present in model,not present in model,not present in model,produced,produced,produced,produced
ptd1ino_SC_c,produced,produced,neither,neither,neither,produced,produced
2ddg6p_c,not present in model,not present in model,produced,not present in model,not present in model,not present in model,not present in model
mshfaldox_c,not present in model,not present in model,produced,not present in model,not present in model,not present in model,not present in model
anhgm_c,not present in model,not present in model,neither,not present in model,not present in model,not present in model,neither
2agpe180_c,neither,neither,neither,neither,neither,not present in model,neither
xu5p__D_c,produced,produced,produced,produced,produced,produced,produced
