,PfalciparumCD01,PfalciparumDd2,EhistolyticaHM1IMSS-A,TgondiiGAB2-2007-GAL-DOM2,Tgondiip89,EhellemATCC50504,CsuisWienI
2mhop_c,not present in model,not present in model,not present in model,not present in model,not present in model,produced,not present in model
ddcaACP_c,produced,produced,produced,produced,produced,neither,produced
ind3ac_m,not present in model,not present in model,not present in model,produced,produced,not present in model,not present in model
mantr_c,not present in model,not present in model,neither,not present in model,not present in model,not present in model,not present in model
anhm3p_c,not present in model,not present in model,produced,not present in model,not present in model,not present in model,produced
tag1801819Z160_c,not present in model,not present in model,neither,produced,produced,produced,produced
arbt6p_c,not present in model,not present in model,produced,not present in model,not present in model,not present in model,not present in model
lpam_c,produced,produced,not present in model,produced,produced,neither,produced
pe18111Z1835Z9Z12Z_c,produced,produced,produced,produced,produced,neither,produced
kmycolate_c,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
apppa_c,neither,neither,neither,neither,neither,neither,neither
udcpdp_c,produced,produced,not present in model,produced,produced,produced,produced
cdpdodecg_c,produced,produced,produced,produced,produced,not present in model,produced
palmACP_m,produced,produced,not present in model,produced,produced,not present in model,produced
hexACP_c,produced,produced,produced,produced,produced,not present in model,produced
gly_m,produced,produced,not present in model,produced,produced,not present in model,produced
3hib_m,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
chols_c,not present in model,not present in model,not present in model,not present in model,not present in model,not present in model,neither
lanost_e,produced,produced,neither,neither,neither,neither,neither
5mta_m,produced,produced,not present in model,not present in model,not present in model,not present in model,not present in model
colipap_e,neither,neither,neither,neither,neither,neither,neither
octal_c,not present in model,not present in model,neither,neither,neither,not present in model,not present in model
prpncoa_m,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
pg18111Z160_c,neither,neither,neither,neither,neither,neither,neither
dump_m,produced,produced,not present in model,produced,produced,not present in model,produced
1odecg3p_c,produced,produced,not present in model,produced,produced,produced,produced
aconm_c,not present in model,not present in model,produced,not present in model,not present in model,not present in model,not present in model
34dhbald_c,not present in model,not present in model,neither,not present in model,not present in model,not present in model,not present in model
trptrna_c,produced,produced,produced,not present in model,produced,produced,produced
met__D_e,neither,neither,neither,neither,neither,neither,not present in model
mi34p_c,not present in model,not present in model,produced,not present in model,not present in model,not present in model,not present in model
oxptn_c,not present in model,not present in model,not present in model,neither,neither,not present in model,neither
mkmeroacidcyc1ACP_c,not present in model,not present in model,not present in model,neither,neither,not present in model,neither
feoxam_e,not present in model,not present in model,not present in model,neither,not present in model,neither,neither
lnlncgcoa_c,produced,produced,produced,produced,produced,produced,produced
hxcoa_m,produced,produced,not present in model,produced,produced,not present in model,produced
nadh_c,produced,produced,produced,produced,produced,produced,produced
prepphthACP_c,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
glu5p_c,not present in model,not present in model,not present in model,produced,produced,not present in model,produced
pgp141_c,neither,neither,neither,produced,produced,neither,produced
pqh2_c,neither,neither,not present in model,not present in model,not present in model,not present in model,not present in model
glyald_c,produced,produced,neither,produced,produced,produced,produced
pdx5p_c,produced,produced,produced,produced,produced,not present in model,produced
pe1801819Z_c,produced,produced,produced,produced,produced,produced,produced
hcys__L_c,produced,produced,produced,produced,produced,not present in model,produced
