,TgondiiGT1,TgondiiME49,Pfalciparum3D7_generic_biomass,Pfalciparum3D7_species_biomass,PbergheiANKA_generic_biomass,PbergheiANKA_species_biomass,PcynomolgiB_generic_biomass,PcynomolgiB_species_biomass,PvivaxSal1_generic_biomass,PvivaxSal1_species_biomass,ChominisTU502_2012,CparvumIowaII,PknowlesiH_generic_biomass,PknowlesiH_species_biomass,Pfalciparum3D7_without_ortho_generic_biomass,Pfalciparum3D7_without_ortho_species_biomass,PbergheiANKA_without_ortho_generic_biomass,PbergheiANKA_without_ortho_species_biomass,PcynomolgiB_without_ortho_generic_biomass,PcynomolgiB_without_ortho_species_biomass,PvivaxSal1_without_ortho_generic_biomass,PvivaxSal1_without_ortho_species_biomass,PknowlesiH_without_ortho_generic_biomass,PknowlesiH_without_ortho_species_biomass,pfal2018,pviv2018,pber2018,pkno2018,pcyn2018,ipfa2017,tg2015,iPfal19
EXC_BOTH_C00719,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA
T_c_to_m_C00002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9999999999999988,NA,NA
T_c_to_e_C05768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA
R01232_c,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9999999999999998,NA,NA
EXC_BOTH_C01233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA
R02326_c,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,NA,NA
ALCD19y,1.0000000000000038,0.9999999999999988,NA,NA,0.9911829252604366,0.9911829252604366,0.9943897608875956,0.9943897608875956,0.9960474596912886,0.9960474596912886,NA,NA,0.9960310124403645,0.9960310124403645,0.9999999999998338,0.9999999999998338,0.096164048527485,0.096164048527485,0.9933383804881143,0.9933383804881143,1.0000000000000013,1.0000000000000013,0.9999999999999984,0.9999999999999984,NA,NA,NA,NA,NA,NA,NA,0.9999999999999635
MDHi2,0.9999999999999821,0.9999999999999983,0.9999999999999956,0.9999999999999956,1.0000000000000002,1.0000000000000002,0.999839855937277,0.999839855937277,0.999841914588644,0.999841914588644,0.9999999999997189,1.0000000000000613,0.999841898027657,0.999841898027657,0.9999999999998354,0.9999999999998354,1.000000000129064,1.000000000129064,1.0000000000000224,1.0000000000000224,0.999999999999998,0.999999999999998,1.0000000000000007,1.0000000000000007,NA,NA,NA,NA,NA,NA,NA,NA
T_c_to_e_C16216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA
THFAT,1.0000000000000038,0.9999999999999988,0.9999999999999984,0.9999999999999984,1.0,1.0,0.9999999999999978,0.9999999999999978,0.9999999999999996,0.9999999999999996,0.9999999999997182,1.0000000000000613,1.0000000000000004,1.0000000000000004,0.999999999999834,0.999999999999834,1.000000000129066,1.000000000129066,0.9999999999999982,0.9999999999999982,0.9999999999999996,0.9999999999999996,0.9999999999999976,0.9999999999999976,1.0000000000000009,1.0000000000000016,0.9999999999999977,0.9999999999999997,1.000000000000002,NA,NA,NA
R10242_TGME49_304480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA
EXC_BOTH_C00399,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA
DGTCY,1.0000000000000022,0.9999999999999976,NA,NA,NA,NA,NA,NA,NA,NA,0.999999999999721,1.0000000000000624,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FUM,0.940875955816357,0.9760960740879344,0.9999999999999977,0.9999999999999977,0.9979784872743972,0.9979784872743972,0.999999999999999,0.999999999999999,1.0,1.0,NA,-3.895098617517996e-17,0.9999999999999999,0.9999999999999999,0.9999999999998354,0.9999999999998354,0.9655428019578332,0.9655428019578332,0.0,0.0,1.1190112599126075e-13,1.1190112599126075e-13,1.0000000000000016,1.0000000000000016,NA,NA,NA,NA,NA,NA,NA,NA
