,TgondiiGT1,TgondiiME49,Pfalciparum3D7_generic_biomass,Pfalciparum3D7_species_biomass,PbergheiANKA_generic_biomass,PbergheiANKA_species_biomass,PcynomolgiB_generic_biomass,PcynomolgiB_species_biomass,PvivaxSal1_generic_biomass,PvivaxSal1_species_biomass,ChominisTU502_2012,CparvumIowaII,PknowlesiH_generic_biomass,PknowlesiH_species_biomass,Pfalciparum3D7_without_ortho_generic_biomass,Pfalciparum3D7_without_ortho_species_biomass,PbergheiANKA_without_ortho_generic_biomass,PbergheiANKA_without_ortho_species_biomass,PcynomolgiB_without_ortho_generic_biomass,PcynomolgiB_without_ortho_species_biomass,PvivaxSal1_without_ortho_generic_biomass,PvivaxSal1_without_ortho_species_biomass,PknowlesiH_without_ortho_generic_biomass,PknowlesiH_without_ortho_species_biomass,pfal2018,pviv2018,pber2018,pkno2018,pcyn2018,ipfa2017,tg2015,itgo2020,ipbe2019_blood,ipbe2019_liver,iPfal19
T_c_to_e_C06197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA
EXC_BOTH_C16619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA
EXC_BOTH_C00041_e,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9999999999999972,NA,NA,NA,NA,NA
R09151_TGME49_207620_m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA
EX_pa140_e,0.999999999999999,1.0000000000000078,0.9999999999999998,0.9999999999999998,0.9999999999999977,0.9999999999999977,1.0000000000000016,1.0000000000000016,0.9999999999999956,0.9999999999999956,1.0000000000000853,1.0000000000000118,1.0000000000000007,1.0000000000000007,0.9999999999999996,0.9999999999999996,1.0000000000000002,1.0000000000000002,1.0000000000012832,1.0000000000012832,1.0000000000000018,1.0000000000000018,1.0000000000000009,1.0000000000000009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T_c_to_e_C05938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA
R09248_c,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0000000000000067,0.9999999999999138,0.9999999999996978,NA
R00428_c,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,0.9999999999999997,0.9999999999998331,0.9999999999997197,NA
Tc2mC00036_c,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0000000000000397,0.9999999999996073,NA
R00720_TGME49_202300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA
ACOADAGAT1819Z1819Z1835Z9Z12Z,0.9999999999999961,1.0000000000000007,NA,NA,0.9999999999999994,0.9999999999999994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9999999999999977,0.9999999999999977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R06637_c,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0000000000000013,NA,NA,NA
THRASNTYRt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.000000000000009,1.000000000000009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R01802_c,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,NA,-1.173310323735374e-15,-1.368802120928946e-17,5.1350537460040825e-18,NA
R00277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA
R03417_c,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0000000000000022,NA,NA,NA
EXC_BOTH_C11944,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA
EAR40_m,0.9999999999998677,1.0000000000000153,0.9999999999999988,0.9999999999999988,0.9999999999999982,0.9999999999999982,1.0000000000000013,1.0000000000000013,0.9999999999999951,0.9999999999999951,NA,NA,1.0000000000000013,1.0000000000000013,1.0,1.0,1.0000000000000022,1.0000000000000022,1.0000000000012403,1.0000000000012403,1.0000000000000016,1.0000000000000016,1.0000000000000004,1.0000000000000004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OMPHHXxm,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9999994305181436,0.9999994305181384,0.9999994305197595,0.9999994305181389,0.9999994305181389,NA,NA,NA,NA,NA,NA
R01253_TGME49_202340,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA
AGPAT1819Z1819Zhc,NA,NA,0.9999999999999976,0.9999999999999976,0.9999999999999978,0.9999999999999978,1.0000000000000013,1.0000000000000013,0.9999999999999947,0.9999999999999947,1.0000000000000864,1.000000000000018,1.0000000000000004,1.0000000000000004,0.9999999999999996,0.9999999999999996,0.9999999999999997,0.9999999999999997,1.0000000000012383,1.0000000000012383,1.000000000000001,1.000000000000001,1.000000000000001,1.000000000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FRD5,NA,NA,0.9999999999999941,0.9999999999999941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9999999999999998,0.9999999999999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EXC_BOTH_C00009_e,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0000000000001088,NA,NA,NA,NA,NA
DOLPMT,1.0000000000000024,1.0000000000000002,0.9999999999999959,0.9999999999999959,0.9999999999999989,0.9999999999999989,1.0000000000000018,1.0000000000000018,0.9999999999999951,0.9999999999999951,1.000000000000087,1.0000000000004998,1.0000000000000007,1.0000000000000007,0.9999999999999993,0.9999999999999993,0.9999999999999991,0.9999999999999991,1.0000000000012403,1.0000000000012403,1.0000000000000018,1.0000000000000018,1.0000000000000013,1.0000000000000013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0000000000000007
EXC_BOTH_C00559_e,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9999999999999998,NA,NA,NA,NA,NA
R08360_EXP_2_TGME49_230410_m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA
R00829_m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9999999999999997,NA,NA,NA
T_c_to_a_L-Histidine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5610072278244965e-16,NA,NA,NA
EXC_BOTH_C05527_e,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA
H2O2t,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.527219689375822e-14,3.393553181423902e-29,NA,NA,0.9999999999999991,0.9999999999999991,NA,NA,0.9895573898863179,0.9895573898863179,0.9970421254645736,0.9970421254645736,0.9975441574925225,0.9975441574925225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9999999999999998
ILEtec,NA,NA,0.9981008939841336,0.9981008939841336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9986902893515542,0.9986902893515542,NA,NA,NA,NA,NA,NA,NA,NA,0.9999999999999989,1.0000000000000002,0.999999999999999,1.0000000000000004,0.99999999999926,NA,NA,NA,NA,NA,NA
SACCD2,NA,NA,NA,NA,0.9999999999999952,0.9999999999999952,1.0000000000000013,1.0000000000000013,0.9999999999999954,0.9999999999999954,NA,NA,1.0000000000000013,1.0000000000000013,NA,NA,2.2900178823911284e-13,2.2900178823911284e-13,6.811745285101922e-12,6.811745285101922e-12,7.413489164082871e-13,7.413489164082871e-13,0.9995444645231922,0.9995444645231922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0000000000000007
EXC_BOTH_C00666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA
NO2t3,0.7743456829947799,0.7936304602491838,0.9999999999999973,0.9999999999999973,0.9999999999999982,0.9999999999999982,1.0000000000000018,1.0000000000000018,0.9999999999999952,0.9999999999999952,NA,NA,1.0000000000000009,1.0000000000000009,0.9999999999999998,0.9999999999999998,1.000000000000008,1.000000000000008,1.0000000000012403,1.0000000000012403,1.0000000000000016,1.0000000000000016,1.0000000000000009,1.0000000000000009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EXC_BOTH_C00417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,0.999999999999998,NA,NA,NA
R04321_r,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9999999999999972,NA,NA,1.0000000000000249,0.999999999999654,NA
MTHFCm,1.0000000000000009,1.0000000000000002,NA,NA,NA,NA,1.0000000000000024,1.0000000000000024,0.9999999999999936,0.9999999999999936,NA,NA,0.9999999999999998,0.9999999999999998,NA,NA,NA,NA,1.0000000000012381,1.0000000000012381,1.0000000000000016,1.0000000000000016,1.0000000000000002,1.0000000000000002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EXC_BOTH_C00579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA
