,TgondiiGT1,TgondiiME49,Pfalciparum3D7_generic_biomass,Pfalciparum3D7_species_biomass,PbergheiANKA_generic_biomass,PbergheiANKA_species_biomass,PcynomolgiB_generic_biomass,PcynomolgiB_species_biomass,PvivaxSal1_generic_biomass,PvivaxSal1_species_biomass,ChominisTU502_2012,CparvumIowaII,PknowlesiH_generic_biomass,PknowlesiH_species_biomass,Pfalciparum3D7_without_ortho_generic_biomass,Pfalciparum3D7_without_ortho_species_biomass,PbergheiANKA_without_ortho_generic_biomass,PbergheiANKA_without_ortho_species_biomass,PcynomolgiB_without_ortho_generic_biomass,PcynomolgiB_without_ortho_species_biomass,PvivaxSal1_without_ortho_generic_biomass,PvivaxSal1_without_ortho_species_biomass,PknowlesiH_without_ortho_generic_biomass,PknowlesiH_without_ortho_species_biomass,pfal2018,pviv2018,pber2018,pkno2018,pcyn2018,ipfa2017,tg2015,iPfal19
T_c_to_e_G00010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA
T_c_to_e_C00674,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA
R03990_TGME49_247500_m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA
TAGAH18111Z1819Z160,0.9999999999998568,0.9999999999999986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R01083_c,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9999999999999998,NA,NA
EXC_BOTH_C04807,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA
T_c_to_e_C00407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,1.0,NA
2AGPGAT180,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999989820033901,0.9999989820033901,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,NA,NA,NA,NA,NA,NA,NA,NA
FACOAL100t2ppc,0.9999999999998408,0.9999999999999983,0.999999999999999,0.999999999999999,0.9999999999999994,0.9999999999999994,0.9999999999999999,0.9999999999999999,1.0000000000000002,1.0000000000000002,0.9999999999999968,1.0000000000000193,0.9999999999999997,0.9999999999999997,0.999999999999991,0.999999999999991,1.0000000000019706,1.0000000000019706,0.9999999999999866,0.9999999999999866,0.9999997916380572,0.9999997916380572,0.9999999999999997,0.9999999999999997,NA,NA,NA,NA,NA,NA,NA,NA
EXC_BOTH_C16638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA
R00328_c,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9999999999999998,NA,NA
OCTm,-7.570481878910469e-15,-1.0753504914851327e-14,NA,NA,NA,NA,NA,NA,NA,NA,0.9971675708599679,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EXC_BOTH_C04244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA
OGCOAAT,0.9999999999998576,0.9999999999999981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
T_c_to_r_C00080,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9999999999999997,NA,NA
EXC_BOTH_C00864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA
CO2tap,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5263580375324068e-14
EXC_BOTH_G00171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA
HEMEOMOym,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0000000000001343,1.0000000000000007,0.9999999999999984,1.0000000000000002,1.0000000000000016,NA,NA,NA
RPI,0.0,5.336048164241305e-17,0.9999999999999987,0.9999999999999987,0.9999999999999981,0.9999999999999981,0.9999999999999991,0.9999999999999991,0.9999880727754002,0.9999880727754002,-3.065864346241561e-14,4.643577000297911e-16,0.9999931238958789,0.9999931238958789,0.9999999999999919,0.9999999999999919,1.0000000000019713,1.0000000000019713,0.999234249229108,0.999234249229108,0.9999956439518436,0.9999956439518436,0.9989296490376516,0.9989296490376516,0.8080174699883265,0.8080174699883265,0.8045598401007652,0.8080174699883269,0.8045593880590067,NA,NA,0.9999999999999614
T_c_to_e_C15978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA
FACOAL80,0.9999999999998587,0.9999999999999969,0.9999999999999997,0.9999999999999997,0.9999999999999989,0.9999999999999989,0.9999999999999989,0.9999999999999989,1.0000000000000004,1.0000000000000004,0.9999999999999987,1.0000000000000182,0.9999999999999996,0.9999999999999996,0.9999999999999957,0.9999999999999957,1.000000000001974,1.000000000001974,0.9999999999999991,0.9999999999999991,0.9999999999999647,0.9999999999999647,1.0000000000000004,1.0000000000000004,NA,NA,NA,NA,NA,NA,NA,NA
EXC_BOTH_C05946_e,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9999999999999998,NA,NA
trna_ala,NA,NA,1.17027722836281e-15,1.17027722836281e-15,0.0,0.0,1.2431728779329682e-15,1.2431728779329682e-15,0.0,0.0,NA,NA,1.7681551657614085e-14,1.7681551657614085e-14,0.0,0.0,1.4718042074262828e-14,1.4718042074262828e-14,-1.1269459251801238e-15,-1.1269459251801238e-15,-7.424812205954774e-16,-7.424812205954774e-16,-6.951870984447593e-13,-6.951870984447593e-13,NA,NA,NA,NA,NA,NA,NA,1.8391821338844215e-13
T_c_to_e_C00204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA
EX_lipid_c,0.9999999999998572,0.9999999999999993,0.9007806951930664,0.9007806951930664,0.9463419744762568,0.9463419744762568,0.9596303002653203,0.9596303002653203,0.9490936851341237,0.9490936851341237,0.9999999999999974,1.0000000000000193,0.9492862947875006,0.9492862947875006,-3.922817377386246e-16,-3.922817377386246e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,0.9999999999999619
